cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
26,T2a,0.972606,134.122467,3.138765,9.253950,15.329494,-99.254631,10.866032,193.278503,0.000000,-100.000000,1.043980,351.900604,28.356478,28.191170,28.242630,0.051460,134.121185,134.192276,134.784668,0.592392,134.121185,134.122467,134.138290,0.015823
27,T3,1.006366,169.358734,3.138765,2.431939,-4.175685,-99.641960,10.000000,209.617599,0.000000,-100.000000,1.024648,350.427948,65.285156,65.246704,69.348450,4.101746,169.359161,169.319763,173.553452,4.233688,169.359161,169.358719,169.428879,0.070160
28,C2,0.963761,1.974694,3.138765,2.015832,-1.862343,-100.000000,10.016348,200.932175,0.000000,-100.000000,0.972348,348.228271,-151.985443,-152.494354,-117.470673,35.023682,1.975031,1.958133,10.663380,8.705247,1.975031,1.974694,2.121057,0.146363
29,C3,1.048901,1.409274,3.138765,1.419148,-5.313702,-99.512024,10.000000,194.140320,0.000000,-100.000000,0.999274,347.810333,-188.687378,-189.376450,-134.349884,55.026566,1.409362,1.404819,12.963529,11.558709,1.409362,1.409274,1.573892,0.164618
30,Lawf1,1.017770,123.217651,3.138765,2.504266,-8.949514,-96.954216,13.169058,200.894028,0.000000,-100.000000,1.026977,351.976532,19.930769,16.337021,12.462525,-3.874496,123.278404,119.623543,115.696342,-3.927200,123.278404,123.217659,122.818115,-0.399544
31,Lawf2,1.004298,110.686401,3.138765,1.902326,-5.605098,-99.969551,10.000000,193.961777,0.000000,-100.000000,1.026108,349.319946,5.297225,2.852436,0.057464,-2.794972,110.715225,109.119919,108.313385,-0.806534,110.715225,110.686394,110.545929,-0.140465
32,Dm3v,0.979352,144.988434,3.138765,0.490737,-7.469683,-99.557861,10.000000,209.161804,0.000000,-100.000000,0.962814,350.806915,50.537197,53.670021,58.600178,4.930157,144.939301,147.955627,152.702454,4.746826,144.939301,144.988419,145.365051,0.376633
33,Lai,0.981869,2.617087,3.138765,0.104318,-0.701184,-99.998650,10.233130,207.386414,0.000000,-100.000000,0.955297,348.533569,-601.757812,-605.271973,-621.049622,-15.777649,2.617405,2.599351,2.531040,-0.068311,2.617405,2.617087,2.613727,-0.003361
34,Mi10,0.974521,115.306244,3.138765,0.144250,-3.754813,-99.562241,13.367929,207.434006,0.000000,-100.000000,1.013359,348.379761,13.785218,13.844792,14.125302,0.280510,115.305305,115.365685,115.649925,0.284241,115.305305,115.306244,115.316971,0.010727
35,Mi13,0.970758,106.766365,3.138765,0.105390,-3.647551,-99.151001,31.427279,190.781387,0.000000,-100.000000,0.952167,351.549286,12.130307,12.101899,12.103315,0.001416,106.766769,106.739700,106.741058,0.001358,106.766769,106.766357,106.763115,-0.003242
36,Mi14,1.036151,118.666924,3.138765,3.046491,-5.606435,-98.217087,10.012021,199.721756,0.000000,-100.000000,0.988828,348.711639,19.052702,19.277897,19.339485,0.061588,118.661842,118.949051,119.070480,0.121429,118.661842,118.666908,118.692917,0.026009
37,Mi15,1.034381,23.965712,3.138765,0.232086,-0.850977,-99.757881,10.066319,207.571075,0.000000,-100.000000,0.954097,351.054199,-107.131592,-108.528542,-108.751534,-0.222992,23.970282,23.713795,23.901260,0.187466,23.970282,23.965710,23.947750,-0.017960
38,Mi2,0.972859,71.304558,3.138765,2.593853,-22.868917,-98.701950,11.006439,205.496689,0.000000,-100.000000,1.039213,349.575989,-39.142159,-38.258232,-35.453751,2.804482,71.284859,72.521187,75.445717,2.924530,71.284859,71.304558,71.483582,0.179024
39,Tm16,1.022747,15.571872,3.138765,5.621200,-0.250919,-100.000000,11.462286,190.664139,0.000000,-100.000000,0.995543,348.765350,-106.824982,-108.830055,-111.993935,-3.163879,15.575907,15.344186,14.980540,-0.363646,15.575907,15.571871,15.545434,-0.026437
40,Tm20,0.964991,15.715653,3.138765,3.403791,-12.577002,-98.639374,46.221008,203.978867,0.000000,-100.000000,0.961114,347.765442,-115.413155,-115.759277,-118.845520,-3.086243,15.716332,15.671366,15.051435,-0.619930,15.716332,15.715652,15.697033,-0.018620
41,Tm21,0.987638,200.000000,3.138765,3.686318,-15.324588,-98.100777,10.000000,204.826202,0.000000,-100.000000,1.013867,350.685242,133.677246,166.825729,259.027130,92.201401,252.664963,287.902924,384.809601,96.906677,252.664963,253.211670,258.704346,5.492676
42,Tm27,1.035447,168.823853,3.138765,0.816941,-5.337129,-99.228172,10.289550,198.301437,0.000000,-100.000000,0.974036,350.334076,57.961113,58.142731,64.132217,5.989487,168.806915,169.812439,176.269699,6.457260,168.806915,168.823822,169.030884,0.207062
43,Tm5a,0.996120,130.059998,3.138765,7.601518,35.433632,-100.000000,13.769285,208.736725,0.000000,-100.000000,1.033891,351.106049,-27.231010,-22.767550,-10.182171,12.585379,129.977737,135.285370,148.019180,12.733810,129.977737,130.059998,130.850769,0.790771
44,Tm5b,0.995289,53.519543,3.138765,8.917393,33.204166,-98.791069,13.953737,191.020752,0.000000,-100.000000,1.016499,348.968872,-281.201996,-283.488464,-286.078766,-2.590302,53.516327,53.714897,53.664032,-0.050865,53.516327,53.519543,53.533295,0.013752
45,Tm5c,1.028940,161.328491,3.138765,7.740717,2.830242,-100.000000,11.754554,206.379883,0.000000,-100.000000,1.006996,350.781433,60.202080,60.525208,60.582916,0.057709,161.322922,161.648315,161.706421,0.058105,161.322922,161.328491,161.358124,0.029633
46,Tm5f,0.983953,200.000000,3.138765,9.597121,18.828026,-100.000000,11.606264,208.234772,0.000000,-100.000000,0.989370,349.068604,230.613495,239.385956,258.269562,18.883606,328.580841,337.366333,356.121613,18.755280,328.580841,328.720612,329.961182,1.240570
47,TmY10,0.981404,146.040985,3.138765,2.390846,-11.322074,-100.000000,10.000000,193.121063,0.000000,-100.000000,1.027965,350.031372,40.847565,43.711376,48.816990,5.105614,145.993057,148.961639,154.222610,5.260971,145.993057,146.040985,146.427750,0.386765
48,TmY11,1.041225,2.796881,3.138765,7.189108,-8.824256,-94.292992,10.725300,209.619385,0.000000,-100.000000,0.967549,350.253967,-209.850876,-210.436279,-209.725616,0.710663,2.797071,2.786304,2.779493,-0.006810,2.797071,2.796881,2.795872,-0.001009
49,TmY14,1.024446,200.000000,3.138765,0.788925,-6.216190,-99.311790,50.397766,203.408829,0.000000,-100.000000,0.963980,351.674438,5.432211,8.974587,24.879780,15.905192,374.603241,382.024353,405.519897,23.495544,374.603241,374.714752,375.968750,1.253998
50,TmY15,1.017248,200.000000,3.138765,6.277013,-31.488722,-97.971024,17.214111,207.268021,0.000000,-100.000000,0.998195,347.664001,101.250443,101.282356,99.251350,-2.031006,203.270325,204.170776,204.574753,0.403976,203.270325,203.286118,203.365936,0.079819
51,TmY3,1.028498,200.000000,3.138765,9.935122,12.636854,-99.278168,10.000000,207.659836,0.000000,-100.000000,1.042321,347.893677,149.759827,149.329651,150.128174,0.798523,262.410858,262.374054,263.562653,1.188599,262.410858,262.411011,262.390991,-0.020020
52,TmY4,0.983863,160.393158,3.138765,0.758253,-5.428941,-99.622459,33.575787,197.099167,0.000000,-100.000000,1.048500,348.045654,49.720001,50.041733,50.293983,0.252251,160.385239,160.869049,162.111801,1.242752,160.385239,160.393143,160.467560,0.074417
53,TmY5a,0.964500,200.000000,3.138765,0.423758,-21.857128,-97.555527,11.037921,190.039383,0.000000,-100.000000,1.004554,349.849579,386.486237,412.347656,464.475922,52.128265,490.743225,516.774292,569.138306,52.364014,490.743225,491.158722,494.723480,3.564758
54,TmY9q,0.961016,128.405991,3.138765,0.750250,-7.700150,-94.975273,10.000000,204.666473,0.000000,-100.000000,0.992292,351.443115,26.626719,27.796019,29.592304,1.796286,128.386322,129.592804,131.410431,1.817627,128.386322,128.405975,128.553329,0.147354
55,TmY9q__perp,0.952106,200.000000,3.138765,3.497249,-22.562790,-94.283264,14.579947,203.435028,0.000000,-100.000000,0.987004,352.285156,652.397339,770.128479,1077.224731,307.096252,742.619019,858.819946,1161.925171,303.105225,742.619019,744.407593,762.250000,17.842407
