idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
0,R1-6,1.015281,0.000000,1.702619,4.078339,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-30.366040,-30.352532
1,R7,0.983476,0.000000,1.702619,1.682014,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-31.712055,-31.674776
2,R8,1.042190,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-44.390214,-44.490773
3,L1,0.489346,0.000000,1.702619,1.545134,-50.000000,-50.000000,0.564154,-39.201613,-40.000000,-0.202556,-34.136227,-34.197821
4,L2,0.547521,0.000000,1.702619,0.831789,-50.000000,-50.000000,1.000000,-39.201613,-40.000000,-0.202556,-33.586171,-33.675501
5,L3,2.478422,0.000000,1.702619,1.695387,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-66.193373,-66.247093
6,L4,0.114133,0.000000,1.702619,0.100000,-50.000000,-50.000000,1.000000,-39.201613,-40.000000,-0.202556,-12.072049,-12.098007
7,L5,0.417421,0.000000,1.702619,2.301913,-50.000000,-50.000000,1.000000,-39.201613,-40.000000,-0.202556,-22.593212,-22.625830
8,Mi1,0.900754,0.000000,1.702619,0.346118,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-31.962687,-31.584816
9,Tm3,0.291678,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-22.270478,-21.726427
10,Mi4,0.731045,0.000000,1.702619,0.154124,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-20.416884,-20.448944
11,Mi9,0.621570,0.000000,1.702619,2.993619,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-23.658420,-23.816150
12,T4a,1.001766,0.000000,1.702619,0.100000,-50.000000,-50.000000,0.000000,-39.201613,-40.000000,-0.202556,-40.727297,-40.155792
