idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
12,T4a,1.048436,50.000000,1.762718,0.209186,-0.332051,-100.000000,-100.000000,1.001410,352.060669,10.000000,198.799423,0.000000,-11.370830,-11.369923,-11.335365,0.034557,88.754181,88.755089,88.789696,0.034607,88.754181,88.754196,88.755157,0.000961
13,T4b,0.997241,50.000000,1.762718,0.100000,-0.994212,-100.000000,-100.000000,1.040057,347.872223,10.000000,198.799423,0.000000,-13.042927,-13.037622,-12.989831,0.047791,90.440292,90.445808,90.495522,0.049713,90.440292,90.440392,90.442116,0.001724
14,T4c,0.969234,50.000000,1.762718,0.100000,-0.600392,-100.000000,-100.000000,0.956603,348.394379,10.000000,198.799423,0.000000,-9.253461,-9.247155,-9.214872,0.032283,86.808380,86.814407,86.845291,0.030884,86.808380,86.808487,86.809761,0.001274
15,T4d,1.015536,50.000000,1.762718,0.489819,-0.291941,-100.000000,-100.000000,0.952768,349.785706,10.000000,198.799423,0.000000,-3.252388,-3.249999,-3.242563,0.007436,92.178009,92.180283,92.187370,0.007088,92.178009,92.178047,92.178406,0.000359
16,Tm1,1.856640,5.361053,1.762718,0.100000,-1.523279,-100.000000,-100.000000,0.100000,348.099640,10.000000,198.799423,0.000000,-46.387779,-46.483250,-46.537132,-0.053883,5.361222,5.351675,5.346287,-0.005388,5.361222,5.361053,5.360185,-0.000868
17,Tm2,1.999805,8.696453,1.762718,0.100000,-1.481017,-100.000000,-100.000000,0.100000,350.118774,10.000000,198.799423,0.000000,-13.035181,-13.052059,-13.064605,-0.012546,8.696482,8.694794,8.693540,-0.001254,8.696482,8.696453,8.696294,-0.000159
18,Tm4,1.871326,6.229064,1.762718,0.100000,-1.545239,-100.000000,-100.000000,0.100000,350.600586,10.000000,198.799423,0.000000,-37.707569,-37.808903,-37.880955,-0.072052,6.229244,6.219110,6.211905,-0.007205,6.229244,6.229064,6.228110,-0.000954
19,Tm9,1.994967,8.672544,1.762718,0.100000,-0.819361,-100.000000,-100.000000,0.100000,348.910004,10.000000,198.799423,0.000000,-13.275016,-13.247232,-13.096332,0.150901,8.672499,8.675278,8.690368,0.015090,8.672499,8.672545,8.673142,0.000597
20,T5a,1.023180,50.000000,1.762718,0.100000,-0.984224,-100.000000,-100.000000,0.964323,349.779144,10.000000,198.799423,0.000000,-2.451364,-2.456135,-2.458878,-0.002743,94.068428,94.063835,94.061188,-0.002647,94.068428,94.068344,94.067932,-0.000412
21,T5b,0.960044,50.000000,1.762718,0.649800,-0.434062,-100.000000,-100.000000,0.953259,349.699860,10.000000,198.799423,0.000000,-0.082267,-0.084922,-0.086814,-0.001893,95.247475,95.244942,95.243134,-0.001808,95.247475,95.247429,95.247185,-0.000244
22,T5c,0.964287,50.000000,1.762718,1.045001,-0.154132,-100.000000,-100.000000,0.996948,350.639557,10.000000,198.799423,0.000000,0.543960,0.541994,0.540826,-0.001168,100.237099,100.235146,100.233986,-0.001160,100.237099,100.237076,100.236885,-0.000191
23,T5d,1.043086,50.000000,1.762718,1.723662,0.233025,-100.000000,-100.000000,0.967016,347.943268,10.000000,198.799423,0.000000,1.080545,1.077587,1.075794,-0.001793,97.746506,97.743652,97.741913,-0.001740,97.746506,97.746460,97.746193,-0.000267
24,T1,0.968813,25.889624,1.762718,0.100000,-0.648713,-100.000000,-100.000000,1.003907,347.699585,10.000000,198.799423,0.000000,-76.384064,-76.627457,-77.258141,-0.630684,25.892914,25.708189,25.308212,-0.399977,25.892914,25.889624,25.863321,-0.026302
25,T2,0.976871,50.000000,1.762718,0.172029,-1.244673,-100.000000,-100.000000,1.017020,350.945892,10.000000,198.799423,0.000000,-13.576001,-13.612889,-13.634188,-0.021298,87.894897,87.857376,87.835716,-0.021660,87.894897,87.894218,87.890800,-0.003418
26,T2a,1.044189,50.000000,1.762718,0.100184,-1.054963,-100.000000,-100.000000,0.966781,352.417267,10.000000,198.799423,0.000000,-5.799930,-5.814600,-5.821161,-0.006561,91.070854,91.056679,91.050331,-0.006348,91.070854,91.070618,91.069374,-0.001244
27,T3,0.961151,50.000000,1.762718,0.100000,-1.508599,-100.000000,-100.000000,1.023729,351.742188,10.000000,198.799423,0.000000,-3.089522,-3.094846,-3.097213,-0.002367,99.210075,99.204636,99.202202,-0.002434,99.210075,99.209984,99.209511,-0.000473
28,C2,1.008048,50.000000,1.762718,1.808573,1.283685,-100.000000,-100.000000,0.956143,350.780426,10.000000,198.799423,0.000000,-3.826860,-3.814134,-3.618919,0.195214,91.955315,91.967476,92.154137,0.186661,91.955315,91.955505,91.960991,0.005486
29,C3,1.028625,50.000000,1.762718,2.091212,0.770021,-100.000000,-100.000000,0.963333,348.073303,10.000000,198.799423,0.000000,-1.192088,-1.189400,-1.091840,0.097561,95.184898,95.187485,95.281471,0.093987,95.184898,95.184937,95.187431,0.002495
