idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
0,R1-6,1.553204,2.103132,-50.000000,0.966360,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-36.187014
1,R7,1.553204,1.217562,-50.000000,0.981529,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-35.737146
2,R8,1.553204,0.100000,-50.000000,0.981269,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-38.902932
3,L1,1.553204,4.936099,-50.000000,0.935160,0.000000,46.493416,48.946418,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-20.000000,-62.630913
4,L2,1.553204,4.354438,-50.000000,0.870305,0.000000,53.110654,47.301129,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-20.000000,-59.273529
5,L3,1.553204,1.942021,-50.000000,1.363243,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-20.000000,-22.313740
6,L4,1.553204,1.323431,-50.000000,4.128977,0.000000,49.395334,46.950863,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-45.116223
7,L5,1.553204,0.100000,-50.000000,3.688376,0.000000,44.046476,47.790481,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-48.901228
8,Mi1,1.553204,1.234555,-50.000000,1.954861,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-27.055218
9,Tm3,1.553204,0.627697,-50.000000,3.174010,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-6.663407
10,Mi4,1.553204,0.334351,-50.000000,0.861654,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-56.064580
11,Mi9,1.553204,1.196563,-50.000000,0.713509,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,4.415386
12,T4a,1.553204,0.100000,-50.000000,1.012843,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-57.192066
13,T4b,1.553204,0.474236,-50.000000,1.014682,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-24.648100
14,T4c,1.553204,1.413852,-50.000000,1.004691,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-10.374322
15,T4d,1.553204,1.891083,-50.000000,0.974126,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-49.989369
16,Tm1,1.553204,0.877701,-50.000000,2.180323,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-36.176766
17,Tm2,1.553204,0.225493,-50.000000,2.473112,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-52.347651
18,Tm4,1.553204,0.199827,-50.000000,2.004528,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-23.457709
19,Tm9,1.553204,1.840288,-50.000000,0.952318,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,0.456449
20,T5a,1.553204,0.100000,-50.000000,1.006627,0.000000,0.000000,0.000000,-47.215533,-0.200000,-48.549838,-49.429543,-0.200000,-46.409321,-50.000000,-2.588550
