,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.100000,0.965560,2.092597,0.204351,6.240014,0.748464,0.100000,0.100000,1.460838,,0.100000,0.100000,0.100000,0.558243,1.636848,1.075585,4.204443,,,,,,,,,7.277249,,,,,,0.100000
C3,1.668473,,0.612826,0.100000,0.239305,0.972034,0.100000,0.120066,1.287191,0.222216,0.901811,,,0.214281,1.067784,0.968257,0.999792,1.041640,1.089102,1.033837,0.973369,,,,,0.564021,1.263860,0.100000,1.018086,0.992632,1.682696,0.100000
L1,3.722812,0.243795,0.100000,0.100000,0.100000,0.100000,2.554604,1.926473,0.100000,,1.081045,0.100000,4.057074,4.569784,1.060045,0.284245,,,,,,,,,,0.100000,0.100000,,,2.290235,,
L2,7.151144,1.745063,3.145274,3.063417,0.100000,5.784207,0.100000,0.100000,0.589846,3.656193,3.510475,,0.100000,0.422994,2.532826,0.981445,,,,,,,,,,1.945689,2.661872,0.100000,,0.100000,2.785222,
L3,0.100000,1.852556,0.106998,0.100000,,,,0.100000,0.100000,1.918311,,2.744045,0.100000,0.100000,,,,,,,,,,,,1.062391,11.050497,0.100000,1.039340,,17.934417,4.520298
L4,,1.372231,3.536999,0.100000,0.100000,2.408943,0.184057,5.863336,,7.685345,9.975926,,,,0.716716,,,,,,,,,,,4.707015,0.100000,,,,10.142994,0.556557
L5,0.100000,0.277283,2.324168,13.421475,,,2.290655,4.017066,0.100000,0.100000,,,,4.551542,0.100000,0.100000,,,,,,,,,,0.100000,0.100000,18.085513,0.154909,8.649124,0.100000,
Mi1,0.100000,0.267835,3.322287,0.100000,,,5.183331,1.119152,0.102092,11.522519,,11.302612,8.976668,2.434066,0.209580,0.100000,0.100000,1.443567,4.952056,4.619596,12.323524,,,,,0.100000,2.426587,19.972411,0.968711,0.574013,0.100000,
Mi4,12.311976,1.002206,,0.100000,4.319697,,0.100000,0.100000,0.100000,0.100000,,,,0.100000,,1.026450,,20.239024,20.498243,12.930499,6.629441,,,,,0.100000,0.100000,0.100000,,16.403328,0.151984,0.100000
Mi9,1.215901,,,,7.403363,0.996687,,0.100000,4.488044,,,,,,2.169502,0.100000,0.100000,0.611797,0.100000,0.100000,3.160043,,,,,0.921854,0.398499,6.880512,3.046328,0.400510,0.213224,0.100000
R1-6,13.136532,1.539051,3.561248,2.883286,2.747069,0.100000,,,,,3.902915,,,1.342711,,,,,,,,,,,,,,,,,,
R7,,0.403605,10.224710,,9.510807,,,4.851150,0.100000,15.325195,,,1.784231,,,,,,,,,,,,,,,0.358395,,,,
R8,0.875986,0.809413,8.249475,0.100000,0.100000,,3.868017,0.100000,0.100000,12.623462,,1.830020,0.198239,3.860370,,,,,,,,,,,,,,0.100000,1.022466,,,
T1,,,,0.100000,2.169781,,0.100000,,,4.022172,3.881650,0.100000,5.020389,,,,,,,,,,,,,5.982197,7.386003,1.186272,,,6.415589,
T2,,,,,,,0.100000,0.100000,,2.759891,,,,,0.411188,0.993753,2.814430,,,,,,,,,0.592482,0.391566,,0.100000,2.011528,0.100000,
T2a,3.487885,,,,,,,0.508944,,,,,,,1.079426,1.447118,3.978430,,,,,,,,,0.100000,,0.100000,1.018301,2.044376,1.016213,
T3,,0.984256,,,,,,,,,,,,,0.100000,1.011043,1.002638,,,,1.020903,,,,,0.100000,,,0.266400,1.335225,,
T4a,,0.260930,,,,,,,,5.232005,,,,,,,,0.905050,1.035092,1.047127,0.976532,1.012135,,,,,,,,,,
T4b,,,,,,,,0.100000,0.100000,4.801275,,,,,,,,0.100000,4.576896,,0.984290,,1.023341,,,,,,,,,
T4c,,,,,,,,,,3.292034,,,,,0.965025,,,,,2.154752,,,,0.996034,0.951348,,,,,,,
T4d,,,,,,,,7.367046,,,,,,,,,,,,0.983842,0.107133,,,,0.989704,,,,,,,
T5a,,,,,,,,,,,,,,,0.805071,,,0.977570,,,,0.987321,1.045997,,,,1.037983,,,,,
T5b,,,,,,,,,,,,,,,1.016757,,,,0.729374,,,0.981268,1.010360,,,,,,,,,
T5c,,,,,,,,,,,,,,,0.151143,,,,,10.955314,,,1.016017,5.458926,0.955235,,,,,,,
T5d,,,,,,,,,,,,,,,0.100000,,,,,2.958587,0.958749,,,,0.992012,,,,,,,
Tm1,12.276843,2.666513,,0.835956,,,0.100000,0.100000,0.100000,3.769366,,,,0.255259,0.100000,1.042670,0.756293,,,0.964576,,0.522254,1.022337,4.910186,2.816172,8.799700,0.100000,0.100000,0.280936,0.100000,0.716658,5.242497
Tm2,,2.715054,6.590898,0.100000,,,0.100000,13.573848,0.100000,4.846079,,,,0.100000,0.679058,2.755128,0.717973,1.015421,,15.900883,,0.579844,0.983450,10.543536,1.983724,0.100000,,,0.581181,2.042058,0.100000,0.100000
Tm20,,2.124980,,,,,,,0.100000,1.618743,,,,3.196347,1.038808,0.228716,,,,,,,,,,14.344085,13.060802,5.469829,0.953276,,,12.827570
Tm21,,,,,,,,0.802253,,,,,,,1.033559,0.983040,,,,,,,,,,0.100000,,,0.878030,,,
Tm3,8.710304,1.035580,5.062781,1.331625,,,,1.748098,0.100000,14.992163,,,,,0.100000,0.100000,0.100000,6.831669,0.255356,5.276977,0.100000,,0.955534,,1.020501,,,,,1.411808,0.100000,
Tm4,0.631412,2.512488,,1.473016,,,,0.100000,3.309422,,,,,0.297001,0.100000,0.171971,2.189445,,,,,0.935296,1.000401,7.032552,0.730476,0.100000,0.100000,,0.473299,4.252398,9.046593,
Tm9,,,,,0.100000,,,,0.100000,0.100000,,,,,0.948201,2.733352,,,,,,0.994765,0.996113,2.697506,0.990834,0.100000,0.100000,5.112798,1.026323,,0.100000,0.986070
