idx,cell,in_gain,out_gain,bias,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.552662,-5.157291,0.986916,41.267744,9993.299266,0.000000,1.000000
1,R7,1.000000,5.556446,-0.800325,0.967099,11.112181,10000.000000,0.000000,1.000000
2,R8,1.000000,8.374824,0.176407,0.957397,10.000000,9999.318496,0.000000,1.000000
3,L1,1.000000,2.845060,1.848830,1.042469,53.478590,203.345525,0.000000,7.380967
4,L2,1.000000,6.394696,7.117125,0.983692,60.272593,244.761739,0.000000,0.472474
5,L3,1.000000,3.796546,-0.964945,2.683188,22.979002,10000.000000,0.000000,1.000000
6,L4,1.000000,0.100000,-1.940936,1.013470,52.247825,195.611180,0.000000,0.100000
7,L5,1.000000,7.361226,6.731336,0.995488,35.010952,163.460612,0.000000,0.939315
8,Mi1,1.000000,3.133130,0.822870,0.961008,47.624941,10000.000000,0.000000,1.000000
9,Mi4,1.000000,0.100000,-1.132871,0.981939,48.855794,9997.019010,0.000000,1.000000
10,Mi9,1.000000,10.000000,1.699296,1.003823,22.209961,9996.819594,0.000000,1.000000
11,T1,1.000000,6.450594,0.663339,1.019920,60.392657,9989.526698,0.000000,1.000000
12,T2,1.000000,9.912493,-5.387447,0.952077,49.085113,9997.393985,0.000000,1.000000
13,T2a,1.000000,6.861683,-4.670269,0.993707,31.822840,9999.250824,0.000000,1.000000
14,T3,1.000000,7.100199,-6.339346,1.016778,34.291496,9985.637332,0.000000,1.000000
15,T4a,1.000000,4.767632,4.777656,1.000405,53.222985,9971.713509,0.000000,1.000000
16,T4b,1.000000,0.100000,-1.595178,1.023620,55.487765,9992.846486,0.000000,1.000000
17,T4c,1.000000,1.189371,-0.551387,1.023394,55.242446,9995.925688,0.000000,1.000000
18,T4d,1.000000,0.854880,-1.531257,1.014067,51.473137,9997.205223,0.000000,1.000000
19,T5a,1.000000,9.537195,19.710650,0.989812,50.890617,10000.000000,0.000000,1.000000
20,T5b,1.000000,0.100000,-1.184062,0.955762,49.113707,9996.453799,0.000000,1.000000
21,T5c,1.000000,0.757882,-1.326925,0.966022,52.285751,9999.930172,0.000000,1.000000
22,T5d,1.000000,0.463360,-1.424095,0.956720,50.050758,9991.096927,0.000000,1.000000
23,Tm1,1.000000,4.024686,-0.093233,0.967859,65.170405,10000.000000,0.000000,1.000000
24,Tm2,1.000000,5.177817,2.393759,1.028510,69.335653,9983.678722,0.000000,1.000000
25,Tm20,1.000000,10.000000,-5.799143,0.980855,40.890880,9993.629966,0.000000,1.000000
26,Tm21,1.000000,0.100000,-1.493893,0.957220,47.676189,9991.800187,0.000000,1.000000
27,Tm3,1.000000,0.285108,-1.852751,0.975920,50.876792,9996.723106,0.000000,1.000000
28,Tm4,1.000000,10.000000,5.037920,0.974401,33.621393,9999.088091,0.000000,1.000000
29,Tm9,1.000000,0.367142,-2.656735,0.958327,52.171585,9999.999617,0.000000,1.000000
30,C2,1.000000,4.784359,4.571583,1.037513,42.936200,9991.502525,0.000000,1.000000
31,C3,1.000000,7.207421,2.020503,0.998215,35.023258,9988.484497,0.000000,1.000000
32,Lawf1,1.000000,10.000000,6.200762,0.988528,14.911846,9977.286715,0.000000,1.000000
33,Lawf2,1.000000,10.000000,2.960965,1.027911,25.330072,9986.201329,0.000000,1.000000
