idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
34,Mi10,2.762977,0.100000,-50.000000,1.023538,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-66.987287
35,Mi13,2.762977,1.563713,-50.000000,0.996242,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-21.166743
36,Mi14,2.762977,0.953042,-50.000000,1.020734,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,5.763486
37,Mi15,2.762977,0.590265,-50.000000,1.016233,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-61.203734
38,Mi2,2.762977,0.502459,-50.000000,1.022941,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-22.474770
39,Tm16,2.762977,0.711401,-50.000000,0.980798,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-62.356680
40,Tm20,2.762977,1.589327,-50.000000,0.953318,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-24.352979
41,Tm21,2.762977,2.526809,-50.000000,0.963315,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-14.695857
42,Tm27,2.762977,0.100000,-50.000000,0.983213,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-50.560210
43,Tm5a,2.762977,4.805681,-50.000000,0.971531,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-21.480006
44,Tm5b,2.762977,0.286721,-50.000000,0.978193,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-61.786350
45,Tm5c,2.762977,0.283432,-50.000000,0.951943,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-3.688336
46,Tm5f,2.762977,1.906590,-50.000000,1.007946,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-1.515134
47,TmY10,2.762977,0.185915,-50.000000,1.018584,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-51.233011
48,TmY11,2.762977,0.100000,-50.000000,1.044545,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-63.695701
49,TmY14,2.762977,0.100000,-50.000000,0.969380,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-37.880745
50,TmY15,2.762977,0.542022,-50.000000,0.959778,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,8.108403
51,TmY3,2.762977,3.162785,-50.000000,1.014294,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-6.194673
52,TmY4,2.762977,0.101726,-50.000000,0.978980,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-60.053906
53,TmY5a,2.762977,0.591252,-50.000000,0.992791,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-28.436916
54,TmY9q,2.762977,0.625890,-50.000000,0.959771,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-11.981478
55,TmY9q__perp,2.762977,0.100000,-50.000000,1.023069,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-22.925750
