,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,2.001928,0.911735,0.237659,1.455802,,,,,0.100000,,,,,,,,,,,,,,,,,,,5.906719,0.100000,,
R7,,,10.000000,1.961877,,9.959429,,,0.100000,0.100000,3.044603,,,,,,,,,,,,,,,0.957912,,,,,,5.706543,0.102008,
R8,,1.062574,0.100000,10.000000,0.409892,1.326880,,0.100000,0.100000,0.100000,0.100000,0.100000,,,,,,,,,,,,,,2.236613,0.994482,,,,0.630705,8.895668,9.712306,0.100000
L1,0.100000,0.112934,0.100000,0.100000,0.100000,3.021728,0.100000,3.496022,3.578216,0.100000,,10.000000,7.853368,9.012767,,,,,,,,,,0.100000,0.100000,,,4.425004,,,0.100000,10.000000,,10.000000
L2,8.016966,,10.000000,1.788063,10.000000,5.849605,2.735254,0.100000,0.100000,10.000000,0.100000,1.113316,0.100000,0.961290,,,,,,,,,,3.380489,3.632662,0.100000,,0.100000,3.713145,,1.101938,2.277936,,
L3,,1.007728,3.146543,0.100000,10.000000,,,,4.277702,0.884250,0.100000,4.154619,,,,,,,,,,,,1.017477,1.034674,1.008371,0.997035,,0.100000,0.100000,0.995709,0.100000,0.100000,
L4,0.744955,,,7.187087,2.038875,0.299770,0.668666,0.100000,1.213361,,0.100000,,10.000000,,,,,,,,,,,0.572241,0.100000,,,,0.296739,10.000000,,3.603889,0.100000,0.677450
L5,,,,3.573047,9.570381,,,1.450206,4.280825,0.100000,7.799044,6.625120,0.722608,0.100000,,,,,,,,,,0.100000,7.286653,0.199543,10.000000,2.652929,0.100000,,0.100000,0.100000,0.100000,0.100000
Mi1,,1.019555,1.037495,3.544886,0.289855,,,8.076965,10.000000,3.009880,0.100000,0.100000,0.100000,0.100000,0.100000,1.655574,0.100000,6.259829,1.031357,,,,,0.100000,0.997009,0.994811,7.380552,0.100000,0.100000,,0.100000,0.100000,0.100000,1.805558
Mi4,,,,,2.197813,1.548354,,3.489426,10.000000,5.419256,1.358313,10.000000,,2.338689,,10.000000,1.104281,10.000000,0.979246,,,,,9.414419,5.189294,2.104500,,0.100000,0.100000,0.100000,9.306562,6.827464,10.000000,1.803233
