type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
LC18,720575940610256846,40,23,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",406,14.0,17,11,-3.0,3,-8,-3.0,3.0,-8.0,12.5,14.5,9.5
LC18,720575940651272950,28,14,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",414,-5.929,0,-11,-9.357,-6,-13,-9.357,-6.0,-13.0,-10.607,-6.5,-14.0
LC18,720575940625553795,44,27,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",432,-7.889,-4,-11,8.963,13,6,8.963,13.0,6.0,-3.407,1.0,-7.0
LC18,720575940633445421,48,29,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",444,9.207,11,5,-8.276,-4,-13,-8.276,-4.0,-13.0,5.069,8.0,1.5
LC18,720575940608982084,37,17,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",451,-6.118,-3,-10,-7.706,-4,-11,-7.706,-4.0,-11.0,-9.971,-7.0,-12.0
LC18,720575940627623467,41,25,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",452,6.28,10,3,-3.36,-1,-7,-3.36,-1.0,-7.0,4.6,8.0,2.5
LC18,720575940627291466,37,21,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",457,-9.714,-1,-13,3.095,7,-8,3.095,7.0,-8.0,-8.167,-5.0,-10.5
LC18,720575940626735503,35,16,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",458,5.25,8,2,-9.875,-7,-12,-9.875,-7.0,-12.0,0.312,2.5,-2.5
LC18,720575940617983355,34,16,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",460,8.375,13,4,5.812,9,2,5.812,9.0,2.0,11.281,14.0,8.0
LC18,720575940624880165,36,21,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",475,-3.238,0,-7,7.143,10,3,7.143,10.0,3.0,0.333,4.0,-2.5
LC18,720575940624999114,25,12,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",492,-5.917,-3,-9,13.667,17,10,13.667,17.0,10.0,0.917,2.5,-1.0
LC18,720575940612190161,38,20,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",499,-1.0,3,-4,-10.0,-6,-13,-10.0,-6.0,-13.0,-6.0,-3.5,-8.5
LC18,720575940619636206,52,30,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",506,6.733,13,2,-2.333,3,-15,-2.333,3.0,-15.0,5.567,8.0,2.0
LC18,720575940621262716,26,11,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",512,5.727,8,3,-11.636,-8,-14,-11.636,-8.0,-14.0,-0.091,1.0,-1.5
LC18,720575940607174153,21,8,"1, 1, 1, 1, 1, 1, 1, 1",518,-14.25,-10,-16,8.0,10,5,8.0,10.0,5.0,-10.25,-7.5,-12.0
LC18,720575940626684488,40,25,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",563,11.36,14,9,-11.76,-7,-15,-11.76,-7.0,-15.0,5.48,8.0,2.5
LC18,720575940616910749,43,27,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",564,14.63,18,11,-7.185,-2,-11,-7.185,-2.0,-11.0,11.037,13.5,8.0
LC18,720575940621270554,43,20,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",567,-12.55,-8,-16,3.7,7,0,3.7,7.0,0.0,-10.7,-8.0,-13.5
LC18,720575940614348082,34,19,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",577,12.211,16,9,-10.0,-6,-13,-10.0,-6.0,-13.0,7.211,10.5,4.5
LC18,720575940624537240,50,29,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",593,9.724,14,6,-5.931,-2,-10,-5.931,-2.0,-10.0,6.759,10.5,4.0
