type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
LC15,720575940637010916,43,4,"1, 1, 1, 1",24,3.5,5,2,2.25,3,1,2.25,3.0,1.0,4.625,5.5,3.5
LC15,720575940613126629,72,6,"1, 1, 1, 1, 1, 1",66,-5.5,-4,-8,-5.667,-4,-7,-5.667,-4.0,-7.0,-8.333,-6.5,-11.5
LC15,720575940628760136,33,1,1,69,-3.0,-3,-3,-2.0,-2,-2,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0
LC15,720575940608076210,45,1,1,82,-10.0,-10,-10,13.0,13,13,13.0,13.0,13.0,-3.5,-3.5,-3.5
LC15,720575940616341563,41,1,1,89,11.0,11,11,-3.0,-3,-3,-3.0,-3.0,-3.0,9.5,9.5,9.5
LC15,720575940627306073,39,1,1,139,8.0,8,8,-2.0,-2,-2,-2.0,-2.0,-2.0,7.0,7.0,7.0
LC15,720575940620162842,70,5,"1, 1, 1, 1, 1",143,-12.2,-11,-14,9.0,11,8,9.0,11.0,8.0,-7.7,-6.5,-9.5
LC15,720575940624506631,36,1,1,147,-9.0,-9,-9,-3.0,-3,-3,-3.0,-3.0,-3.0,-10.5,-10.5,-10.5
LC15,720575940624449514,57,1,1,149,13.0,13,13,-12.0,-12,-12,-12.0,-12.0,-12.0,7.0,7.0,7.0
LC15,720575940613488815,47,1,1,172,-10.0,-10,-10,-2.0,-2,-2,-2.0,-2.0,-2.0,-11.0,-11.0,-11.0
LC15,720575940621946288,55,1,1,174,12.0,12,12,-9.0,-9,-9,-9.0,-9.0,-9.0,7.5,7.5,7.5
LC15,720575940611934674,31,1,1,181,3.0,3,3,-2.0,-2,-2,-2.0,-2.0,-2.0,2.0,2.0,2.0
LC15,720575940634431339,55,3,"1, 1, 1",184,-3.333,-2,-5,11.333,13,10,11.333,13.0,10.0,2.333,3.0,1.5
LC15,720575940623893128,65,6,"1, 1, 1, 1, 1, 1",193,-6.667,-4,-8,9.667,12,8,9.667,12.0,8.0,-1.833,1.0,-4.0
LC15,720575940644084503,46,4,"1, 1, 1, 1",196,-4.5,-3,-6,1.75,3,-1,1.75,3.0,-1.0,-3.625,-1.5,-4.5
LC15,720575940617446539,53,1,1,219,8.0,8,8,-12.0,-12,-12,-12.0,-12.0,-12.0,2.0,2.0,2.0
LC15,720575940620457505,44,3,"1, 1, 1",237,-14.667,-13,-16,2.667,3,2,2.667,3.0,2.0,-13.333,-12.0,-14.5
LC15,720575940624142020,41,1,1,263,-5.0,-5,-5,6.0,6,6,6.0,6.0,6.0,-2.0,-2.0,-2.0
LC15,720575940638835800,39,1,1,270,5.0,5,5,-2.0,-2,-2,-2.0,-2.0,-2.0,4.0,4.0,4.0
LC15,720575940637811059,52,1,1,272,4.0,4,4,-6.0,-6,-6,-6.0,-6.0,-6.0,1.0,1.0,1.0
LC15,720575940618093497,75,8,"2, 1, 1, 1, 1, 1, 1",273,-16.75,-15,-18,10.375,12,8,10.375,12.0,8.0,-11.562,-10.0,-13.0
LC15,720575940611935667,55,2,"1, 1",292,-13.5,-13,-14,7.5,8,7,7.5,8.0,7.0,-9.75,-9.0,-10.5
LC15,720575940604229152,46,2,"1, 1",318,14.0,14,14,-6.5,-4,-9,-6.5,-4.0,-9.0,10.75,12.0,9.5
LC15,720575940607484939,63,2,"1, 1",334,14.5,15,14,-1.5,-1,-2,-1.5,-1.0,-2.0,13.75,14.5,13.0
LC15,720575940605419966,38,1,1,390,-1.0,-1,-1,11.0,11,11,11.0,11.0,11.0,4.5,4.5,4.5
LC15,720575940638698880,43,1,1,436,8.0,8,8,-1.0,-1,-1,-1.0,-1.0,-1.0,7.5,7.5,7.5
LC15,720575940615611798,59,5,"1, 1, 1, 1, 1",440,-10.0,-7,-13,-3.2,-1,-6,-3.2,-1.0,-6.0,-11.6,-10.0,-13.5
LC15,720575940617692305,75,3,"1, 1, 1",480,14.667,17,13,-6.667,-5,-8,-6.667,-5.0,-8.0,11.333,13.0,9.5
LC15,720575940632093800,37,2,"1, 1",481,8.5,9,8,-8.0,-8,-8,-8.0,-8.0,-8.0,4.5,5.0,4.0
LC15,720575940620306648,45,1,1,512,6.0,6,6,-12.0,-12,-12,-12.0,-12.0,-12.0,0.0,0.0,0.0
LC15,720575940610239939,67,4,"1, 1, 1, 1",517,4.5,7,0,-13.25,-12,-15,-13.25,-12.0,-15.0,-2.125,0.5,-6.0
LC15,720575940611826073,46,1,1,522,-4.0,-4,-4,8.0,8,8,8.0,8.0,8.0,0.0,0.0,0.0
LC15,720575940633299743,43,3,"1, 1, 1",531,-0.333,1,-3,-1.0,2,-3,-1.0,2.0,-3.0,-0.833,0.0,-2.0
LC15,720575940632668556,34,1,1,534,2.0,2,2,-6.0,-6,-6,-6.0,-6.0,-6.0,-1.0,-1.0,-1.0
LC15,720575940621398348,31,1,1,546,0.0,0,0,-6.0,-6,-6,-6.0,-6.0,-6.0,-3.0,-3.0,-3.0
LC15,720575940610272354,61,2,"1, 1",556,-8.0,-5,-11,4.0,8,0,4.0,8.0,0.0,-6.0,-5.0,-7.0
LC15,720575940618629592,58,3,"1, 1, 1",572,-8.0,-5,-10,15.333,16,15,15.333,16.0,15.0,-0.333,2.5,-2.0
LC15,720575940637062633,47,5,"1, 1, 1, 1, 1",581,-0.6,2,-3,-8.8,-7,-11,-8.8,-7.0,-11.0,-5.0,-2.5,-7.5
LC15,720575940619276459,68,2,"1, 1",584,-5.5,-4,-7,-9.5,-9,-10,-9.5,-9.0,-10.0,-10.25,-9.0,-11.5
LC15,720575940620371249,55,4,"1, 1, 1, 1",603,8.75,10,6,3.75,5,2,3.75,5.0,2.0,10.625,11.5,8.5
LC15,720575940619597878,47,3,"1, 1, 1",647,-1.0,0,-2,6.333,7,5,6.333,7.0,5.0,2.167,3.5,1.5
LC15,720575940626759780,60,4,"1, 1, 1, 1",654,-7.25,-6,-8,6.5,7,6,6.5,7.0,6.0,-4.0,-2.5,-5.0
LC15,720575940608087132,73,3,"1, 1, 1",672,-13.0,-12,-14,14.333,15,14,14.333,15.0,14.0,-5.833,-5.0,-7.0
LC15,720575940633427040,66,2,"1, 1",676,9.0,10,8,5.5,6,5,5.5,6.0,5.0,11.75,13.0,10.5
LC15,720575940629860815,63,5,"1, 1, 1, 1, 1",698,10.2,12,7,-13.0,-12,-14,-13.0,-12.0,-14.0,3.7,5.5,1.0
LC15,720575940653770913,39,3,"1, 1, 1",724,2.667,3,2,-8.0,-7,-9,-8.0,-7.0,-9.0,-1.333,-1.0,-1.5
LC15,720575940620420468,41,2,"1, 1",766,3.5,4,3,-4.5,-4,-5,-4.5,-4.0,-5.0,1.25,2.0,0.5
LC15,720575940606775817,56,3,"1, 1, 1",786,-15.667,-14,-17,5.0,8,3,5.0,8.0,3.0,-13.167,-12.0,-15.0
LC15,720575940621275094,25,0,,,,,,,,,,,,,,
LC15,720575940622863850,25,0,,,,,,,,,,,,,,
LC15,720575940627314009,41,0,,,,,,,,,,,,,,
LC15,720575940629650806,35,0,,,,,,,,,,,,,,
