idx,cell,a_in,a_out,v_th,a_gt,bias_gt,h_g_max,h_g_max_off,h_v_mid,h_slope,tau_v_mid,h_v_mid_off,h_slope_off,tau_v_mid_off,v_pre,v_onset
0,R1-6,1.496101,1.233499,-50.000000,1.005772,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-30.510591,-30.431026
1,R7,1.496101,1.772063,-50.000000,1.012317,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-30.222314,-30.116174
2,R8,1.496101,0.129842,-50.000000,1.013731,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-44.750436,-44.826039
3,L1,1.496101,1.582512,-50.000000,0.100000,0.000000,52.166612,50.233782,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-49.026580,-48.940213
4,L2,1.496101,1.466821,-50.000000,0.100000,0.000000,49.962402,52.512468,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-49.384140,-49.394572
5,L3,1.496101,0.673992,-50.000000,0.501708,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-37.180000,-33.363496
6,L4,1.496101,1.054032,-50.000000,0.215949,0.000000,53.775630,45.369140,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-48.494342,-48.496750
7,L5,1.496101,0.592595,-50.000000,1.942754,0.000000,50.894572,47.418902,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-48.752006,-48.758109
8,Mi1,1.496101,0.757527,-50.000000,1.237446,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-36.333118,-33.505138
9,Tm3,1.496101,1.562536,-50.000000,0.373786,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-19.252876,-14.760952
10,Mi4,1.496101,0.360895,-50.000000,1.328162,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-53.647736,-52.121914
11,Mi9,1.496101,0.751841,-50.000000,0.861461,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-17.709495,-14.877896
12,T4a,1.496101,0.465318,-50.000000,1.020673,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-44.601665,-41.151315
13,T4b,1.496101,0.455611,-50.000000,1.020108,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-40.470879,-36.518565
14,T4c,1.496101,0.478264,-50.000000,1.030412,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-39.480313,-35.548734
15,T4d,1.496101,0.969678,-50.000000,0.995904,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-38.388995,-34.358357
16,Tm1,1.496101,0.943021,-50.000000,0.855007,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-41.644056,-43.055592
17,Tm2,1.496101,1.004537,-50.000000,0.732635,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-37.704914,-37.984755
18,Tm4,1.496101,1.092673,-50.000000,0.561048,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-42.873671,-46.323098
19,Tm9,1.496101,0.760723,-50.000000,0.482270,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-28.060660,-24.325469
20,T5a,1.496101,1.198840,-50.000000,1.021169,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-16.147623,-16.202299
21,T5b,1.496101,0.745454,-50.000000,0.996799,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-22.598295,-22.459465
22,T5c,1.496101,1.583043,-50.000000,1.010170,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-11.882194,-11.056102
23,T5d,1.496101,1.232644,-50.000000,1.048597,0.000000,0.000000,0.000000,-50.575537,-0.215839,-50.729844,-47.971926,-0.400000,-51.208758,-22.367639,-22.084687
