cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.024976,-5.879728,2.656928,2.518718,-25.474922,-24.091570,16.102222,204.618713,0.000000,-5.936732,-5.879728,-0.134058,5.745670
1,R7,1.020499,-20.348255,2.656928,8.830124,-14.992869,-35.298729,10.000000,194.974152,0.000000,-19.956160,-20.348255,-17.285564,3.062691
2,R8,1.042467,7.725366,2.656928,6.673319,-7.535431,-42.044022,26.057587,200.754410,0.000000,7.536363,7.725366,12.939173,5.213807
3,L1,2.000000,-16.567783,2.656928,2.243588,-16.361111,-33.828938,16.577726,215.101532,1.000000,-16.361113,-16.567783,-27.457954,-10.890171
4,L2,1.993596,-35.164070,2.656928,2.865957,-17.262865,-32.388935,10.000000,213.525833,0.557478,-35.025620,-35.164070,-48.941792,-13.777721
5,L3,1.860861,-32.616474,2.656928,2.322750,-16.779486,-33.392563,28.209230,204.190338,0.000000,-32.476101,-32.616474,-38.437550,-5.821075
6,L4,0.605436,-3.817246,2.656928,0.742671,-3.721190,-46.006538,10.000000,208.287949,0.770153,-3.810780,-3.817246,-4.973551,-1.156306
7,L5,1.443490,-5.719629,2.656928,1.909022,-1.933544,-48.313511,10.000000,198.399658,0.849024,-5.714146,-5.719629,1.833878,7.553506
8,Mi1,2.000000,-37.862244,2.656928,2.714221,-12.560798,-37.810863,19.659683,199.562286,0.000000,-37.779385,-37.862244,-22.473524,15.388720
9,Tm3,1.854233,-34.893871,2.656928,1.728452,-16.890497,-33.206059,10.000000,201.349426,0.000000,-34.855980,-34.893871,-14.981391,19.912480
10,Mi4,2.000000,-13.903280,2.656928,2.658713,-13.195596,-36.412201,10.000000,207.289276,0.000000,-13.452547,-13.903280,-2.348971,11.554309
11,Mi9,2.000000,-32.845036,2.656928,3.688423,-16.112900,-33.839012,37.405869,203.076187,0.000000,-33.116463,-32.845036,-41.938808,-9.093773
12,T4a,1.219435,-5.414590,2.656928,0.100000,-4.955472,-44.780766,24.824541,202.052643,0.000000,-5.499553,-5.414590,11.189059,16.603649
13,T4b,1.122447,-3.590591,2.656928,0.184312,-2.257573,-47.878468,25.131393,193.407455,0.000000,-3.818485,-3.590591,11.411994,15.002585
14,T4c,0.972151,-2.389851,2.656928,0.620427,-2.107015,-48.222538,24.502340,199.489868,0.000000,-2.430819,-2.389851,10.822347,13.212198
15,T4d,0.978962,-10.330272,2.656928,0.100000,-10.360955,-39.456688,25.836376,194.742294,0.000000,-10.324135,-10.330272,2.311279,12.641551
16,Tm1,1.941188,-33.307461,2.656928,1.991187,-29.635883,-20.461512,12.157719,195.819931,0.000000,-33.382313,-33.307461,-38.494305,-5.186844
17,Tm2,1.876659,-28.066938,2.656928,3.867433,-29.416168,-20.365953,10.000000,194.435852,0.000000,-27.757923,-28.066938,-28.842010,-0.775072
18,Tm4,2.000000,-26.221104,2.656928,8.112563,-21.792025,-28.211895,10.000000,202.606003,0.000000,-26.296215,-26.221104,-33.209541,-6.988438
19,Tm9,1.165305,-1.146933,2.656928,3.257015,6.691855,-56.767155,31.298832,204.962723,0.000000,-1.229468,-1.146933,-6.514356,-5.367423
20,T5a,0.954961,-11.693126,2.656928,3.168372,-5.779940,-43.777126,37.627666,202.395889,0.000000,-12.589755,-11.693126,-6.779958,4.913167
21,T5b,1.033850,-6.030416,2.656928,3.643996,-3.257873,-46.925648,10.228525,190.303589,0.000000,-7.113347,-6.030416,-3.282528,2.747888
22,T5c,1.043555,7.503129,2.656928,5.114428,5.234676,-54.929638,10.000000,196.296738,0.000000,7.646526,7.503129,6.939287,-0.563842
23,T5d,1.040833,8.829159,2.656928,3.849787,-9.539314,-40.085819,40.259918,190.477158,0.000000,9.275293,8.829159,4.181068,-4.648090
