idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.874811,0.945651,0.000000,1.000000,-51.783680,-0.200000,-47.383813
1,C3,0.100000,0.955046,0.000000,1.000000,-51.783680,-0.200000,-47.383813
2,L1,0.919621,0.165154,0.000000,1.044881,-51.783680,-0.200000,-47.383813
3,L2,0.931016,0.608143,0.000000,1.042995,-51.783680,-0.200000,-47.383813
4,L3,0.569407,0.122305,0.000000,1.491930,-51.783680,-0.200000,-47.383813
5,L4,1.002305,0.994828,0.000000,1.487740,-51.783680,-0.200000,-47.383813
6,L5,0.100000,0.955046,0.000000,0.557326,-51.783680,-0.200000,-47.383813
7,Mi1,0.987518,1.007372,0.000000,1.247201,-51.783680,-0.200000,-47.383813
8,Mi4,0.987518,1.007372,0.000000,0.555462,-51.783680,-0.200000,-47.383813
9,Mi9,1.023203,1.013409,54.196068,1.485899,-51.783680,-0.200000,-47.383813
10,R1-6,0.237246,0.913534,49.473587,1.000000,-51.783680,-0.200000,-47.383813
11,R7,0.859892,0.934706,0.000000,1.000000,-51.783680,-0.200000,-47.383813
12,R8,0.826604,0.908362,0.000000,1.000000,-51.783680,-0.200000,-47.383813
13,T1,0.100000,0.964953,0.000000,1.000000,-51.783680,-0.200000,-47.383813
14,T2,0.319926,0.193492,0.000000,1.000000,-51.783680,-0.200000,-47.383813
15,T2a,0.911293,0.959509,0.000000,1.000000,-51.783680,-0.200000,-47.383813
16,T3,0.911293,0.959509,0.000000,1.000000,-51.783680,-0.200000,-47.383813
17,T4a,0.100000,1.023785,0.000000,0.529140,-51.783680,-0.200000,-47.383813
18,T4b,0.942051,0.978058,0.000000,0.530441,-51.783680,-0.200000,-47.383813
19,T4c,0.812847,0.100000,0.000000,0.522275,-51.783680,-0.200000,-47.383813
20,T4d,0.309084,0.986040,0.000000,0.526911,-51.783680,-0.200000,-47.383813
21,T5a,0.859892,0.934706,0.000000,0.561133,-51.783680,-0.200000,-47.383813
22,T5b,0.933026,0.108624,0.000000,0.550782,-51.783680,-0.200000,-47.383813
23,T5c,0.237246,0.913534,49.473587,0.554404,-51.783680,-0.200000,-47.383813
24,T5d,0.859892,0.934706,0.000000,0.547995,-51.783680,-0.200000,-47.383813
25,Tm1,0.990397,0.917841,0.000000,1.047847,-51.783680,-0.200000,-47.383813
26,Tm2,0.919621,0.165154,0.000000,0.731231,-51.783680,-0.200000,-47.383813
27,Tm20,0.319926,0.193492,0.000000,1.000000,-51.783680,-0.200000,-47.383813
28,Tm21,0.956306,0.178495,0.358321,1.000000,-51.783680,-0.200000,-47.383813
29,Tm3,0.653376,0.100000,0.000000,1.458551,-51.783680,-0.200000,-47.383813
30,Tm4,0.319926,0.193492,0.000000,1.486517,-51.783680,-0.200000,-47.383813
31,Tm9,0.569407,0.122305,0.000000,1.495391,-51.783680,-0.200000,-47.383813
