type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940619783558,4,4,58,4
R1-6,720575940624798901,4,4,58,4
R1-6,720575940629293830,4,4,58,4
R1-6,720575940635364247,4,3,58,3
R1-6,720575940650538617,5,4,58,4
R1-6,720575940605986732,4,3,59,3
R1-6,720575940612097998,4,3,59,3
R1-6,720575940615889823,3,3,59,3
R1-6,720575940621472902,4,3,59,3
R1-6,720575940622581281,3,3,59,3
R1-6,720575940630552770,4,3,59,3
R1-6,720575940612520341,3,3,60,3
R1-6,720575940617789145,3,3,60,3
R1-6,720575940618014164,3,3,60,3
R1-6,720575940613786738,5,3,63,3
R1-6,720575940618673748,6,4,63,4
R1-6,720575940628842570,4,3,63,3
R1-6,720575940629379334,4,3,63,3
R1-6,720575940646186862,5,3,63,3
R1-6,720575940618353081,3,3,65,3
R1-6,720575940635917722,3,3,65,3
R1-6,720575940623322444,4,3,66,3
R1-6,720575940623879779,5,3,66,3
R1-6,720575940630664574,4,3,66,3
R1-6,720575940637476782,5,3,66,3
R1-6,720575940644933064,4,3,66,3
R1-6,720575940627234332,4,3,68,3
R1-6,720575940627577945,4,3,68,3
R1-6,720575940628608772,5,4,68,4
R1-6,720575940632897607,5,4,68,4
R1-6,720575940632984401,4,3,68,3
R1-6,720575940642298843,5,4,68,4
R1-6,720575940623996184,4,3,69,3
R1-6,720575940631317612,4,3,69,3
R1-6,720575940631883983,3,3,69,3
R1-6,720575940632638265,3,3,69,3
R1-6,720575940639007972,5,3,69,3
R1-6,720575940623338966,3,3,70,3
R1-6,720575940625884860,3,3,70,3
R1-6,720575940631378028,3,3,70,3
R1-6,720575940639037668,3,3,70,3
R1-6,720575940640574579,3,3,70,3
R1-6,720575940617166779,3,3,71,3
R1-6,720575940619801398,3,3,71,3
R1-6,720575940621447083,3,3,71,3
R1-6,720575940623522269,3,3,71,3
R1-6,720575940625581460,3,3,71,3
R1-6,720575940625820942,3,3,71,3
R1-6,720575940625822963,3,3,71,3
R1-6,720575940610766607,4,4,73,4
R1-6,720575940612930522,5,4,73,4
R1-6,720575940623955736,5,4,73,4
R1-6,720575940625390059,6,4,73,4
R1-6,720575940628293509,6,4,73,4
R1-6,720575940633781037,4,3,73,3
R1-6,720575940645855255,5,4,73,4
R1-6,720575940611281272,3,3,75,3
R1-6,720575940622524254,3,3,75,3
R1-6,720575940637052279,3,3,75,3
R1-6,720575940648171652,3,3,75,3
R1-6,720575940633785645,4,3,78,3
R1-6,720575940613050803,4,4,79,4
R1-6,720575940614935347,4,3,79,3
R1-6,720575940615551890,7,4,79,4
R1-6,720575940627259394,4,3,79,3
R1-6,720575940637665454,5,4,79,4
R1-6,720575940639496774,4,4,79,4
R1-6,720575940613001458,3,3,80,3
R1-6,720575940628299141,5,4,80,4
R1-6,720575940630648186,4,3,80,3
R1-6,720575940639035881,4,4,80,4
R1-6,720575940610561906,3,3,81,3
R1-6,720575940621686881,4,4,81,4
R1-6,720575940624691893,3,3,81,3
R1-6,720575940624938749,4,4,81,4
