type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940623142476,4,4,35,4
R1-6,720575940623281885,4,3,35,3
R1-6,720575940634257377,6,4,35,4
R1-6,720575940623312135,5,3,36,3
R1-6,720575940624309139,7,4,36,4
R1-6,720575940625877762,4,3,36,3
R1-6,720575940627447897,4,3,36,3
R1-6,720575940637459546,5,4,36,4
R1-6,720575940646200686,4,3,36,3
R1-6,720575940610806478,4,3,37,3
R1-6,720575940613895395,4,3,37,3
R1-6,720575940618234769,4,4,37,4
R1-6,720575940624375274,5,3,37,3
R1-6,720575940634350306,5,4,37,4
R1-6,720575940636250360,3,3,37,3
R1-6,720575940611206702,5,3,38,3
R1-6,720575940620326872,3,3,38,3
R1-6,720575940620900231,5,3,38,3
R1-6,720575940623105100,4,3,38,3
R1-6,720575940629040134,5,3,38,3
R1-6,720575940633488979,4,4,38,4
R1-6,720575940634367970,4,3,38,3
R1-6,720575940607387593,5,3,39,3
R1-6,720575940609579019,4,2,39,2
R1-6,720575940618154726,4,3,39,3
R1-6,720575940625510899,4,3,39,3
R1-6,720575940626268464,5,3,39,3
R1-6,720575940615193342,4,3,40,3
R1-6,720575940617886267,4,3,40,3
R1-6,720575940628521551,2,2,40,2
R1-6,720575940639755317,5,2,40,2
R1-6,720575940618261222,3,3,41,3
R1-6,720575940621687206,4,3,41,3
R1-6,720575940630417022,4,3,41,3
R1-6,720575940609239051,4,3,42,3
R1-6,720575940616605490,4,3,42,3
R1-6,720575940618685853,5,3,42,3
R1-6,720575940624816381,5,3,42,3
R1-6,720575940629460995,4,3,42,3
R1-6,720575940611894882,3,3,43,3
R1-6,720575940632066319,4,2,43,2
R1-6,720575940615301031,4,4,44,4
R1-6,720575940622793822,7,5,44,5
R1-6,720575940622891945,5,4,44,4
R1-6,720575940626902846,5,4,44,4
R1-6,720575940630891308,6,4,44,4
R1-6,720575940614243309,4,3,45,3
R1-6,720575940618629533,3,3,45,3
R1-6,720575940624434922,3,3,45,3
R1-6,720575940629568299,4,3,45,3
R1-6,720575940635647935,4,3,45,3
R1-6,720575940630976476,2,2,46,2
R1-6,720575940615170302,4,4,47,4
R1-6,720575940618167185,5,3,47,3
R1-6,720575940619674678,4,3,47,3
R1-6,720575940622038132,5,4,48,4
R1-6,720575940629406736,3,2,48,2
R1-6,720575940620626891,4,3,49,3
R1-6,720575940622030006,5,4,49,4
R1-6,720575940624102185,4,3,49,3
R1-6,720575940624149128,4,3,49,3
R1-6,720575940639366470,4,3,49,3
R1-6,720575940645783063,7,4,49,4
