column_id,p,q,u,v,hex_index,hex_status
765,7,2,-7,5,169,inside
766,-4,0,4,-4,474,inside
767,13,15,-13,-2,33,inside
768,-1,6,1,-7,384,inside
769,-18,-9,18,-9,,outside
770,-3,7,3,-10,440,inside
771,-17,-10,17,-7,,outside
772,5,7,-5,-2,213,inside
773,-15,-4,15,-11,709,inside
774,11,-5,-11,16,,outside
775,6,16,-6,-10,,outside
776,5,16,-5,-11,,outside
777,4,16,-4,-12,,outside
778,8,17,-8,-9,,outside
779,7,17,-7,-10,,outside
780,18,7,-18,11,,outside
781,18,8,-18,10,,outside
782,18,9,-18,9,,outside
783,18,10,-18,8,,outside
784,18,11,-18,7,,outside
785,18,12,-18,6,,outside
786,17,13,-17,4,,outside
787,11,17,-11,-6,,outside
788,10,17,-10,-7,,outside
789,-11,-16,11,5,,outside
790,-12,-15,12,3,669,inside
791,-13,-15,13,2,687,inside
792,-7,9,7,-16,,outside
793,-11,5,11,-16,,outside
794,-18,-8,18,-10,,outside
795,-17,-4,17,-13,,outside
796,9,17,-9,-8,,outside
