column_id,p,q,u,v,hex_index,hex_status
1,12,1,-12,11,65,inside
2,9,-7,-9,16,,outside
3,-12,0,12,-12,654,inside
4,-6,-15,6,9,540,inside
5,9,7,-9,2,119,inside
6,0,-4,0,4,364,inside
7,3,-9,-3,12,282,inside
8,17,9,-17,8,,outside
9,0,9,0,-9,351,inside
10,-13,-2,13,-11,674,inside
11,-14,0,14,-14,689,inside
12,11,-2,-11,13,87,inside
13,-12,-14,12,2,668,inside
14,-14,-13,14,-1,702,inside
15,-4,1,4,-5,473,inside
16,-6,-10,6,4,535,inside
17,-4,-1,4,-3,475,inside
18,-13,-3,13,-10,675,inside
19,15,2,-15,13,13,inside
20,-9,-2,9,-7,596,inside
21,11,8,-11,3,77,inside
22,2,1,-2,1,300,inside
23,-5,-11,5,6,511,inside
24,-4,-6,4,2,480,inside
25,10,-7,-10,17,,outside
26,-3,0,3,-3,447,inside
27,-13,-12,13,-1,684,inside
28,-2,8,2,-10,411,inside
29,-1,-2,1,1,392,inside
30,2,14,-2,-12,287,inside
31,8,8,-8,0,140,inside
32,6,6,-6,0,189,inside
33,6,12,-6,-6,183,inside
34,3,15,-3,-12,258,inside
35,-13,-11,13,-2,683,inside
36,-2,10,2,-12,409,inside
37,1,4,-1,-3,326,inside
38,-1,-1,1,0,391,inside
39,10,10,-10,0,95,inside
40,-1,-5,1,4,395,inside
41,17,11,-17,6,,outside
42,8,6,-8,2,142,inside
43,14,4,-14,10,27,inside
44,-10,0,10,-10,615,inside
45,4,-5,-4,9,251,inside
46,12,3,-12,9,63,inside
47,8,-9,-8,17,,outside
48,-7,-15,7,8,564,inside
49,-6,2,6,-8,523,inside
50,12,9,-12,3,57,inside
51,-10,-9,10,-1,624,inside
52,-10,-12,10,2,627,inside
53,2,12,-2,-10,289,inside
54,5,-2,-5,7,222,inside
55,-2,-9,2,7,428,inside
56,-8,-5,8,-3,577,inside
57,-12,1,12,-13,653,inside
58,3,9,-3,-6,264,inside
59,3,-1,-3,4,274,inside
60,12,-4,-12,16,,outside
61,2,-6,-2,8,307,inside
62,-15,-14,15,-1,719,inside
63,2,10,-2,-8,291,inside
64,-16,-7,16,-9,,outside
65,15,13,-15,2,2,inside
66,5,10,-5,-5,210,inside
67,-5,-8,5,3,508,inside
68,5,11,-5,-6,209,inside
69,3,5,-3,-2,268,inside
70,14,7,-14,7,24,inside
71,0,-3,0,3,363,inside
72,-14,-14,14,0,703,inside
73,-1,3,1,-4,387,inside
74,-4,-5,4,1,479,inside
75,13,1,-13,12,47,inside
76,1,-5,-1,6,335,inside
77,-5,0,5,-5,500,inside
78,8,12,-8,-4,136,inside
79,-2,3,2,-5,416,inside
80,2,11,-2,-9,290,inside
81,-7,5,7,-12,544,inside
82,10,-3,-10,13,108,inside
83,-13,-8,13,-5,680,inside
84,8,4,-8,4,144,inside
85,-15,-7,15,-8,712,inside
86,1,-8,-1,9,338,inside
87,4,7,-4,-3,239,inside
88,-5,9,5,-14,491,inside
89,-11,-8,11,-3,643,inside
90,6,-1,-6,7,196,inside
91,4,2,-4,2,244,inside
92,4,5,-4,-1,241,inside
93,7,-4,-7,11,175,inside
94,4,14,-4,-10,232,inside
95,-15,-6,15,-9,711,inside
96,-6,-4,6,-2,529,inside
97,6,-4,-6,10,199,inside
98,-5,-7,5,2,507,inside
99,3,12,-3,-9,261,inside
100,-7,-3,7,-4,552,inside
101,10,-4,-10,14,109,inside
102,3,10,-3,-7,263,inside
103,-3,12,3,-15,435,inside
104,-13,-14,13,1,686,inside
105,8,14,-8,-6,134,inside
106,12,-1,-12,13,67,inside
107,-9,7,9,-16,,outside
108,-3,-9,3,6,456,inside
109,-7,2,7,-9,547,inside
110,7,-7,-7,14,178,inside
111,-14,-10,14,-4,699,inside
112,6,-5,-6,11,200,inside
113,4,0,-4,4,246,inside
114,-9,-4,9,-5,598,inside
115,5,-3,-5,8,223,inside
116,-3,-5,3,2,452,inside
117,7,-9,-7,16,,outside
118,-3,4,3,-7,443,inside
119,5,1,-5,4,219,inside
120,0,-1,0,1,361,inside
121,10,-6,-10,16,,outside
122,9,0,-9,9,126,inside
123,13,-3,-13,16,,outside
124,-5,-2,5,-3,502,inside
125,-1,10,1,-11,380,inside
126,2,9,-2,-7,292,inside
127,7,8,-7,-1,163,inside
128,-14,-8,14,-6,697,inside
129,-7,-6,7,-1,555,inside
130,4,8,-4,-4,238,inside
131,16,4,-16,12,,outside
132,0,4,0,-4,356,inside
133,13,7,-13,6,41,inside
134,-4,-14,4,10,488,inside
135,-8,-14,8,6,586,inside
136,1,2,-1,-1,328,inside
137,-9,2,9,-11,592,inside
138,13,14,-13,-1,34,inside
139,-8,-6,8,-2,578,inside
140,1,7,-1,-6,323,inside
141,-17,-6,17,-11,,outside
142,-7,-11,7,4,560,inside
143,12,4,-12,8,62,inside
144,-13,2,13,-15,670,inside
145,2,2,-2,0,299,inside
146,-4,-2,4,-2,476,inside
147,9,12,-9,-3,114,inside
148,1,-12,-1,13,342,inside
149,-13,-1,13,-12,673,inside
150,10,-5,-10,15,110,inside
151,-4,-10,4,6,484,inside
152,-11,-4,11,-7,639,inside
153,-8,8,8,-16,,outside
154,8,-8,-8,16,,outside
155,14,-1,-14,15,32,inside
156,9,-8,-9,17,,outside
157,-3,-4,3,1,451,inside
158,-6,1,6,-7,524,inside
159,-4,11,4,-15,463,inside
160,12,8,-12,4,58,inside
161,-11,-3,11,-8,638,inside
162,3,-5,-3,8,278,inside
163,12,-5,-12,17,,outside
164,0,-2,0,2,362,inside
165,4,12,-4,-8,234,inside
166,9,9,-9,0,117,inside
167,-9,-8,9,-1,602,inside
168,9,8,-9,1,118,inside
169,-9,-9,9,0,603,inside
170,5,-4,-5,9,224,inside
171,-16,-4,16,-12,,outside
172,10,12,-10,-2,93,inside
173,-15,-10,15,-5,715,inside
174,-12,-3,12,-9,657,inside
175,2,-9,-2,11,310,inside
176,8,5,-8,3,143,inside
177,1,-2,-1,3,332,inside
178,3,8,-3,-5,265,inside
179,-3,-13,3,10,460,inside
180,-16,-11,16,-5,,outside
181,-3,-1,3,-2,448,inside
182,-12,2,12,-14,652,inside
183,-3,-12,3,9,459,inside
184,3,-8,-3,11,281,inside
185,-8,-3,8,-5,575,inside
186,14,12,-14,2,19,inside
187,7,14,-7,-7,157,inside
188,13,4,-13,9,44,inside
189,0,13,0,-13,347,inside
190,0,-5,0,5,365,inside
191,-5,-6,5,1,506,inside
192,-2,12,2,-14,407,inside
193,7,-3,-7,10,174,inside
194,-3,-2,3,-1,449,inside
195,2,-3,-2,5,304,inside
196,5,3,-5,2,217,inside
197,-10,-10,10,0,625,inside
198,-5,7,5,-12,493,inside
199,-6,-6,6,0,531,inside
200,11,1,-11,10,84,inside
201,12,-3,-12,15,69,inside
202,14,13,-14,1,18,inside
203,-4,3,4,-7,471,inside
204,-6,4,6,-10,521,inside
205,-8,2,8,-10,570,inside
206,5,0,-5,5,220,inside
207,13,16,-13,-3,,outside
208,-16,-5,16,-11,,outside
209,-1,-7,1,6,397,inside
210,10,-2,-10,12,107,inside
211,6,-7,-6,13,202,inside
212,-10,-6,10,-4,621,inside
213,-5,1,5,-6,499,inside
214,6,-3,-6,9,198,inside
215,-3,10,3,-13,437,inside
216,7,12,-7,-5,159,inside
217,1,14,-1,-13,316,inside
218,3,7,-3,-4,266,inside
219,-8,4,8,-12,568,inside
220,-5,-1,5,-4,501,inside
221,8,-5,-8,13,153,inside
222,16,10,-16,6,,outside
223,15,11,-15,4,4,inside
224,2,3,-2,-1,298,inside
225,-15,-11,15,-4,716,inside
226,4,15,-4,-11,231,inside
227,9,-4,-9,13,130,inside
228,7,-6,-7,13,177,inside
229,-4,6,4,-10,468,inside
230,2,7,-2,-5,294,inside
231,-10,-2,10,-8,617,inside
232,10,3,-10,7,102,inside
233,-11,-2,11,-9,637,inside
234,0,3,0,-3,357,inside
235,1,10,-1,-9,320,inside
236,3,1,-3,2,272,inside
237,15,12,-15,3,3,inside
238,6,-9,-6,15,204,inside
239,9,-3,-9,12,129,inside
240,2,-5,-2,7,306,inside
241,-11,-6,11,-5,641,inside
242,7,-1,-7,8,172,inside
243,-10,-11,10,1,626,inside
244,-2,-10,2,8,429,inside
245,3,-6,-3,9,279,inside
246,11,4,-11,7,81,inside
247,-4,-11,4,7,485,inside
248,6,-6,-6,12,201,inside
249,-8,-4,8,-4,576,inside
250,1,0,-1,1,330,inside
251,-6,-8,6,2,533,inside
252,8,15,-8,-7,133,inside
253,3,13,-3,-10,260,inside
254,-15,-9,15,-6,714,inside
255,-1,-12,1,11,402,inside
256,-15,-5,15,-10,710,inside
257,8,13,-8,-5,135,inside
258,-5,-12,5,7,512,inside
259,4,-9,-4,13,255,inside
260,12,7,-12,5,59,inside
261,7,6,-7,1,165,inside
262,-7,-4,7,-3,553,inside
263,5,-1,-5,6,221,inside
264,-2,-4,2,2,423,inside
265,5,-6,-5,11,226,inside
266,-12,-13,12,1,667,inside
267,7,-5,-7,12,176,inside
268,-10,4,10,-14,611,inside
269,-12,-7,12,-5,661,inside
270,-5,-3,5,-2,503,inside
271,-1,7,1,-8,383,inside
272,-4,2,4,-6,472,inside
273,17,6,-17,11,,outside
274,-4,8,4,-12,466,inside
275,7,-8,-7,15,179,inside
276,-1,4,1,-5,386,inside
277,-9,6,9,-15,588,inside
278,10,0,-10,10,105,inside
279,8,0,-8,8,148,inside
280,-1,-13,1,12,403,inside
281,10,-8,-10,18,,outside
282,13,13,-13,0,35,inside
283,6,-2,-6,8,197,inside
284,12,13,-12,-1,53,inside
285,-15,-3,15,-12,708,inside
286,-12,-12,12,0,666,inside
287,11,2,-11,9,83,inside
288,16,14,-16,2,,outside
289,6,5,-6,1,190,inside
290,-17,-7,17,-10,,outside
291,-6,8,6,-14,517,inside
292,13,5,-13,8,43,inside
293,-13,-4,13,-9,676,inside
294,-11,-9,11,-2,644,inside
295,16,13,-16,3,,outside
296,-10,-8,10,-2,623,inside
297,-12,3,12,-15,651,inside
298,7,-2,-7,9,173,inside
299,10,2,-10,8,103,inside
300,-13,-5,13,-8,677,inside
301,13,3,-13,10,45,inside
302,6,11,-6,-5,184,inside
303,16,6,-16,10,,outside
304,-4,9,4,-13,465,inside
305,9,-5,-9,14,131,inside
306,0,7,0,-7,353,inside
307,-18,-7,18,-11,,outside
308,9,-1,-9,10,127,inside
309,12,0,-12,12,66,inside
310,9,13,-9,-4,113,inside
311,14,1,-14,13,30,inside
312,-8,1,8,-9,571,inside
313,-6,9,6,-15,516,inside
314,11,-6,-11,17,,outside
315,0,-6,0,6,366,inside
316,-7,3,7,-10,546,inside
317,3,-7,-3,10,280,inside
318,-14,-5,14,-9,694,inside
319,4,1,-4,3,245,inside
320,-1,-4,1,3,394,inside
321,-6,10,6,-16,,outside
322,11,15,-11,-4,70,inside
323,0,-13,0,13,373,inside
324,9,15,-9,-6,111,inside
325,-5,6,5,-11,494,inside
326,6,10,-6,-4,185,inside
327,-4,7,4,-11,467,inside
328,-10,1,10,-11,614,inside
329,12,12,-12,0,54,inside
330,-2,5,2,-7,414,inside
331,-9,-6,9,-3,600,inside
332,-17,-9,17,-8,,outside
333,-11,-10,11,-1,645,inside
334,-14,-12,14,-2,701,inside
335,2,6,-2,-4,295,inside
336,11,12,-11,-1,73,inside
337,2,-8,-2,10,309,inside
338,1,-1,-1,2,331,inside
339,-1,12,1,-13,378,inside
340,12,5,-12,7,61,inside
341,-15,-2,15,-13,707,inside
342,-10,-5,10,-5,620,inside
343,16,11,-16,5,,outside
344,-6,-9,6,3,534,inside
345,-9,-3,9,-6,597,inside
346,2,-11,-2,13,312,inside
347,-2,-11,2,9,430,inside
348,4,10,-4,-6,236,inside
349,-2,-12,2,10,431,inside
350,6,9,-6,-3,186,inside
351,-8,-9,8,1,581,inside
352,16,12,-16,4,,outside
353,10,14,-10,-4,91,inside
354,-11,-15,11,4,650,inside
355,4,-10,-4,14,256,inside
356,11,11,-11,0,74,inside
357,4,13,-4,-9,233,inside
358,11,6,-11,5,79,inside
359,9,14,-9,-5,112,inside
360,14,5,-14,9,26,inside
361,-4,-3,4,-1,477,inside
362,-12,-8,12,-4,662,inside
363,-9,5,9,-14,589,inside
364,-2,6,2,-8,413,inside
365,-1,8,1,-9,382,inside
366,-5,-15,5,10,515,inside
367,-2,-13,2,11,432,inside
368,-6,-14,6,8,539,inside
369,-8,3,8,-11,569,inside
370,13,8,-13,5,40,inside
371,-9,4,9,-13,590,inside
372,-2,0,2,-2,419,inside
373,-12,-9,12,-3,663,inside
374,4,9,-4,-5,237,inside
375,9,-2,-9,11,128,inside
376,2,-12,-2,14,313,inside
377,3,4,-3,-1,269,inside
378,12,6,-12,6,60,inside
379,-12,-5,12,-7,659,inside
380,15,14,-15,1,1,inside
381,3,-12,-3,15,285,inside
382,-6,0,6,-6,525,inside
383,11,0,-11,11,85,inside
384,5,-7,-5,12,227,inside
385,-6,-12,6,6,537,inside
386,15,4,-15,11,11,inside
387,-7,-8,7,1,557,inside
388,6,13,-6,-7,182,inside
389,-2,-14,2,12,433,inside
390,1,-10,-1,11,340,inside
391,-6,3,6,-9,522,inside
392,7,0,-7,7,171,inside
393,12,10,-12,2,56,inside
394,3,-11,-3,14,284,inside
395,-11,-11,11,0,646,inside
396,6,4,-6,2,191,inside
397,-7,-12,7,5,561,inside
398,14,8,-14,6,23,inside
399,-8,-16,8,8,,outside
400,-16,-13,16,-3,,outside
401,-8,-11,8,3,583,inside
402,10,16,-10,-6,,outside
403,-4,-8,4,4,482,inside
404,11,9,-11,2,76,inside
405,2,8,-2,-6,293,inside
406,-14,-11,14,-3,700,inside
407,0,-10,0,10,370,inside
408,4,-8,-4,12,254,inside
409,-2,-1,2,-1,420,inside
410,1,-3,-1,4,333,inside
411,-5,-14,5,9,514,inside
412,16,5,-16,11,,outside
413,-2,-5,2,3,424,inside
414,6,15,-6,-9,180,inside
415,0,12,0,-12,348,inside
416,-7,-1,7,-6,550,inside
417,1,-11,-1,12,341,inside
418,9,6,-9,3,120,inside
419,-3,-8,3,5,455,inside
420,-8,5,8,-13,567,inside
421,7,5,-7,2,166,inside
422,5,-9,-5,14,229,inside
423,-12,-6,12,-6,660,inside
424,2,-4,-2,6,305,inside
425,7,13,-7,-6,158,inside
426,3,-3,-3,6,276,inside
427,-14,-4,14,-10,693,inside
428,13,10,-13,3,38,inside
429,9,5,-9,4,121,inside
430,-1,-6,1,5,396,inside
431,-3,-7,3,4,454,inside
432,8,-1,-8,9,149,inside
433,-4,-4,4,0,478,inside
434,6,1,-6,5,194,inside
435,-14,-3,14,-11,692,inside
436,-8,-7,8,-1,579,inside
437,9,3,-9,6,123,inside
438,11,16,-11,-5,,outside
439,-2,-7,2,5,426,inside
440,10,13,-10,-3,92,inside
441,-11,-5,11,-6,640,inside
442,17,8,-17,9,,outside
443,8,-4,-8,12,152,inside
444,-9,-1,9,-8,595,inside
445,6,2,-6,4,193,inside
446,-9,-5,9,-4,599,inside
447,2,0,-2,2,301,inside
448,15,15,-15,0,0,inside
449,-14,-2,14,-12,691,inside
450,-7,-2,7,-5,551,inside
451,6,14,-6,-8,181,inside
452,-6,-3,6,-3,528,inside
453,9,16,-9,-7,,outside
454,-11,-1,11,-10,636,inside
455,-11,4,11,-15,631,inside
456,10,11,-10,-1,94,inside
457,10,7,-10,3,98,inside
458,-5,5,5,-10,495,inside
459,-7,4,7,-11,545,inside
460,-7,-13,7,6,562,inside
461,-10,5,10,-15,610,inside
462,10,8,-10,2,97,inside
463,3,14,-3,-11,259,inside
464,-4,4,4,-8,470,inside
465,-3,3,3,-6,444,inside
466,6,8,-6,-2,187,inside
467,-8,-12,8,4,584,inside
468,8,3,-8,5,145,inside
469,13,0,-13,13,48,inside
470,-9,0,9,-9,594,inside
471,-16,-10,16,-6,,outside
472,11,14,-11,-3,71,inside
473,15,8,-15,7,7,inside
474,-6,-11,6,5,536,inside
475,3,-4,-3,7,277,inside
476,8,7,-8,1,141,inside
477,4,-2,-4,6,248,inside
478,15,1,-15,14,14,inside
479,7,3,-7,4,168,inside
480,-13,-6,13,-7,678,inside
481,-8,0,8,-8,572,inside
482,7,10,-7,-3,161,inside
483,-6,-1,6,-5,526,inside
484,-8,-1,8,-7,573,inside
485,1,-4,-1,5,334,inside
486,0,1,0,-1,359,inside
487,-2,1,2,-3,418,inside
488,-5,10,5,-15,490,inside
489,8,2,-8,6,146,inside
490,8,-2,-8,10,150,inside
491,-8,7,8,-15,565,inside
492,6,-8,-6,14,203,inside
493,14,9,-14,5,22,inside
494,14,15,-14,-1,16,inside
495,-2,7,2,-9,412,inside
496,-3,11,3,-14,436,inside
497,-6,7,6,-13,518,inside
498,-1,11,1,-12,379,inside
499,0,10,0,-10,350,inside
500,-11,3,11,-14,632,inside
501,0,2,0,-2,358,inside
502,-1,9,1,-10,381,inside
503,5,12,-5,-7,208,inside
504,6,3,-6,3,192,inside
505,-17,-5,17,-12,,outside
506,-7,-5,7,-2,554,inside
507,-1,-11,1,10,401,inside
508,10,1,-10,9,104,inside
509,9,1,-9,8,125,inside
510,7,4,-7,3,167,inside
511,-11,0,11,-11,635,inside
512,-6,6,6,-12,519,inside
513,-3,-10,3,7,457,inside
514,-1,-9,1,8,399,inside
515,4,-11,-4,15,257,inside
516,-16,-2,16,-14,,outside
517,-5,8,5,-13,492,inside
518,15,7,-15,8,8,inside
519,2,-7,-2,9,308,inside
520,-9,-13,9,4,607,inside
521,-11,2,11,-13,633,inside
522,4,-4,-4,8,250,inside
523,5,9,-5,-4,211,inside
524,-14,-6,14,-8,695,inside
525,-9,-11,9,2,605,inside
526,-5,-5,5,0,505,inside
527,0,-8,0,8,368,inside
528,1,6,-1,-5,324,inside
529,-3,1,3,-4,446,inside
530,-4,-9,4,5,483,inside
531,-1,1,1,-2,389,inside
532,11,-4,-11,15,89,inside
533,-8,-8,8,0,580,inside
534,-2,4,2,-6,415,inside
535,-10,6,10,-16,,outside
536,-1,5,1,-6,385,inside
537,-12,-11,12,-1,665,inside
538,4,-3,-4,7,249,inside
539,13,2,-13,11,46,inside
540,-3,-6,3,3,453,inside
541,11,3,-11,8,82,inside
542,-13,0,13,-13,672,inside
543,-1,-3,1,2,393,inside
544,-10,-3,10,-7,618,inside
545,0,11,0,-11,349,inside
546,0,6,0,-6,354,inside
547,11,10,-11,1,75,inside
548,-9,-7,9,-2,601,inside
549,-5,-4,5,-1,504,inside
550,3,0,-3,3,273,inside
551,-1,-8,1,7,398,inside
552,-5,4,5,-9,496,inside
553,11,5,-11,6,80,inside
554,7,-10,-7,17,,outside
555,8,1,-8,7,147,inside
556,5,5,-5,0,215,inside
557,-11,1,11,-12,634,inside
558,-7,-14,7,7,563,inside
559,17,5,-17,12,,outside
560,14,0,-14,14,31,inside
561,-2,9,2,-11,410,inside
562,4,-6,-4,10,252,inside
563,-12,-1,12,-11,655,inside
564,-15,-8,15,-7,713,inside
565,-13,-13,13,0,685,inside
566,-9,1,9,-10,593,inside
567,13,9,-13,4,39,inside
568,2,-10,-2,12,311,inside
569,-3,9,3,-12,438,inside
570,10,15,-10,-5,90,inside
571,-7,-7,7,0,556,inside
572,9,-6,-9,15,132,inside
573,3,11,-3,-8,262,inside
574,8,-3,-8,11,151,inside
575,-2,11,2,-13,408,inside
576,14,14,-14,0,17,inside
577,-12,-2,12,-10,656,inside
578,-10,-1,10,-9,616,inside
579,-2,-8,2,6,427,inside
580,-10,-13,10,3,628,inside
581,1,8,-1,-7,322,inside
582,12,11,-12,1,55,inside
583,-16,-9,16,-7,,outside
584,7,16,-7,-9,,outside
585,-11,-12,11,1,647,inside
586,7,11,-7,-4,160,inside
587,7,15,-7,-8,156,inside
588,1,3,-1,-2,327,inside
589,-2,-3,2,1,422,inside
590,3,6,-3,-3,267,inside
591,-5,2,5,-7,498,inside
592,-17,-11,17,-6,,outside
593,-10,-4,10,-6,619,inside
594,-15,-1,15,-14,706,inside
595,-13,1,13,-14,671,inside
596,-4,-12,4,8,486,inside
597,-4,5,4,-9,469,inside
598,-11,-7,11,-4,642,inside
599,5,4,-5,1,216,inside
600,-8,-2,8,-6,574,inside
601,7,9,-7,-2,162,inside
602,-5,3,5,-8,497,inside
603,-9,-14,9,5,608,inside
604,-3,-14,3,11,461,inside
605,4,11,-4,-7,235,inside
606,-9,-10,9,1,604,inside
607,8,10,-8,-2,138,inside
608,4,6,-4,-2,240,inside
609,2,-2,-2,4,303,inside
610,-14,-9,14,-5,698,inside
611,-8,-10,8,2,582,inside
612,-10,-16,10,6,,outside
613,6,-10,-6,16,,outside
614,-2,-6,2,4,425,inside
615,3,-10,-3,13,283,inside
616,10,5,-10,5,100,inside
617,-7,-10,7,3,559,inside
618,13,11,-13,2,37,inside
619,-6,-13,6,7,538,inside
620,-7,8,7,-15,541,inside
621,11,13,-11,-2,72,inside
622,15,5,-15,10,10,inside
623,5,8,-5,-3,212,inside
624,-10,-7,10,-3,622,inside
625,14,10,-14,4,21,inside
626,1,-9,-1,10,339,inside
627,-1,0,1,-1,390,inside
628,0,0,0,0,360,inside
629,8,16,-8,-8,,outside
630,0,8,0,-8,352,inside
631,12,14,-12,-2,52,inside
632,-13,-7,13,-6,679,inside
633,-11,-13,11,2,648,inside
634,-5,-10,5,5,510,inside
635,-9,3,9,-12,591,inside
636,3,3,-3,0,270,inside
637,-14,-7,14,-7,696,inside
638,4,3,-4,1,243,inside
639,13,6,-13,7,42,inside
640,-7,-9,7,2,558,inside
641,5,-10,-5,15,230,inside
642,-1,-10,1,9,400,inside
643,1,13,-1,-12,317,inside
644,15,3,-15,12,12,inside
645,17,10,-17,7,,outside
646,2,15,-2,-13,286,inside
647,0,-7,0,7,367,inside
648,2,5,-2,-3,296,inside
649,3,2,-3,1,271,inside
650,-10,-15,10,5,630,inside
651,1,-6,-1,7,336,inside
652,0,-11,0,11,371,inside
653,0,-12,0,12,372,inside
654,7,1,-7,6,170,inside
655,-7,6,7,-13,543,inside
656,-6,-5,6,-1,530,inside
657,-11,-14,11,3,649,inside
658,9,11,-9,-2,115,inside
659,1,-7,-1,8,337,inside
660,12,16,-12,-4,,outside
661,10,4,-10,6,101,inside
662,-3,2,3,-5,445,inside
663,4,4,-4,0,242,inside
664,-15,-12,15,-3,717,inside
665,-8,6,8,-14,566,inside
666,-14,1,14,-15,688,inside
667,-15,-13,15,-2,718,inside
668,8,11,-8,-3,137,inside
669,-12,-4,12,-8,658,inside
670,-3,8,3,-11,439,inside
671,-8,-15,8,7,587,inside
672,13,-2,-13,15,50,inside
673,0,5,0,-5,355,inside
674,-3,-11,3,8,458,inside
675,16,3,-16,13,,outside
676,-8,-13,8,5,585,inside
677,5,6,-5,-1,214,inside
678,-7,0,7,-7,549,inside
679,5,13,-5,-8,207,inside
680,13,12,-13,1,36,inside
681,-9,-12,9,3,606,inside
682,-10,2,10,-12,613,inside
683,1,5,-1,-4,325,inside
684,14,3,-14,11,28,inside
685,0,-9,0,9,369,inside
686,-16,-6,16,-10,,outside
687,4,-7,-4,11,253,inside
688,12,-2,-12,14,68,inside
689,11,7,-11,4,78,inside
690,5,-8,-5,13,228,inside
691,11,-7,-11,18,,outside
692,16,8,-16,8,,outside
693,15,10,-15,5,5,inside
694,-3,6,3,-9,441,inside
695,11,-1,-11,12,86,inside
696,10,6,-10,4,99,inside
697,-12,-10,12,-2,664,inside
698,-10,3,10,-13,612,inside
699,5,-5,-5,10,225,inside
700,2,13,-2,-11,288,inside
701,-2,-2,2,0,421,inside
702,16,7,-16,9,,outside
703,3,-2,-3,5,275,inside
704,11,-3,-11,14,88,inside
705,-1,2,1,-3,388,inside
706,1,-13,-1,14,343,inside
707,14,11,-14,3,20,inside
708,-9,-16,9,7,,outside
709,-10,-14,10,4,629,inside
710,-17,-8,17,-9,,outside
711,10,9,-10,1,96,inside
712,13,-1,-13,14,49,inside
713,14,2,-14,12,29,inside
714,1,11,-1,-10,319,inside
715,1,9,-1,-8,321,inside
716,-7,1,7,-8,548,inside
717,-13,-9,13,-4,681,inside
718,17,7,-17,10,,outside
719,12,15,-12,-3,51,inside
720,15,6,-15,9,9,inside
721,1,12,-1,-11,318,inside
722,-14,-1,14,-13,690,inside
723,-4,-7,4,3,481,inside
724,-3,5,3,-8,442,inside
725,-9,-15,9,6,609,inside
726,-16,-12,16,-4,,outside
727,-4,10,4,-14,464,inside
728,-1,13,1,-14,377,inside
729,17,12,-17,5,,outside
730,-7,7,7,-14,542,inside
731,10,-1,-10,11,106,inside
732,6,0,-6,6,195,inside
733,-4,-13,4,9,487,inside
734,-2,2,2,-4,417,inside
735,-13,-10,13,-3,682,inside
736,8,-7,-8,15,155,inside
737,9,10,-9,-1,116,inside
738,9,4,-9,5,122,inside
739,8,-6,-8,14,154,inside
740,-6,-2,6,-4,527,inside
741,-5,-9,5,4,509,inside
742,9,2,-9,7,124,inside
743,-16,-3,16,-13,,outside
744,16,9,-16,7,,outside
745,6,7,-6,-1,188,inside
746,4,-1,-4,5,247,inside
747,1,1,-1,0,329,inside
748,14,6,-14,8,25,inside
749,2,-1,-2,3,302,inside
750,-16,-8,16,-8,,outside
751,2,4,-2,-2,297,inside
752,5,2,-5,3,218,inside
753,15,9,-15,6,6,inside
754,-6,-7,6,1,532,inside
755,5,14,-5,-9,206,inside
756,5,15,-5,-10,205,inside
757,-3,-3,3,0,450,inside
758,-6,5,6,-11,520,inside
759,0,14,0,-14,346,inside
760,8,9,-8,-1,139,inside
761,-5,-13,5,8,513,inside
762,7,7,-7,0,164,inside
763,12,2,-12,10,64,inside
764,5,-11,-5,16,,outside
