condition,speed_dps,LC18,LC21,LC11,LC25,LC15,LPLC2,LC4,LPLC1,LC17,LC12
speed (bright),25,12.1,91.4,64.4,81.4,81.4,,5.1,8.5,10.2,50.8
speed (bright),50,29.3,103.4,89.8,69.5,72.9,,6.8,16.9,11.9,55.9
speed (bright),100,81.0,74.1,71.2,62.7,59.3,,11.9,15.3,15.3,69.5
speed (bright),200,84.5,46.6,55.9,55.9,52.5,,18.6,11.9,13.6,62.7
speed (bright),400,62.1,25.9,15.3,40.7,35.6,,15.3,5.1,6.8,39.0
speed (bright),800,17.2,6.9,5.1,15.3,8.5,,8.5,6.8,1.7,20.3
speed (dark),25,10.3,29.3,72.9,84.7,91.5,,6.8,23.7,8.5,66.1
speed (dark),50,12.1,56.9,74.6,81.4,94.9,,30.5,25.4,11.9,61.0
speed (dark),100,63.8,79.3,94.9,81.4,84.7,,76.3,33.9,15.3,69.5
speed (dark),200,91.4,46.6,93.2,67.8,76.3,,91.5,32.2,16.9,66.1
speed (dark),400,94.8,39.7,55.9,50.8,45.8,,91.5,25.4,8.5,57.6
speed (dark),800,60.3,36.2,10.2,40.7,15.3,,66.1,13.6,3.4,42.4
looming (bright),25,15.5,17.2,35.6,16.9,13.6,35.6,8.5,35.6,33.9,78.0
looming (bright),100,19.0,8.6,13.6,13.6,13.6,20.3,18.6,25.4,44.1,62.7
looming (dark),25,1.7,34.5,49.2,45.8,13.6,103.4,62.7,93.2,93.2,98.3
looming (dark),100,19.0,12.1,27.1,16.9,0.0,88.1,101.7,88.1,91.5,83.1
