N,ref
1.295000000000000000e+03,-4.896002762432823374e+01
1.295000000000000000e+03,-4.004359045298427588e+01
1.295000000000000000e+03,-4.739723662668706083e+01
1.295000000000000000e+03,-5.650214710404884499e+01
1.295000000000000000e+03,-5.275522416958077798e+01
1.295000000000000000e+03,-4.339519979750227918e+01
1.295000000000000000e+03,-6.044075343729263494e+01
1.295000000000000000e+03,-3.807727078294067269e+01
1.295000000000000000e+03,-3.423408513242236495e+01
1.295000000000000000e+03,-4.929185853142676166e+01
1.295000000000000000e+03,-4.999999448793833778e+01
1.295000000000000000e+03,-1.208488554566481099e+01
1.295000000000000000e+03,-5.123579058126188812e+01
1.295000000000000000e+03,-3.750644238561192623e+01
1.295000000000000000e+03,-4.791486528456945848e+01
1.295000000000000000e+03,-4.956486490051199922e+01
1.295000000000000000e+03,-4.085364749319417399e+01
1.295000000000000000e+03,-3.851853477289662919e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.899985829227912859e+01
1.295000000000000000e+03,-4.750757450727822828e+01
1.295000000000000000e+03,-5.042540230633612452e+01
1.295000000000000000e+03,-4.777617426459929817e+01
1.295000000000000000e+03,-2.729198791678129155e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.345904332461942232e+01
1.295000000000000000e+03,-3.797181555381529705e+01
1.295000000000000000e+03,-4.665433307800002893e+01
1.295000000000000000e+03,-5.143305975228304305e+01
1.295000000000000000e+03,-3.684475901267416020e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-2.627259630845487237e+01
1.295000000000000000e+03,-5.000133396053841750e+01
1.295000000000000000e+03,-5.055180076094364239e+01
1.295000000000000000e+03,-1.344079290902846857e+01
1.295000000000000000e+03,-4.899114596796271570e+01
1.295000000000000000e+03,-2.688248822950045280e+01
1.295000000000000000e+03,-4.740775955461323576e+01
1.295000000000000000e+03,-5.409852927539265011e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.652519251733842509e+01
1.295000000000000000e+03,-4.129545765103598853e+01
1.295000000000000000e+03,-3.922177553156283381e+01
1.295000000000000000e+03,-2.948038379518801122e+01
1.295000000000000000e+03,-4.482303414931732277e+01
1.295000000000000000e+03,-4.773635009010055086e+01
1.295000000000000000e+03,-5.137278010139130657e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.314141895599941279e+01
1.295000000000000000e+03,-4.881640823006094365e+01
1.295000000000000000e+03,-3.881269829341076161e+01
1.295000000000000000e+03,-3.700726330704861056e+01
1.295000000000000000e+03,-6.036907924136833259e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.883398497921104564e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-3.301388098817105288e+01
1.295000000000000000e+03,-2.957779324192922488e+01
1.295000000000000000e+03,-5.303647975167132955e+01
1.295000000000000000e+03,-4.999999976028799153e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.399709140803575735e+01
1.295000000000000000e+03,-3.869417500094702689e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.051778015655474974e+01
1.295000000000000000e+03,-6.277283057010293277e+01
1.295000000000000000e+03,-3.674158290165954810e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-6.221436991416049977e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-2.831253470418594986e+01
1.295000000000000000e+03,-5.302827712260616266e+01
1.295000000000000000e+03,-3.705624778527695184e+01
1.295000000000000000e+03,-4.258040736837242690e+01
1.295000000000000000e+03,-5.241407046295783090e+01
1.295000000000000000e+03,-3.263545103254939050e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.536728003048508384e+01
1.295000000000000000e+03,-5.803450204630968301e+01
1.295000000000000000e+03,-4.357862644917448591e+01
1.295000000000000000e+03,-4.898874456512719888e+01
1.295000000000000000e+03,-3.782126099142554665e+01
1.295000000000000000e+03,-3.557481165487400432e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.652091360895886396e+01
1.295000000000000000e+03,-5.291683699199213464e+01
1.295000000000000000e+03,-4.346941151739292764e+01
1.295000000000000000e+03,-3.548910720314680844e+01
1.295000000000000000e+03,-4.900966531070272936e+01
1.295000000000000000e+03,-4.060649734234185360e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-6.126373626980681308e+01
1.295000000000000000e+03,-6.236030244999278693e+01
1.295000000000000000e+03,-6.135145881541229329e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.035150221652289559e+01
1.295000000000000000e+03,-5.233166319675395073e+01
1.295000000000000000e+03,-4.544891165949347567e+01
1.295000000000000000e+03,-4.587427460966898707e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.920235734197147082e+01
1.295000000000000000e+03,-4.175984711197141763e+01
1.295000000000000000e+03,-3.963172822195056710e+01
1.295000000000000000e+03,-4.447366392702546989e+01
1.295000000000000000e+03,-4.774299230817931772e+01
1.295000000000000000e+03,-6.056170932608760893e+01
1.295000000000000000e+03,-5.871633487273456353e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-5.938590816082808743e+01
1.295000000000000000e+03,-5.672489584734886137e+01
1.295000000000000000e+03,-4.916442054189343480e+01
1.295000000000000000e+03,-5.286089945040588134e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-2.983915808023881056e+01
1.295000000000000000e+03,-4.034957739028340740e+01
1.295000000000000000e+03,-5.609204051959049764e+01
1.295000000000000000e+03,-5.169578360577897058e+01
1.295000000000000000e+03,-5.000000056416136829e+01
1.295000000000000000e+03,-2.897731554291531353e+01
1.295000000000000000e+03,-5.224281687934392693e+01
1.295000000000000000e+03,-3.878483512878046469e+01
1.295000000000000000e+03,-2.707625718523862446e+01
1.295000000000000000e+03,-5.936205304032278463e+01
1.295000000000000000e+03,-3.804747050957397647e+01
1.295000000000000000e+03,-5.000000000000000000e+01
1.295000000000000000e+03,-4.999999675014004197e+01
1.295000000000000000e+03,-4.748989292991950606e+01
1.295000000000000000e+03,-5.861870771040126016e+01
1.295000000000000000e+03,-3.307698340532713388e+01
