idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,0.100000,0.924097,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
1,R2,0.100000,0.909133,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
2,R3,0.379520,1.434618,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
3,R4,0.100000,0.995619,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
4,R5,0.100000,1.194918,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
5,R6,0.278042,0.928685,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
6,R7,0.800459,0.478402,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
7,R8,0.388117,1.190936,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
8,L1,2.415702,1.978570,49.519870,49.752187,6.376185,-48.989927,-0.330498,-50.454098
9,L2,2.467256,1.852340,51.269325,53.754888,6.267179,-48.989927,-0.330498,-50.454098
10,L3,0.581547,1.850561,0.000000,0.000000,2.101486,-48.989927,-0.330498,-50.454098
11,L4,1.529750,0.960578,0.807806,0.000000,0.000000,-48.989927,-0.330498,-50.454098
12,L5,0.100000,0.100000,46.192716,51.067214,0.000000,-48.989927,-0.330498,-50.454098
13,Lawf1,0.822021,0.860571,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
14,Lawf2,1.434472,1.496148,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
15,Am,2.366958,2.191654,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
16,C2,0.225804,0.229092,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
17,C3,0.175157,0.168732,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
18,CT1(Lo1),2.641378,2.432961,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
19,CT1(M10),2.868421,2.489473,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
20,Mi1,2.189478,1.951091,0.000000,0.000000,3.226151,-48.989927,-0.330498,-50.454098
21,Mi2,2.011446,1.674115,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
22,Mi3,1.513846,1.406504,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
23,Mi4,1.197636,0.690509,0.000000,0.000000,2.225479,-48.989927,-0.330498,-50.454098
24,Mi9,1.215611,0.423393,0.000000,0.000000,1.792738,-48.989927,-0.330498,-50.454098
25,Mi10,1.429831,1.484035,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
26,Mi11,0.443046,0.539708,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
27,Mi12,1.223149,1.226421,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
28,Mi13,0.134706,0.124105,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
29,Mi14,0.587912,0.513771,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
30,Mi15,0.362418,0.321240,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
31,T1,3.181191,2.467899,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
32,T2,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
33,T2a,1.232516,0.485900,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
34,T3,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
35,T4a,1.286809,0.949633,0.000000,0.000000,3.404648,-48.989927,-0.330498,-50.454098
36,T4b,1.841085,1.411237,0.000000,0.000000,3.324806,-48.989927,-0.330498,-50.454098
37,T4c,1.464679,1.325853,0.000000,0.000000,3.316728,-48.989927,-0.330498,-50.454098
38,T4d,1.773607,2.339484,0.000000,0.000000,4.175675,-48.989927,-0.330498,-50.454098
39,T5a,1.595016,1.861231,0.000000,0.000000,1.036767,-48.989927,-0.330498,-50.454098
40,T5b,1.764924,1.863715,0.000000,0.000000,0.902570,-48.989927,-0.330498,-50.454098
41,T5c,0.853983,0.466789,0.000000,0.000000,2.676816,-48.989927,-0.330498,-50.454098
42,T5d,0.944420,0.284189,0.000000,0.000000,2.769738,-48.989927,-0.330498,-50.454098
43,Tm1,2.865117,1.772732,0.000000,0.000000,2.265048,-48.989927,-0.330498,-50.454098
44,Tm2,1.567274,0.336651,0.000000,0.000000,0.669867,-48.989927,-0.330498,-50.454098
45,Tm3,2.392231,0.580023,0.000000,0.000000,2.352930,-48.989927,-0.330498,-50.454098
46,Tm4,1.368092,0.114111,0.000000,0.000000,1.584367,-48.989927,-0.330498,-50.454098
47,Tm5Y,1.377699,1.412391,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
48,Tm5a,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
49,Tm5b,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
50,Tm5c,1.543972,1.496341,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
51,Tm9,1.939970,0.389041,0.000000,0.000000,2.770843,-48.989927,-0.330498,-50.454098
52,Tm16,1.271521,1.324605,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
53,Tm20,2.620540,2.990316,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
54,Tm28,0.100360,0.100803,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
55,Tm30,0.580828,0.412888,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
56,TmY3,0.730304,0.366087,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
57,TmY4,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
58,TmY5a,1.404387,2.274294,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
59,TmY9,0.524085,0.391348,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
60,TmY10,0.527416,0.415757,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
61,TmY13,1.006775,1.032517,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
62,TmY14,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
63,TmY15,0.284184,0.249691,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
64,TmY18,0.100000,0.100000,0.000000,0.000000,1.000000,-48.989927,-0.330498,-50.454098
