idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
0,R1-6,1.703584,1.494183,-49.566589,-50.000000,0.953512,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-26.950551,-26.950544
1,R7,1.703584,1.485197,-50.637856,-50.000000,0.973269,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-29.755319,-29.755317
2,R8,1.703584,0.572113,-49.710322,-50.000000,1.017084,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-31.440070,-31.440066
3,L1,1.703584,1.730997,-49.801631,-20.000000,0.289772,0.000000,0.413455,-49.762914,-0.313130,-50.108120,-42.227180,-42.227086
4,L2,1.703584,1.053133,-50.387839,-20.000000,0.394211,0.000000,0.952948,-49.762914,-0.313130,-50.108120,-41.646778,-41.646787
5,L3,1.703584,1.693115,-49.820001,-50.000000,1.528686,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-34.771781,-34.771215
6,L4,1.703584,0.173204,-50.169706,-50.000000,0.336201,0.000000,0.716349,-49.762914,-0.313130,-50.108120,-28.135505,-28.135552
7,L5,1.703584,0.324344,-49.621916,-50.000000,0.888417,0.000000,1.000000,-49.762914,-0.313130,-50.108120,-34.859990,-34.859636
8,Mi1,1.703584,1.631809,-49.776231,-50.000000,1.019045,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-37.123159,-37.122945
9,Tm3,1.703584,1.065532,-49.577344,-50.000000,0.442156,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-25.183105,-25.181423
10,Mi4,1.703584,0.408312,-49.313227,-50.000000,1.565124,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-37.649570,-37.649563
11,Mi9,1.703584,1.720548,-49.672387,-50.000000,1.128735,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-8.335486,-8.335238
12,T4a,1.703584,0.226956,-50.128578,-50.000000,0.983046,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-34.731916,-34.731953
13,T4b,1.703584,0.619806,-49.389608,-50.000000,1.034836,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-32.661185,-32.660770
14,T4c,1.703584,0.604219,-49.306001,-50.000000,0.997297,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-30.038326,-30.037791
15,T4d,1.703584,0.961963,-50.633038,-50.000000,1.023790,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-10.774053,-10.772558
16,Tm1,1.703584,0.204143,-49.906988,-50.000000,1.264833,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-23.723681,-23.724873
17,Tm2,1.703584,0.440140,-50.688637,-50.000000,0.984191,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-22.794752,-22.795250
18,Tm4,1.703584,0.982934,-50.097796,-50.000000,0.504301,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-28.514133,-28.514881
19,Tm9,1.703584,0.861721,-49.930816,-50.000000,0.319868,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-11.131385,-11.130533
20,T5a,1.703584,1.215489,-50.307496,-50.000000,1.037919,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-6.551331,-6.550815
21,T5b,1.703584,1.801277,-50.807662,-50.000000,0.958078,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-2.666056,-2.664817
22,T5c,1.703584,1.304132,-50.451774,-50.000000,0.992815,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-5.463579,-5.462467
23,T5d,1.703584,1.064892,-50.149143,-50.000000,1.026767,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-8.975926,-8.975386
24,T1,1.703584,0.519113,-49.952413,-50.000000,1.045234,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-36.979555,-36.979675
25,T2,1.703584,1.393701,-50.544156,-50.000000,1.012386,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-3.181604,-3.179507
26,T2a,1.703584,0.319278,-49.661711,-50.000000,1.043099,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-9.901798,-9.901275
27,T3,1.703584,0.404456,-49.369714,-50.000000,0.966204,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-1.865613,-1.863723
28,C2,1.703584,0.195266,-49.540216,-50.000000,0.969086,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-32.833784,-32.833189
29,C3,1.703584,0.774594,-50.163351,-50.000000,1.029077,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-31.171423,-31.170936
30,Lawf1,1.703584,1.825340,-50.023491,-50.000000,0.976477,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-27.792249,-27.791385
31,Lawf2,1.703584,1.488218,-50.514505,-50.000000,1.008143,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-14.020899,-14.018388
32,Dm3v,1.703584,1.376853,-50.573500,-50.000000,1.044586,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-23.935787,-23.937112
33,Lai,1.703584,0.364394,-50.217487,-50.000000,1.016360,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-40.001534,-40.000594
34,Mi10,1.703584,1.382717,-49.133645,-50.000000,1.023359,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-41.820767,-41.820759
35,Mi13,1.703584,0.661043,-49.533587,-50.000000,1.032726,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-30.136804,-30.136702
36,Mi14,1.703584,0.975731,-49.981763,-50.000000,0.973432,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-4.888159,-4.885645
37,Mi15,1.703584,0.135093,-49.808222,-50.000000,0.970729,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-36.841367,-36.841512
38,Mi2,1.703584,0.853771,-49.729908,-50.000000,0.999424,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-21.076231,-21.075871
39,Tm16,1.703584,0.695395,-50.042489,-50.000000,0.957390,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-36.024953,-36.024928
40,Tm20,1.703584,1.410416,-49.793811,-50.000000,0.976875,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-12.511472,-12.511005
41,Tm21,1.703584,1.185946,-50.502781,-50.000000,0.970691,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-25.350716,-25.351028
42,Tm27,1.703584,0.315197,-49.191118,-50.000000,1.022840,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-30.635177,-30.634841
43,Tm5a,1.703584,0.442718,-49.135278,-50.000000,0.999110,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-35.310032,-35.309790
44,Tm5b,1.703584,0.144583,-49.171765,-50.000000,0.976796,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-36.295137,-36.295341
45,Tm5c,1.703584,1.114925,-50.716568,-50.000000,1.041559,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-9.108182,-9.106810
46,Tm5f,1.703584,0.743717,-49.431302,-50.000000,1.020884,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-15.560205,-15.558661
47,TmY10,1.703584,1.263682,-49.410193,-50.000000,0.985068,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-23.934325,-23.933517
48,TmY11,1.703584,0.125476,-49.209223,-50.000000,1.002165,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-41.484257,-41.484305
49,TmY14,1.703584,0.436914,-49.913427,-50.000000,0.991399,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-12.653988,-12.655149
50,TmY15,1.703584,1.591491,-50.505472,-50.000000,0.951067,0.000000,0.500000,-49.762914,-0.313130,-50.108120,0.897580,0.900086
51,TmY3,1.703584,1.487489,-50.619494,-50.000000,1.019072,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-21.731862,-21.730793
52,TmY4,1.703584,0.668736,-49.642850,-50.000000,1.007039,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-33.378423,-33.377343
53,TmY5a,1.703584,1.022277,-49.850890,-50.000000,1.020828,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-7.631819,-7.631022
54,TmY9q,1.703584,0.606415,-49.354173,-50.000000,0.972969,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-24.553892,-24.554269
55,TmY9q__perp,1.703584,1.154290,-49.315173,-50.000000,1.036476,0.000000,0.500000,-49.762914,-0.313130,-50.108120,-25.004263,-25.005112
