idx,cell,a_in,a_out,v_th,a_gt,bias_gt,h_g_max,h_g_max_off,h_v_mid,h_slope,tau_v_mid,h_v_mid_off,h_slope_off,tau_v_mid_off,v_pre,v_onset
0,R1-6,1.689838,1.800202,-50.000000,1.035224,0.000000,0.000000,0.000000,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-30.558945,-30.553584
1,R7,1.689838,1.892794,-50.000000,0.993240,0.000000,0.000000,0.000000,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-30.159865,-30.118277
2,R8,1.689838,0.100000,-50.000000,1.026536,0.000000,0.000000,0.000000,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-46.389213,-46.428600
3,L1,1.689838,1.735189,-50.000000,0.121269,0.000000,53.053162,52.414286,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-48.849510,-48.791765
4,L2,1.689838,1.264166,-50.000000,0.158987,0.000000,50.237865,47.241544,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-48.912546,-48.916229
5,L3,1.689838,0.153682,-50.000000,0.574707,0.000000,0.000000,0.000000,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-33.045434,-29.193611
6,L4,1.689838,1.021172,-50.000000,0.135516,0.000000,53.174587,54.564462,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-48.497078,-48.497351
7,L5,1.689838,0.628379,-50.000000,1.841717,0.000000,51.379742,54.127851,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-48.560420,-48.556325
8,Mi1,1.689838,1.072175,-50.000000,0.995709,0.000000,0.000000,0.000000,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-37.157512,-35.900243
9,Tm3,1.689838,1.678824,-50.000000,0.295099,0.000000,0.000000,0.000000,-50.341091,-0.200000,-50.154092,-47.346766,-0.400000,-49.255044,-15.839075,-12.805508
