idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,0.908883,2.923176,1.000397,0.338624,53.001803,10000.000000,0.000000,1.000000
1,R7,1.000000,3.076776,8.880167,0.998961,-0.214714,54.773151,10000.000000,0.000000,1.000000
2,R8,1.000000,4.533621,-0.986495,0.960736,0.450530,31.450076,9983.943541,0.000000,1.000000
3,L1,1.000000,0.168609,-1.284349,0.997640,-0.272025,49.799729,204.252088,0.000000,0.174882
4,L2,1.000000,2.939089,3.565493,0.978581,-0.367014,51.644670,201.600456,0.000000,1.387097
5,L3,1.000000,0.176354,-1.329735,0.100000,-3.778502,52.030929,10000.000000,0.000000,1.000000
6,L4,1.000000,2.357863,2.129445,1.032319,0.115595,50.554988,206.604377,0.000000,1.974200
7,L5,1.000000,0.100000,-1.737968,0.960948,-0.325692,49.510358,202.955520,0.000000,0.100000
8,Mi1,1.000000,10.000000,12.381268,1.037458,-0.277698,31.872382,10000.000000,0.000000,1.000000
9,Mi4,1.000000,0.673721,-0.250855,0.981292,-0.185003,48.194761,9993.691414,0.000000,1.000000
10,Mi9,1.000000,2.080780,-0.407127,1.037792,0.111956,61.000597,9993.676420,0.000000,1.000000
11,T1,1.000000,1.820902,0.372626,1.005927,-0.026418,48.572923,9999.143585,0.000000,1.000000
12,T2,1.000000,6.010241,2.325571,1.037770,-0.002421,43.420732,9999.366954,0.000000,1.000000
13,T2a,1.000000,9.946678,13.397421,1.012472,-0.287015,55.275091,9994.171643,0.000000,1.000000
14,T3,1.000000,3.013562,1.336551,0.989175,0.260566,52.080705,9997.686442,0.000000,1.000000
15,T4a,1.000000,0.100000,-2.129947,0.959810,0.143288,50.571313,9999.939661,0.000000,1.000000
16,T4b,1.000000,0.100000,-0.401853,0.989301,0.272335,51.431916,9994.806145,0.000000,1.000000
17,T4c,1.000000,0.100000,-0.967512,1.029156,-0.436935,52.215884,10000.000000,0.000000,1.000000
18,T4d,1.000000,10.000000,14.091561,0.995860,0.049511,60.624097,10000.000000,0.000000,1.000000
19,T5a,1.000000,0.102410,-2.832917,1.010211,0.425434,49.983170,9999.998957,0.000000,1.000000
20,T5b,1.000000,10.000000,2.674300,1.046474,0.224634,62.114598,10000.000000,0.000000,1.000000
21,T5c,1.000000,0.100000,-2.225665,1.024621,0.013274,50.760766,9999.999543,0.000000,1.000000
22,T5d,1.000000,1.392563,-1.178680,1.005565,-0.133165,51.564379,9996.391585,0.000000,1.000000
23,Tm1,1.000000,3.854693,4.486374,1.019625,0.113999,50.537473,9991.129421,0.000000,1.000000
24,Tm2,1.000000,6.186518,10.154558,0.964374,0.412576,61.251011,9995.671268,0.000000,1.000000
25,Tm20,1.000000,9.974082,11.187578,0.958434,0.305848,56.148989,10000.000000,0.000000,1.000000
26,Tm21,1.000000,8.809598,6.166947,1.008086,0.105654,49.241592,9999.454596,0.000000,1.000000
27,Tm3,1.000000,0.107512,-1.466101,0.955021,-0.363730,43.958489,9999.836529,0.000000,1.000000
28,Tm4,1.000000,9.566400,1.327891,1.024507,0.088644,43.598719,9982.427048,0.000000,1.000000
29,Tm9,1.000000,4.151140,5.029600,0.998238,0.332868,66.803129,9986.813941,0.000000,1.000000
30,C2,1.000000,2.126539,2.295813,1.013177,-0.491146,39.430473,10000.000000,0.000000,1.000000
31,C3,1.000000,10.000000,-6.862577,0.991006,0.386299,45.741172,9983.597854,0.000000,1.000000
32,Lawf1,1.000000,0.364446,-0.398019,1.019609,0.274507,52.527902,10000.000000,0.000000,1.000000
33,Lawf2,1.000000,5.620588,-1.870714,1.036597,0.455706,45.413872,9987.575390,0.000000,1.000000
