,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,0.193293,0.100000,1.072309,8.403617,,,,,0.100000,,,,,,,,,,,,,,,,,,,10.000000,2.279265,,
R7,,,6.928968,1.585163,,2.932638,,,10.000000,1.824959,1.054217,,,,,,,,,,,,,,,0.937033,,,,,,1.037754,1.910560,
R8,,8.226906,6.143696,0.547090,0.100000,0.978878,,0.979221,7.266091,1.440687,7.718953,0.100000,,,,,,,,,,,,,,0.893218,3.903607,,,,0.100000,1.020603,2.163756,2.935098
L1,1.681651,1.542757,0.948047,0.971971,0.301904,0.343103,0.992591,0.975296,0.809284,0.986613,,0.964753,0.979202,1.003089,,,,,,,,,,0.983645,1.045912,,,1.037912,,,1.626717,1.725632,,1.004704
L2,0.100000,,10.000000,0.153662,7.185925,3.562383,1.815777,0.100000,0.100000,1.247094,0.100000,2.596064,0.100000,1.034569,,,,,,,,,,3.192546,1.748438,9.540740,,1.366353,1.932629,,0.100000,7.508716,,
L3,,0.979664,0.987590,0.977372,0.768168,,,,1.163359,0.969705,1.895918,0.165048,,,,,,,,,,,,0.985469,1.008025,1.278993,1.037884,,0.972515,1.034780,1.038696,1.006419,1.038365,
L4,0.257155,,,0.862510,1.853025,1.997319,1.397724,1.011196,0.100000,,2.630018,,9.460423,,,,,,,,,,,8.606807,4.051665,,,,9.898309,10.000000,,0.590146,0.100000,0.100000
L5,,,,0.987112,0.100000,,,1.038882,0.969097,0.969570,1.036076,1.023478,0.965784,1.001172,,,,,,,,,,1.048537,1.039730,0.966615,0.966405,1.045444,0.950267,,1.018106,0.985033,0.990948,1.003104
Mi1,,0.100000,10.000000,0.100000,8.065152,,,1.048019,0.100000,0.683350,0.193118,7.002600,4.901825,0.226256,1.371431,0.100000,0.100000,0.100000,10.000000,,,,,6.571396,8.242427,10.000000,7.113529,0.111459,9.698109,,2.736137,0.100000,0.100000,10.000000
Mi4,,,,,0.665472,0.779678,,1.032786,0.163905,1.015832,0.605630,0.100000,,1.008460,,1.025122,1.048575,1.049392,1.026350,,,,,0.310164,0.847016,0.100000,,0.970553,1.044332,2.435490,1.257861,0.950523,0.751587,0.809466
