idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.000000,0.753950,-50.000000,0.963303,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
1,C3,1.000000,0.291424,-50.000000,0.991792,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
2,L1,1.000000,0.190569,-50.000000,5.788834,58.587740,42.915802,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
3,L2,1.000000,0.191304,-50.000000,3.605137,85.249594,50.365703,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
4,L3,1.000000,0.100000,-50.000000,1.739495,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
5,L4,1.000000,1.146131,-50.000000,39.942838,44.725942,39.225432,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
6,L5,1.000000,0.250989,-50.000000,6.725500,61.411458,29.110399,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
7,Mi1,1.000000,0.408053,-50.000000,4.670872,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
8,Mi4,1.000000,0.100000,-50.000000,7.104955,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
9,Mi9,1.000000,0.469467,-50.000000,6.227216,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
10,R1-6,1.000000,0.711696,-50.000000,0.961482,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
11,R7,1.000000,0.100000,-50.000000,0.977902,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
12,R8,1.000000,0.100000,-50.000000,0.953234,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
13,T1,1.000000,0.130664,-50.000000,0.962274,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
14,T2,1.000000,0.693423,-50.000000,1.000149,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
15,T2a,1.000000,0.179657,-50.000000,0.974790,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
16,T3,1.000000,0.620252,-50.000000,1.008287,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
17,T4a,1.000000,0.130924,-50.000000,0.974932,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
18,T4b,1.000000,0.951391,-50.000000,1.038065,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
19,T4c,1.000000,0.988125,-50.000000,1.026796,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
20,T4d,1.000000,0.100000,-50.000000,0.976034,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
21,T5a,1.000000,0.192123,-50.000000,1.039823,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
22,T5b,1.000000,5.167780,-50.000000,0.975202,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
23,T5c,1.000000,0.100000,-50.000000,1.024090,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
24,T5d,1.000000,0.574350,-50.000000,0.965383,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
25,Tm1,1.000000,0.412572,-50.000000,2.995591,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
26,Tm2,1.000000,0.100000,-50.000000,0.663522,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
27,Tm20,1.000000,1.083868,-50.000000,0.971964,0.000000,0.000000,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127,-32.242370,-0.200000,-43.633226,-48.227144,-0.400000,-41.238127
