,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,1.709157,,,3.951164,1.415143,0.100000,3.832299,,,,,1.999746,,,,,,,,,,,,,,,,,,,0.415914,0.100000,,
R7,,,3.691272,1.874286,,10.000000,,,1.929205,0.100000,10.000000,,,,,,,,,,,,,,,3.606111,,,,,,0.100000,0.183683,
R8,,1.320874,0.100000,10.000000,0.100000,3.517928,,0.100000,1.403657,0.100000,0.497855,0.100000,,,,,,,,,,,,,,1.721854,0.995842,,,,0.388739,0.100000,10.000000,0.995025
L1,0.100000,0.100000,0.414181,0.100000,7.348278,4.560399,0.100000,6.067905,1.300332,0.100000,,1.835492,10.000000,9.969586,,,,,,,,,,0.100000,0.100000,,,0.137767,,,1.349886,0.100000,,0.973591
L2,3.285274,,9.764246,5.068359,10.000000,3.513239,4.804204,1.643360,0.991418,0.100000,0.142192,0.100000,10.000000,0.954045,,,,,,,,,,0.930398,2.146542,5.416900,,0.100000,0.927418,,0.436900,0.837103,,
L3,,0.988352,0.491632,0.979496,0.965170,,,,2.904540,1.041920,0.100000,1.022031,,,,,,,,,,,,0.974946,0.966108,0.100000,0.962961,,0.967389,0.100000,0.969430,9.861581,0.957179,
L4,0.100000,,,7.113707,0.100000,0.100000,0.100000,10.000000,0.100000,,0.100000,,10.000000,,,,,,,,,,,0.100000,0.100000,,,,0.142176,9.567979,,7.687309,0.100000,0.975488
L5,,,,0.100000,0.100000,,,3.294094,4.604236,0.100000,0.100000,1.107495,9.090103,10.000000,,,,,,,,,,0.100000,0.100000,0.100000,10.000000,2.906997,0.100000,,0.100000,10.000000,0.100000,0.953682
Mi1,,0.100000,10.000000,0.100000,0.100000,,,4.636555,4.591798,0.100000,9.544622,1.787559,0.331188,6.369540,10.000000,3.922075,6.258520,2.481973,10.000000,,,,,0.100000,0.100000,0.100000,10.000000,8.454405,0.100000,,0.100000,5.167380,0.100000,1.681660
Mi4,,,,,0.100000,1.283304,,0.100000,7.164624,0.100000,2.831038,0.968528,,3.210830,,3.541723,7.448338,3.968322,2.547258,,,,,4.049779,0.120213,0.100000,,0.100000,10.000000,0.100000,0.996951,0.418334,10.000000,0.964067
Mi9,,,,,,10.000000,10.000000,,10.000000,8.945997,,,0.100000,0.152102,1.124066,0.100000,5.911242,2.583045,1.220083,,,,,5.552852,10.000000,10.000000,8.425442,0.236117,0.390718,7.312295,1.570266,,0.100000,0.994307
T1,0.894158,0.868360,2.238893,,0.100000,2.790620,,0.100000,,,0.100000,,,,,,,,,,,,,2.349010,1.466512,0.100000,,,2.601131,,,,,
T2,,,,,,,,9.195488,6.230025,,3.721168,,2.782915,0.980143,10.000000,,,,,,,,,0.100000,0.100000,,0.100000,10.000000,0.100000,,,,,1.028419
T2a,,,,,,,,,4.186100,,,,10.000000,0.100000,0.100000,,,,,,,,,0.100000,,0.100000,1.023078,0.105274,9.261015,,0.416890,,,1.042008
T3,,,,,,,,,,,,,0.100000,1.022517,1.005739,,,,0.999086,,,,,0.100000,,,10.000000,3.147330,,,,6.064017,,1.025361
T4a,,,,,,,,,,,4.592778,,,,,6.389707,1.024327,0.987961,1.036371,0.967346,,,,,,,,,,,,0.100000,,
T4b,,,,,,,,,0.100000,0.700173,5.721217,,,,,0.100000,0.100000,,0.970929,,0.153864,,,,,,,,,,,,,
T4c,,,,,,,,,,,1.238995,,0.956484,,,,,2.564003,,,,0.952354,1.046799,,,,,,,,,,,
T4d,,,,,,,,,8.375569,,,,,,,,,0.979574,5.230795,,,,1.044899,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.884046,,,1.017209,,,,0.986951,1.002677,,,,1.035790,,,,,,,,,
T5b,,,,,,,,,,,,,1.785969,,,,7.664988,,,0.955087,4.831163,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.518079,,,,,0.100000,,,0.991240,0.537160,1.018658,,,,,,,,,,,
T5d,,,,,,,,,,,,,4.854946,,,,,0.100000,0.986622,,,,2.155296,,,,,,,,,,,
Tm1,,,,,0.100000,,,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,,,0.989780,,0.662644,0.100000,2.647453,0.100000,0.100000,0.100000,9.179277,0.100000,0.100000,0.100000,10.000000,1.046323,10.000000,,0.283917
Tm2,,,,4.595678,0.100000,,,10.000000,10.000000,1.180582,0.100000,0.100000,0.100000,9.673025,7.840075,1.044623,,0.100000,,0.979427,0.100000,4.290109,10.000000,0.100000,,,0.100000,0.100000,0.100000,0.100000,,0.567041,0.100000,1.012572
Tm20,,,,,,,,,,7.019183,0.100000,0.953488,0.239111,9.653372,,,,,,,,,,0.100000,0.100000,1.358651,0.958129,,,9.836393,,0.535926,,
Tm21,,,,,,,,,10.000000,,,,0.100000,0.997814,,,,,,,,,,0.100000,,,0.100000,,,,,,,
Tm3,,,,0.100000,0.100000,,,,1.570248,0.100000,10.000000,,0.314646,8.838790,0.100000,3.835655,9.557062,3.203616,9.867297,,0.950305,,1.026196,,,,,4.850221,0.975568,,0.403924,10.000000,10.000000,0.980492
Tm4,,,,,10.000000,,,,0.100000,1.054940,,0.964000,0.100000,0.100000,5.731742,,,,,1.027247,0.100000,2.833125,10.000000,5.459825,1.983039,,0.100000,0.100000,0.100000,,0.531933,1.092553,,0.506508
Tm9,,,,,,0.100000,,,,0.100000,3.100653,,4.325383,2.783904,,,,,,1.025468,0.100000,1.044601,4.339373,0.100000,1.002917,4.649014,1.019684,,0.100000,1.016761,,,,
C2,1.604105,1.182831,1.575613,0.300215,0.100000,0.157320,0.387000,1.588937,0.382879,0.441819,,1.139813,1.111706,0.958396,0.730833,,,,,,,,,1.648222,,,,,,1.598908,0.377687,1.542956,,
C3,0.100000,,,5.007230,4.197211,0.100000,10.000000,0.100000,2.183738,0.337248,0.100000,0.952314,6.161682,10.000000,9.387555,0.100000,2.214666,6.618530,1.023196,,,,,2.076107,0.100000,6.230162,10.000000,5.712684,7.142316,10.000000,0.353249,,,
Lawf1,0.100000,,,0.100000,0.100000,4.088518,,10.000000,,,0.100000,0.100000,,,,,,,,,,,,,,,,0.100000,,,,,0.100000,
Lawf2,0.967131,,,1.022482,0.994815,0.997189,,0.411993,,,,0.967445,,,,,,,,,,,,0.317512,0.416956,,,,,0.980867,0.966813,0.427280,1.400042,
