N,ref
1.295000000000000000e+03,-2.765603178154320574e+01
1.295000000000000000e+03,-3.551292943444196482e+01
1.295000000000000000e+03,-4.835932113109091546e+01
1.295000000000000000e+03,-4.010764590526935081e+01
1.295000000000000000e+03,-3.442317667741809117e+01
1.295000000000000000e+03,-2.685757156510169708e+01
1.295000000000000000e+03,-4.232523112838611468e+01
1.295000000000000000e+03,-1.913518123652597680e+01
1.295000000000000000e+03,-2.981915524860143663e+01
1.295000000000000000e+03,-2.771026880137142356e+01
1.295000000000000000e+03,-2.912355727141854445e+01
1.295000000000000000e+03,-1.513289106922028182e+01
1.295000000000000000e+03,-3.132435021650084650e+01
1.295000000000000000e+03,-2.755420276886184894e+01
1.295000000000000000e+03,-4.891114696988051946e+01
1.295000000000000000e+03,-2.871631526460964778e+01
1.295000000000000000e+03,-3.039132993390978754e+01
1.295000000000000000e+03,-2.641866409255752046e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-4.897270395809889720e+01
1.295000000000000000e+03,-4.814695247897839181e+01
1.295000000000000000e+03,-3.244206386771315209e+01
1.295000000000000000e+03,-2.767270855836851595e+01
1.295000000000000000e+03,-1.456868252714087220e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-1.836250035685931437e+01
1.295000000000000000e+03,-2.500791245294099596e+01
1.295000000000000000e+03,-2.133603709520542324e+01
1.295000000000000000e+03,-3.134364881242369805e+01
1.295000000000000000e+03,-1.732578983557719354e+01
1.295000000000000000e+03,-5.084650589994357262e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-2.039872962362964159e+01
1.295000000000000000e+03,-4.653934055105854384e+01
1.295000000000000000e+03,-3.289399703809772291e+01
1.295000000000000000e+03,-2.717367118512114033e+01
1.295000000000000000e+03,-4.895536813979746427e+01
1.295000000000000000e+03,-1.312538968463826095e+01
1.295000000000000000e+03,-4.801580485433839840e+01
1.295000000000000000e+03,-4.136568645751479067e+01
1.295000000000000000e+03,-2.907320274815049288e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-2.665498335797414242e+01
1.295000000000000000e+03,-3.596694426304041059e+01
1.295000000000000000e+03,-1.933685262601632715e+01
1.295000000000000000e+03,-1.334286315860159178e+01
1.295000000000000000e+03,-2.313092766819204726e+01
1.295000000000000000e+03,-4.866722997936286532e+01
1.295000000000000000e+03,-3.141255185075095469e+01
1.295000000000000000e+03,-3.000035885232600208e+01
1.295000000000000000e+03,-3.964985307487859245e+01
1.295000000000000000e+03,-2.811194186218895652e+01
1.295000000000000000e+03,-3.117364351328105698e+01
1.295000000000000000e+03,-1.682909378923042709e+01
1.295000000000000000e+03,-3.513062672686404397e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-5.622100255996826235e+01
1.295000000000000000e+03,-1.750910266463491638e+01
1.295000000000000000e+03,-2.314670835343966715e+01
1.295000000000000000e+03,-1.296978784986666966e+01
1.295000000000000000e+03,-3.747435023206704585e+01
1.295000000000000000e+03,-2.941583228733878386e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-2.926200356106698663e+01
1.295000000000000000e+03,-3.777447587937051310e+01
1.295000000000000000e+03,-3.090653573676654275e+01
1.295000000000000000e+03,-2.939557559881218651e+01
1.295000000000000000e+03,-5.128088556231832484e+01
1.295000000000000000e+03,-4.008984590733188469e+01
1.295000000000000000e+03,-2.191189864489756189e+01
1.295000000000000000e+03,-1.662374160132863921e+01
1.295000000000000000e+03,-4.997230205171493367e+01
1.295000000000000000e+03,-3.000035681192317583e+01
1.295000000000000000e+03,-1.901271443971477382e+01
1.295000000000000000e+03,-3.539827223596800110e+01
1.295000000000000000e+03,-2.237225936201584986e+01
1.295000000000000000e+03,-3.342871461019940682e+01
1.295000000000000000e+03,-3.671045962190034828e+01
1.295000000000000000e+03,-1.317521288235261423e+01
