idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.665935,11.494687,1.002508,-0.426289,28.067467,10000.000000,0.000000,1.000000
1,R7,1.000000,6.012293,-17.274319,0.984121,0.428993,26.246574,9991.964713,0.000000,1.000000
2,R8,1.000000,0.489494,-0.192325,0.989934,0.280026,46.608246,10000.000000,0.000000,1.000000
3,L1,1.000000,4.152174,-0.056534,1.823619,1.567512,29.682263,217.110163,0.000000,2.193792
4,L2,1.000000,1.961443,1.192879,0.796115,0.992630,32.500784,206.489658,0.000000,1.418489
5,L3,1.000000,1.385177,1.250983,0.657785,-0.931048,31.365061,9985.273251,0.000000,1.000000
6,L4,1.000000,2.491303,0.088807,0.974088,1.287610,57.191650,230.030156,0.000000,4.645880
7,L5,1.000000,5.473726,0.037053,6.447426,-3.533827,52.109709,207.634430,0.000000,3.466458
8,Mi1,1.000000,6.768403,-0.159807,2.737679,-0.921513,46.107878,9980.238736,0.000000,1.000000
9,Mi4,1.000000,0.100000,-0.722560,1.302884,-0.104215,26.745305,9978.512537,0.000000,1.000000
10,Mi9,1.000000,9.995374,-0.165196,2.510964,-0.251636,22.642968,9983.074303,0.000000,1.000000
11,T1,1.000000,2.179731,1.515644,0.991647,0.248290,32.536660,9987.305516,0.000000,1.000000
12,T2,1.000000,6.131491,-0.905273,1.000845,-0.057347,29.893944,9986.067319,0.000000,1.000000
13,T2a,1.000000,2.404670,0.150844,0.978697,0.239309,33.083379,9973.760500,0.000000,1.000000
14,T3,1.000000,4.827820,-2.144794,0.983190,0.483766,58.003304,9994.685533,0.000000,1.000000
15,T4a,1.000000,2.381890,-0.574305,0.958569,-0.062532,35.381409,9992.566645,0.000000,1.000000
16,T4b,1.000000,6.571204,-1.806510,1.040829,-0.398272,24.244195,9992.353177,0.000000,1.000000
17,T4c,1.000000,3.818428,-1.492460,0.979862,0.246785,17.644549,9985.146628,0.000000,1.000000
18,T4d,1.000000,0.623260,-0.850483,0.956433,0.058982,50.626090,10000.000000,0.000000,1.000000
19,T5a,1.000000,1.477458,-1.000863,0.950395,0.440142,47.441772,9999.999646,0.000000,1.000000
20,T5b,1.000000,0.100000,-0.412698,0.959973,0.149300,50.566413,9997.866480,0.000000,1.000000
21,T5c,1.000000,5.233319,4.351091,0.960537,0.302876,42.890226,9995.624974,0.000000,1.000000
22,T5d,1.000000,0.914187,-0.822060,0.963401,0.491492,50.083018,9993.009662,0.000000,1.000000
23,Tm1,1.000000,1.932378,1.483478,0.587766,1.070737,30.166111,9998.114521,0.000000,1.000000
24,Tm2,1.000000,1.176031,1.495351,0.404899,0.497925,21.273034,9985.207304,0.000000,1.000000
25,Tm20,1.000000,3.402539,-0.136593,0.966695,-0.174556,27.399719,9997.965396,0.000000,1.000000
26,Tm21,1.000000,0.895258,-1.408672,0.982314,0.081647,52.118175,9993.039073,0.000000,1.000000
27,Tm3,1.000000,1.663025,-2.378809,0.336098,0.446864,31.905873,9976.365644,0.000000,1.000000
28,Tm4,1.000000,9.114843,0.005698,0.171467,0.958608,21.434201,9995.881500,0.000000,1.000000
29,Tm9,1.000000,9.206003,-0.648821,1.283695,0.985821,67.545068,9967.804246,0.000000,1.000000
30,C2,1.000000,4.999096,1.218515,1.031117,-0.058737,36.402714,9984.690831,0.000000,1.000000
31,C3,1.000000,0.190089,-0.677938,1.016426,-0.014915,48.083033,9992.242232,0.000000,1.000000
32,Lawf1,1.000000,2.816836,0.569331,0.964677,-0.230498,32.527070,9987.047564,0.000000,1.000000
33,Lawf2,1.000000,0.622574,-0.909728,0.974585,0.494264,49.798271,9999.999906,0.000000,1.000000
