cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,0.972330,50.000000,0.085385,0.100000,-1.299464,-48.950951,11.120962,209.841782,0.000000,-50.000000,1.023102,349.081818,18.596636,18.656136,20.522940,1.866804,70.181366,70.242249,72.152184,1.909935,70.181366,70.182442,70.273682,0.091240
1,R7,1.044110,50.000000,0.085385,0.751233,0.029976,-49.608341,11.553198,209.961349,0.000000,-50.000000,1.038934,347.939423,19.565647,19.621241,21.463404,1.842163,72.274132,72.331879,74.245773,1.913895,72.274132,72.275139,72.366112,0.090973
2,R8,1.014535,50.000000,0.085385,1.211747,0.596113,-50.204292,10.000000,208.769775,0.000000,-50.000000,0.997814,348.625763,20.471624,20.534792,22.396393,1.861601,70.317612,70.380638,72.238167,1.857529,70.317612,70.318741,70.409660,0.090919
3,L1,1.682299,10.587054,0.085385,1.230253,0.185957,-50.190689,11.814708,202.479599,1.000000,-50.999527,0.206837,349.945374,0.185957,0.185947,0.185399,-0.000549,10.587053,10.587051,10.586939,-0.000113,10.587053,10.587053,10.587049,-0.000004
4,L2,2.000000,5.061886,0.085385,0.342345,-0.141998,-49.397480,11.415483,208.021866,0.517662,-51.244068,0.100000,349.413055,-0.625180,-0.626883,-0.630505,-0.003622,5.061889,5.061718,5.061357,-0.000362,5.061889,5.061885,5.061861,-0.000024
5,L3,1.820464,5.023990,0.085385,0.381314,-0.704155,-49.381107,11.651104,208.324646,0.000000,-50.792770,0.100000,349.444580,-0.552876,-0.552466,-0.552373,0.000093,5.023990,5.024031,5.024040,0.000009,5.023990,5.023990,5.023993,0.000002
6,L4,1.578138,20.672667,0.085385,0.398421,-0.100899,-49.373402,10.000000,199.327560,1.000000,-49.403511,0.419302,349.918091,-0.100899,-0.100899,-0.100899,-0.000000,20.672667,20.672667,20.672667,0.000000,20.672667,20.672667,20.672667,0.000000
7,L5,1.939886,4.907807,0.085385,0.216382,-0.807096,-49.200790,11.443387,209.454559,1.000000,-49.885162,0.100000,350.523438,-0.807096,-0.807096,-0.807089,0.000007,4.907807,4.907806,4.907807,0.000001,4.907807,4.907807,4.907807,0.000000
8,Mi1,2.000000,4.787591,0.085385,0.253940,-0.698682,-49.277325,12.618543,204.823654,0.000000,-48.823460,0.100000,352.438568,-0.947553,-0.948279,-0.949028,-0.000750,4.787591,4.787518,4.787444,-0.000074,4.787591,4.787591,4.787580,-0.000010
9,Tm3,1.680652,27.613508,0.085385,0.370444,-0.414699,-49.334126,11.761165,202.240967,0.000000,-49.604469,0.567765,350.624908,-0.968988,-0.970589,-0.971675,-0.001086,27.613522,27.612610,27.611998,-0.000612,27.613522,27.613504,27.613417,-0.000088
10,Mi4,1.784150,20.001549,0.085385,1.506693,-0.972812,-50.502899,10.098121,193.617050,0.000000,-49.403511,0.416830,353.984802,-1.418561,-1.420946,-1.426625,-0.005679,20.001564,20.000568,19.998203,-0.002365,20.001564,20.001547,20.001398,-0.000149
11,Mi9,1.741059,19.108870,0.085385,1.531741,-0.799675,-50.533627,10.000000,193.146088,0.000000,-49.403511,0.399769,350.006653,-1.603744,-1.606380,-1.608640,-0.002260,19.108889,19.107834,19.106930,-0.000904,19.108889,19.108870,19.108763,-0.000107
12,T4a,0.997592,50.000000,0.085385,0.314018,-0.383399,-49.351254,10.466073,200.114868,0.000000,-50.000000,1.020744,347.926880,-0.588719,-0.589324,-0.589674,-0.000350,50.436291,50.435669,50.435318,-0.000351,50.436291,50.436283,50.436226,-0.000057
