,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.100000,100.000000,16.216555,0.100000,0.100000,16.185618,0.100000,0.100000,18.129485,,100.000000,100.000000,0.100000,0.100000,0.100000,100.000000,64.346449,,,,,,,,,1.336529,,,,,,2.294598
C3,0.100000,,5.108022,0.100000,4.492747,0.100000,0.100000,0.100000,0.100000,1.318974,0.100000,,,4.493372,1.465074,2.655749,17.014688,34.019382,0.100000,0.100000,1.031432,,,,,3.188082,3.301805,3.240439,0.100000,0.100000,22.446413,1.706208
L1,0.258842,0.100000,11.861422,0.100000,3.471148,0.100000,61.289159,2.921834,0.100000,,10.715703,100.000000,73.757443,0.100000,10.611002,84.085415,,,,,,,,,,2.822611,0.100000,,,0.100000,,
L2,0.100000,0.100000,3.796989,100.000000,0.100000,34.867652,2.577278,0.100000,0.100000,1.083383,4.475703,,0.100000,10.112514,0.100000,1.023852,,,,,,,,,,0.725429,7.691268,0.100000,,0.100000,1.630837,
L3,0.100000,1.887171,50.387768,4.211498,,,,0.691599,0.100000,0.889952,,0.100000,27.127289,32.968025,,,,,,,,,,,,0.100000,0.100000,0.100000,0.993656,,7.906288,1.453644
L4,,80.813996,0.410796,51.745005,0.100000,0.100000,98.427006,0.100000,,0.877758,1.276182,,,,0.100000,,,,,,,,,,,2.548639,1.171245,,,,23.477429,3.904735
L5,0.231380,4.732806,7.805186,0.100000,,,0.100000,0.528212,10.906036,0.100000,,,,5.849215,0.100000,100.000000,,,,,,,,,,1.827170,0.100000,39.568606,3.149333,0.912231,0.100000,
Mi1,0.544115,0.226936,100.000000,100.000000,,,0.100000,0.100000,1.177695,1.074356,,100.000000,0.100000,0.100000,0.100000,0.632503,0.100000,0.100000,0.100000,0.549900,0.100000,,,,,0.100000,30.449141,12.534103,7.049238,0.100000,8.079974,
Mi4,0.100000,46.409134,,0.100000,7.592727,,23.065542,6.325860,10.991405,0.100000,,,,0.100000,,90.291264,,0.100000,0.100000,0.100000,1.490728,,,,,8.793355,0.100000,0.100000,,1.311073,100.000000,4.246827
Mi9,5.019301,,,,0.100000,100.000000,,0.100000,3.768055,,,,,,28.405485,0.100000,0.100000,21.816559,24.483094,4.417042,2.360906,,,,,7.322841,32.435975,0.100000,10.363563,0.100000,3.984774,0.100000
