idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,1.020842,1.011258,49.427753,199.900101,-0.076778,1.117971
1,R7,1.000000,1.015024,1.033707,49.486942,199.901917,-0.084853,1.145776
2,R8,1.000000,0.888185,1.001769,50.749195,200.099045,0.148014,0.898646
3,L1,1.000000,1.013238,1.123558,47.464478,199.900131,0.116698,1.089225
4,L2,1.000000,1.167908,1.146880,47.585835,199.900101,0.134166,1.052774
5,L3,1.000000,1.102331,1.080791,47.553703,199.900085,0.139604,1.131840
6,L4,1.000000,1.093405,1.128662,47.086899,200.098038,-0.090589,1.120607
7,L5,1.000000,0.925603,1.095098,48.080448,199.903152,-0.051281,1.062146
8,Mi1,1.000000,0.887410,1.082195,46.386002,200.093689,-0.077005,1.083160
9,Mi4,1.000000,0.923193,0.901950,49.073036,200.098953,-0.093556,0.907480
10,Mi9,1.000000,1.188016,1.125909,53.957405,200.099899,0.112200,1.081695
11,T1,1.000000,1.003525,1.021252,50.490227,200.000031,-0.033422,1.010719
12,T2,1.000000,0.948367,1.030123,46.870651,200.000031,-0.037643,1.001121
13,T2a,1.000000,0.996059,1.023973,54.728310,199.982666,-0.072237,1.078923
14,T3,1.000000,0.955101,1.041169,52.084373,199.969849,-0.053019,1.063174
15,T4a,1.000000,1.112434,1.018778,53.774971,200.008209,0.111743,0.939391
16,T4b,1.000000,1.135951,0.991682,51.861786,200.004791,0.106446,0.873142
17,T4c,1.000000,1.008775,1.011740,53.642620,200.003220,0.135424,0.916635
18,T4d,1.000000,1.091296,0.992926,45.067913,199.999969,-0.002686,1.006520
19,T5a,1.000000,1.077960,1.017277,54.034203,200.000015,0.144184,0.967121
20,T5b,1.000000,1.001695,1.039721,49.409031,200.000031,-0.024446,0.983939
21,T5c,1.000000,1.023305,0.980791,51.085415,200.000046,-0.013005,0.983133
22,T5d,1.000000,0.936400,0.996401,45.585941,200.000015,0.006335,1.014730
23,Tm1,1.000000,1.182653,1.073915,47.780571,200.099869,0.118109,1.128942
24,Tm2,1.000000,1.050112,1.104055,49.602741,200.099533,0.145142,1.113423
25,Tm20,1.000000,1.019010,0.998351,52.002857,199.999954,-0.041710,0.988621
26,Tm21,1.000000,0.984205,0.975974,48.346809,199.999847,-0.078994,1.017136
27,Tm3,1.000000,0.905040,1.062774,49.899227,199.900513,0.102166,1.145362
28,Tm4,1.000000,0.936837,1.124679,49.701656,200.099609,-0.084613,1.144874
29,Tm9,1.000000,1.064507,1.055507,52.189247,200.099579,0.037395,1.065737
30,C2,1.000000,0.947966,1.034321,50.037979,200.000015,-0.008001,1.039576
31,C3,1.000000,0.971131,0.993813,48.008820,199.999954,-0.006007,1.027482
