,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,5.000000,,,5.000000,4.303694,5.000000,5.000000,,,,,2.948373,,,,,,,,,,,,,,,,,,,2.583590,0.969930,,
R7,,,3.339920,5.000000,,5.000000,,,5.000000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.961933,5.000000,
R8,,0.500000,1.253342,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,2.691189,,,,,,,,,,,,,,5.000000,1.043952,,,,0.500000,1.044479,1.020853,0.995619
L1,0.500000,0.500000,0.500000,1.130297,0.639694,1.356199,0.500000,2.407583,2.215911,0.500000,,3.053074,0.500000,0.537875,,,,,,,,,,0.500000,0.500000,,,4.858370,,,0.500000,5.000000,,0.500000
L2,1.990962,,0.827605,0.500000,0.874412,1.871511,4.143837,0.500000,0.500000,0.500000,2.008402,0.500000,0.500000,0.980804,,,,,,,,,,2.037626,1.191048,0.615696,,0.500000,5.000000,,2.504001,0.516345,,
L3,,0.500000,1.754763,1.255235,0.500000,,,,2.791237,1.549076,1.727178,0.500000,,,,,,,,,,,,0.500000,5.000000,1.563645,1.004588,,5.000000,5.000000,1.757794,0.500000,0.500000,
L4,5.000000,,,4.740787,0.609416,5.000000,5.000000,2.788829,0.500000,,5.000000,,5.000000,,,,,,,,,,,2.007939,0.500000,,,,1.307550,0.726907,,1.039055,5.000000,0.500000
L5,,,,1.777083,5.000000,,,5.000000,0.777523,1.941585,0.500000,3.449461,1.517023,0.500000,,,,,,,,,,0.500000,0.500000,2.998558,5.000000,0.576620,0.500000,,0.500000,2.841333,5.000000,0.500000
Mi1,,4.016265,2.130992,0.500000,0.500000,,,3.189315,0.500000,5.000000,0.500000,0.500000,5.000000,0.500000,0.500000,0.500000,0.500000,5.000000,0.500000,,,,,0.500000,0.500000,0.500000,5.000000,0.948156,0.500000,,0.500000,0.500000,5.000000,5.000000
Mi4,,,,,0.500000,5.000000,,0.500000,0.500000,0.500000,2.220989,1.430733,,0.500000,,0.500000,0.500000,5.000000,0.991819,,,,,5.000000,0.500000,3.658131,,5.000000,0.500000,5.000000,0.663834,1.018564,0.500000,0.500000
