,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,20.432823,,,3.549984,2.710825,2.583514,3.761217,,,,,3.200444,,,,,,,,,,,,,,,,,,,0.497106,0.413520
R7,,,2.473703,7.392573,,4.888746,,,1.174825,1.156441,16.782604,,,,,,,,,,,,,,,7.295031,,,,,,0.100000
R8,,0.100000,0.818351,7.683353,0.237899,3.183351,,0.873770,2.060510,0.100000,10.612146,0.997401,,,,,,,,,,,,,,17.413851,0.956089,,,,0.412372,0.100000
L1,0.100000,4.051513,0.308657,0.100000,0.100000,26.835864,0.100000,4.438682,2.307697,0.100000,,1.010733,0.971829,0.100000,,,,,,,,,,0.100000,0.100000,,,0.142212,,,0.100000,2.602894
L2,3.217560,,50.783996,3.224981,3.731202,0.100000,0.100000,0.700477,3.782945,6.119819,0.100000,0.100000,1.012769,1.049988,,,,,,,,,,2.644289,3.797024,0.100000,,0.100000,6.328474,,0.995381,1.192302
L3,,0.980146,1.028230,1.005046,0.915218,,,,0.723521,0.893093,1.510787,1.045039,,,,,,,,,,,,0.962308,1.009134,1.044719,1.045637,,0.975137,0.606119,1.015275,1.166466
L4,1.044108,,,0.990732,1.027089,0.955798,0.991790,1.041163,1.010878,,0.956220,,0.991307,,,,,,,,,,,1.015433,0.968322,,,,1.042266,1.004788,,1.021871
L5,,,,0.100000,7.471577,,,6.055235,3.021112,0.100000,0.100000,1.046427,0.100000,87.740588,,,,,,,,,,0.100000,0.100000,14.519253,0.100000,6.785889,0.100000,,0.100000,5.516240
Mi1,,0.704338,0.258769,5.668706,15.937881,,,0.100000,0.100000,3.403714,0.100000,0.981513,0.100000,15.011864,1.009653,4.406932,0.131723,3.568650,0.460767,,,,,0.100000,14.643233,5.126995,0.481666,1.124074,4.425028,,0.100000,0.961360
Mi4,,,,,1.889970,0.100000,,1.914658,0.100000,35.028867,3.739250,0.987362,,0.100000,,0.100000,0.100000,0.100000,0.990319,,,,,2.152847,0.100000,0.100000,,0.100000,0.546909,2.843224,1.004467,10.101184
