,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.809912,,,1.169111,1.227872,1.225340,,,,,,1.178901,,,,,,,,,,,,,,,,,,,,
R7,,,1.155408,,,1.186831,,,,,1.189381,,,,,,,,,,,,,,,,,,,,,
R8,,0.771310,,1.160898,,1.197139,,,0.806851,0.768173,1.203990,1.248532,,,,,,,,,,,,,,1.248295,,,,,,0.961928
L1,,,,,0.952288,,,0.992889,1.036600,1.004263,,,0.953220,,,,,,,,,,,,,,,1.023661,,,0.979626,1.006448
L2,0.861740,,,1.203803,,1.191556,0.853804,1.175115,0.874865,0.808542,,1.137751,,,,,,,,,,,,1.174275,0.834236,1.185522,,,0.872691,,,1.019982
L3,,,0.990190,,,,,,0.990173,0.998788,1.006162,0.950266,,,,,,,,,,,,,,0.988438,,,,1.024923,,1.045264
L4,1.035333,,,1.013878,1.026721,1.042445,0.980987,,,,0.986118,,0.977459,,,,,,,,,,,,0.972238,,,,0.959073,0.982294,,
L5,,,,1.042815,1.058287,,,1.028098,0.948045,0.921705,1.035100,,0.962842,,,,,,,,,,,,0.897119,0.963246,1.024266,1.075103,,,1.001289,0.980322
Mi1,,,,1.004812,,,,1.040518,1.034979,0.999601,0.975556,,1.048197,1.027101,1.002875,0.978667,1.000769,0.981091,0.998834,,,,,,,1.040980,0.974730,1.028994,0.967435,,0.959196,1.032727
Mi4,,,,,,1.029791,,,,,0.979046,,,,,1.001737,1.018237,0.982327,0.959095,,,,,0.952085,1.035953,1.034795,,0.971976,,1.018447,,
Mi9,,,,,,,,,,1.053959,,,,,1.022197,1.102790,1.062075,0.987533,0.953096,,,,,0.962636,1.031000,1.009477,1.006603,0.883357,1.122502,,0.986092,
T1,,1.004089,1.186443,,1.171847,0.840588,,1.138454,,,1.188326,,,,,,,,,,,,,1.179559,0.799362,1.104097,,,0.859403,,,
T2,,,,,,,,,0.803591,,,,0.963484,,,,,,,,,,,,,,1.046152,,,,,
T2a,,,,,,,,,0.800627,,,,,1.026293,,,,,,,,,,,,0.838142,,,,,,
T3,,,,,,,,,,,,,1.014758,,,,,,,,,,,,,,1.048258,1.215691,,,,
T4a,,,,,,,,,,,1.222994,,,,,0.959392,,0.977041,,,,,,,,,,,,,,0.991772
T4b,,,,,,,,,,,1.214857,,,,,,0.893708,,,,1.036197,,,,,,,,,,,
T4c,,,,,,,,,,,1.040370,,,,,,,0.999614,,,,,,,,,,,,,,
T4d,,,,,,,,,,,,,,,,,,,1.009244,,,,,,,,,,,,,
T5a,,,,,,,,,,,,,,,,,,,,1.036876,,,,,,,,,,,,
T5b,,,,,,,,,,,,,0.996549,,,,0.965527,,,,1.017472,,,,,,,,,,,
T5c,,,,,,,,,,,,,,,,,,,,,,1.039615,,,,,,,,,,
T5d,,,,,,,,,,,,,,,,,,,,,,,0.953469,,,,,,,,,
Tm1,,,,,1.188352,,,1.135314,,0.820059,1.173762,1.029567,,0.811002,0.833681,,,,,0.989080,0.983312,1.037113,1.020329,,0.776999,1.060076,1.009941,,0.769882,1.220891,,1.038390
Tm2,,,,,1.160571,,,0.926704,,0.768706,1.236700,,0.817365,0.977357,0.897478,,,,,1.002013,1.036265,0.963660,0.995069,1.233604,,,1.023463,,0.845294,,,0.962736
Tm20,,,,,,,,,,,1.206778,,,,,,,,,,,,,,,0.794216,,,,1.191345,,0.986618
Tm21,,,,,,,,,,,,,0.974990,,,,,,,,,,,1.120152,,,0.959410,,,,,
Tm3,,,,1.002326,,,,,0.980780,,,,1.034654,0.950205,1.015600,0.950097,0.969073,0.953828,1.023702,,,,,,,,,0.960780,,,,
Tm4,,,,,1.104805,,,,,0.892308,,,,1.044927,0.919120,,,,,0.984751,1.005838,1.004034,1.002250,1.074188,,,0.952586,,0.977722,,0.970937,1.009827
Tm9,,,,,,,,,,,1.148745,,,,,,,,,0.971351,1.014751,1.038961,1.003385,,,0.978647,,,,,,
C2,,,,0.832035,0.844910,0.793528,1.170723,0.877434,1.177067,1.156465,,0.848729,1.016719,,,,,,,,,,,0.802140,,,,,,0.798546,,
C3,,,,0.972606,1.048824,0.952473,,0.990963,,,0.966883,1.005983,0.990268,,,0.970436,1.036423,1.007772,1.026909,,,,,1.024255,,1.033814,0.997681,,1.005173,0.962049,,
