,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
T2a,,,,,,,,,0.100000,1.750411,,,,,,,1.830931,,0.100000,,,,,,,0.100000,0.882852,0.100000,0.100000,,,0.100000,10.000000,,7.787635,2.321237,,,,,0.100000,3.136254,,0.100000,10.000000,,0.100000,,,0.287055,0.100000,,1.172040,0.149449,3.840856,0.100000
T3,,,,,,,,,,1.950565,,,,,,0.977779,0.817334,,,,,,,,,0.100000,10.000000,0.100000,,4.252899,,0.100000,,,,,,,10.000000,,,0.100000,,,,,10.000000,,,,,,,0.100000,,0.100000
C2,0.100000,10.000000,6.613882,2.057353,0.100000,2.240488,0.975257,0.731891,0.132441,,0.123300,,,,,,0.100000,,,0.737785,,,,,9.740313,0.100000,1.924740,10.000000,0.100000,10.000000,,,,10.000000,,,,0.100000,0.100000,0.100000,,,10.000000,,,,,,,,,,,,,
C3,0.300311,,,7.291270,2.216919,0.100000,10.000000,0.100000,3.410591,10.000000,0.100000,2.638124,4.153343,0.100000,0.100000,10.000000,3.720555,9.782156,2.237384,2.777486,,,,,0.100000,10.000000,0.597990,0.100000,0.100000,,,,,0.321212,,0.100000,,10.000000,2.655333,,0.100000,10.000000,0.100000,,,,,,,8.295458,,,,,,
Lawf1,0.100000,,,0.100000,0.100000,1.760610,,10.000000,,0.372537,,0.100000,,,,,,,,,,,,,0.302997,,,,,,0.100000,,,8.679118,,,,,,,,,,,,,,,,,,,,,,
Lawf2,10.000000,,,1.256039,0.100000,0.100000,,0.100000,,,,,,,,,2.677176,3.343082,,0.100000,,,,,0.100000,,,,2.283860,0.100000,9.640040,,,0.111671,,10.000000,6.370007,,,,,,,,,,,,,0.100000,,,,5.975043,,
Dm3v,,,,,,,,,,,2.162295,0.100000,,,,,0.599357,2.140816,,,,,,,,,10.000000,,,,,,0.427899,,,,,,,,7.655690,0.121283,,,,,0.100000,,,,,,1.017885,4.293926,0.100000,8.198602
Lai,0.100000,,,10.000000,3.594729,0.579841,,0.100000,,,,,,,,,,,,,,,,,2.262030,,,,,0.100000,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,8.413204,,,,,0.100000,3.973209,10.000000,,0.100000,1.004310,,1.287205,0.100000,,,,,,,10.000000,,,,,3.498452,,,,4.591188,,2.070063,0.336080,,0.100000,,,6.419511,,0.100000,,,,2.417221,,,,,,,
Mi13,,,,,,,0.100000,0.100000,0.248628,0.100000,,5.662124,,,,,0.100000,5.144950,1.509031,0.100000,,,,,0.100000,9.310136,0.100000,,,,,,,,,,,,,,10.000000,,,,1.858072,,,,,,,,,1.044211,,
Mi14,,,,,10.000000,,,0.100000,,,,2.616858,,,,,2.428207,7.995152,5.823325,,,,,,10.000000,3.599225,,7.907689,,,,,,,,0.100000,,,,,0.959845,,0.116851,,,,,,,,,7.078862,,0.761739,,
