cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_sti_end,delta_v
41,Tm21,0.967611,4.120342,0.794078,1.180055,0.378358,-50.197124,10.099684,201.311539,0.000000,4.102737,4.120342,4.123448,0.003106
42,Tm27,1.000764,2.144686,0.794078,0.974135,0.193953,-49.957405,10.283826,190.342102,0.092597,2.139438,2.144686,2.146134,0.001448
43,Tm5a,0.983567,-0.027303,0.794078,1.241599,0.618670,-50.196808,10.086980,203.429138,0.000000,-0.020059,-0.027303,-0.094469,-0.067166
44,Tm5b,1.038556,-0.461759,0.794078,1.201955,0.038594,-50.198151,10.605466,193.382095,0.174825,-0.457023,-0.461759,-0.496591,-0.034833
45,Tm5c,1.022018,0.470440,0.794078,0.840978,-0.094658,-49.807060,10.223643,190.930939,0.205780,0.471957,0.470440,0.425506,-0.044934
46,Tm5f,1.021782,1.143610,0.794078,1.226872,0.016248,-50.200130,10.099867,202.665588,0.000000,1.138637,1.143610,1.143549,-0.000061
47,TmY10,0.994695,0.754095,0.794078,1.234203,0.533038,-50.199554,10.000000,193.599045,0.000000,0.754628,0.754095,0.750917,-0.003178
48,TmY11,0.991264,-8.074744,0.794078,0.807462,-0.657060,-49.814758,10.677606,198.049255,0.000000,-8.042857,-8.074744,-8.075025,-0.000280
49,TmY14,0.991359,4.632905,0.794078,0.796852,-0.582364,-49.800510,10.079600,195.764771,0.193251,4.608953,4.632905,4.637532,0.004627
50,TmY15,1.028688,5.645498,0.794078,0.815761,-0.454238,-49.806530,10.000000,197.317657,0.191066,5.618028,5.645498,5.651055,0.005558
51,TmY3,0.978161,8.226473,0.794078,1.186762,-0.021545,-50.199455,10.260655,199.633377,0.000000,8.193927,8.226473,8.231757,0.005284
52,TmY4,1.048097,0.091634,0.794078,0.821727,-0.459232,-49.810005,10.299030,205.686066,0.181410,0.089225,0.091634,0.091630,-0.000005
53,TmY5a,1.036007,4.781721,0.794078,1.221266,-0.059867,-50.195797,10.000000,201.605331,0.148104,4.755808,4.781721,4.787482,0.005762
54,TmY9q,1.003149,3.056673,0.794078,1.208435,0.595643,-50.188305,11.017819,200.007568,0.000000,3.045402,3.056673,3.057818,0.001145
55,TmY9q__perp,1.034470,2.531514,0.794078,1.168705,-0.082694,-50.198357,10.407733,198.419495,0.000000,2.519361,2.531514,2.533098,0.001584
