pre_idx,post_idx,pre_type,post_type,pre_root_id,post_root_id,syn_count,gS_mS_cm2,e_syn_mV,v_th_mV,k_minus,delta_mV,pre_baseline_mV,post_baseline_mV,s_inf_baseline,tau_s_baseline_ms,pair,is_r16_output
1221,43097,Mi1,T4a,720575940606712777,720575940639337936,14.0,0.39999995,0.0,-48.0,0.18,3.8,-58.366356,-60.423946,0.061341882939388255,5.2147671097871715,"('Mi1', 'T4a')",False
25736,16180,L5,L1,720575940626412176,720575940621193456,45.0,0.20000006,0.0,-45.0,0.1,4.0,-47.018444,-39.04808,0.37645768048150063,6.235423102269949,"('L5', 'L1')",False
39573,19310,Mi1,T4a,720575940634978222,720575940622780543,25.0,0.39999995,0.0,-48.0,0.18,3.8,-10.316778,-60.410267,0.9999506555771425,0.0002741356716486798,"('Mi1', 'T4a')",False
29743,3474,R1-6,L1,720575940628342184,720575940611088482,35.0,1.1999998,-72.0,-56.0,0.1,3.0,-38.57968,-62.734352,0.9970018963665974,0.029981035887273574,"('R1-6', 'L1')",True
2864,11647,L1,Tm3,720575940610081987,720575940618304216,36.0,0.3000001,-70.0,-45.0,0.1,4.0,-41.65767,-1.90226,0.697534067751817,3.024659277410894,"('L1', 'Tm3')",False
2189,33617,L5,Tm3,720575940608910345,720575940630559488,7.0,0.49999997,0.0,-45.0,0.1,4.0,-41.86127,-56.515385,0.6866883732491478,3.1331162208214525,"('L5', 'Tm3')",False
14407,10831,L1,Tm3,720575940620320472,720575940617773851,22.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.09352,-56.799393,0.8140614655559741,1.8593853167332584,"('L1', 'Tm3')",False
23323,21042,L5,L1,720575940624894135,720575940623688653,33.0,0.20000006,0.0,-45.0,0.1,4.0,-75.10312,-28.56141,0.0005387178462649729,9.994612672606015,"('L5', 'L1')",False
4911,41684,Mi9,T4a,720575940612675225,720575940637542285,16.0,1.9999999,-70.0,-40.0,0.03,3.5,-56.015224,-60.42398,0.01019330589910982,32.99355720749315,"('Mi9', 'T4a')",False
12429,152,L1,Mi1,720575940618854228,720575940604151008,98.0,0.49999997,-70.0,-45.0,0.08,4.0,-39.04808,-58.36579,0.8157748708179601,2.3028141662474066,"('L1', 'Mi1')",False
15054,39442,L5,Tm3,720575940620662866,720575940634817178,14.0,0.49999997,0.0,-45.0,0.1,4.0,-41.898956,-58.510197,0.6846578325029051,3.1534216279813045,"('L5', 'Tm3')",False
20468,22852,L5,Tm3,720575940623380616,720575940624627691,22.0,0.49999997,0.0,-45.0,0.1,4.0,-63.55456,-51.253693,0.009578207940035648,9.904217773015299,"('L5', 'Tm3')",False
19311,18602,Mi9,T4a,720575940622780853,720575940622393724,16.0,1.9999999,-70.0,-40.0,0.03,3.5,-21.739048,-60.41981,0.9946079062680596,0.17973646174876912,"('Mi9', 'T4a')",False
37744,4055,L1,Mi1,720575940633136209,720575940611838577,141.0,0.49999997,-70.0,-45.0,0.08,4.0,-14.496446,-60.023075,0.9995125760975746,0.006092798916502156,"('L1', 'Mi1')",False
20361,45996,R1-6,L1,720575940623322070,720575940646131566,48.0,1.1999998,-72.0,-56.0,0.1,3.0,-55.371426,-55.039948,0.5521904055181862,4.478095878089309,"('R1-6', 'L1')",True
47193,41105,L3,Mi9,720575940660306305,720575940636749167,69.0,0.3000001,0.0,-45.0,0.12,3.0,-48.532204,-55.83522,0.23551979702517492,6.37066850051908,"('L3', 'Mi9')",False
2171,39828,L5,Tm3,720575940608863241,720575940635225791,23.0,0.49999997,0.0,-45.0,0.1,4.0,-41.894108,-58.510204,0.6849194793152142,3.1508051598972022,"('L5', 'Tm3')",False
24730,20929,R1-6,L1,720575940625801230,720575940623631850,51.0,1.1999998,-72.0,-56.0,0.1,3.0,-72.626816,-39.126587,0.0039023277191919843,9.960976574377963,"('R1-6', 'L1')",True
11455,18501,R1-6,L1,720575940618189713,720575940622351228,42.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.96895,-38.210636,0.0006597544927251436,9.99340230615945,"('R1-6', 'L1')",True
47034,36437,R1-6,L1,720575940655697569,720575940632256081,44.0,1.1999998,-72.0,-56.0,0.1,3.0,-24.718775,-38.270546,0.9999703813105895,0.00029618688969184834,"('R1-6', 'L1')",True
28038,44289,L5,Tm3,720575940627494666,720575940640900304,19.0,0.49999997,0.0,-45.0,0.1,4.0,-42.33678,-54.62751,0.660563173547638,3.394368213943592,"('L5', 'Tm3')",False
2064,17130,R1-6,L3,720575940608617429,720575940621665974,26.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.99999,-40.660534,0.0006529671106077823,9.993470179979612,"('R1-6', 'L3')",True
46054,37671,L1,Tm3,720575940646305827,720575940633051949,23.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.046898,-40.575912,0.8158192993971478,1.8418069785834592,"('L1', 'Tm3')",False
42583,23076,Tm3,T4a,720575940638661446,720575940624750268,8.0,0.3000001,0.0,-44.0,0.3,3.2,-60.342396,-60.423985,0.006017794807301278,3.3132738856513204,"('Tm3', 'T4a')",False
