pre_idx,post_idx,pre_type,post_type,pre_root_id,post_root_id,syn_count,gS_mS_cm2,e_syn_mV,v_th_mV,k_minus,delta_mV,pre_baseline_mV,post_baseline_mV,s_inf_baseline,tau_s_baseline_ms,pair,is_r16_output
24699,47204,R1-6,L2,720575940625778983,720575940660372609,62.0,0.7999999,-72.0,-52.0,0.1,3.0,-37.78092,-39.020874,0.9913344293394815,0.08665570531391477,"('R1-6', 'L2')",True
1919,32753,R1-6,L3,720575940608310402,720575940630066176,9.0,0.74999994,-72.0,-56.0,0.1,3.0,-78.001076,-40.654346,0.0006527312684173282,9.99347253840148,"('R1-6', 'L3')",True
3976,39621,R1-6,L2,720575940611748984,720575940635037358,49.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.99926,-39.230377,0.00017224507749556667,9.9982774002391,"('R1-6', 'L2')",True
12205,1448,R1-6,L2,720575940618691613,720575940607219669,65.0,0.7999999,-72.0,-52.0,0.1,3.0,-65.810234,-55.763306,0.009918248155519269,9.900817370911133,"('R1-6', 'L2')",True
22127,19846,R1-6,L2,720575940624239498,720575940623073427,63.0,0.7999999,-72.0,-52.0,0.1,3.0,-7.400558,-39.03962,0.999999650401756,3.495982388110573e-06,"('R1-6', 'L2')",True
4994,23213,R1-6,L1,720575940612747889,720575940624826343,35.0,1.1999998,-72.0,-56.0,0.1,3.0,-0.65564406,-39.04812,0.999999990270645,9.729354843351701e-08,"('R1-6', 'L1')",True
17267,29365,R1-6,L2,720575940621723501,720575940628136714,65.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.983925,-47.53339,0.000173127647318694,9.998268574541001,"('R1-6', 'L2')",True
37602,25212,R1-6,L3,720575940632978223,720575940626081724,26.0,0.74999994,-72.0,-56.0,0.1,3.0,-75.73346,-17.830067,0.0013889464649472858,9.986110386545887,"('R1-6', 'L3')",True
28515,27887,R1-6,L1,720575940627752600,720575940627423251,49.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.66343,-39.048084,0.0007304323139261129,9.992695527957972,"('R1-6', 'L1')",True
27083,32016,R1-6,L1,720575940627086436,720575940629649411,43.0,1.1999998,-72.0,-56.0,0.1,3.0,-75.09369,-38.6946,0.0017185351208308295,9.982814500036163,"('R1-6', 'L1')",True
7827,43484,R1-6,T1,720575940615301031,720575940639801251,14.0,0.70000017,-72.0,-52.0,0.1,3.0,-0.33859947,-58.36656,0.9999999667917205,3.320827896478698e-07,"('R1-6', 'T1')",True
2915,17341,R1-6,Lai,720575940610198211,720575940621759215,26.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.78289,-37.600292,0.00018512457175253944,9.99814860529845,"('R1-6', 'Lai')",True
38762,38416,R1-6,L1,720575940633950675,720575940633663917,44.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.51054,-39.003452,0.0007685939309601495,9.992313911793318,"('R1-6', 'L1')",True
47135,39342,R1-6,Lai,720575940659627649,720575940634699745,26.0,0.70000017,-72.0,-52.0,0.1,3.0,-65.33207,-50.172993,0.011612150693949858,9.883878345779237,"('R1-6', 'Lai')",True
43927,28983,R1-6,L2,720575940640351859,720575940627973754,54.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.97969,-39.088444,0.0001733721242174022,9.99826612977205,"('R1-6', 'L2')",True
4597,2167,R1-6,L3,720575940612413298,720575940608846275,14.0,0.74999994,-72.0,-56.0,0.1,3.0,-35.536137,-40.64291,0.9989108713925491,0.010891285912216369,"('R1-6', 'L3')",True
41059,21919,R1-6,L2,720575940636701551,720575940624145432,55.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.92275,-39.047993,0.0001766934139773118,9.998232916874947,"('R1-6', 'L2')",True
20969,20516,R1-6,Lai,720575940623648536,720575940623410812,29.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.657684,-44.854324,0.00019301265901043504,9.998069724427047,"('R1-6', 'Lai')",True
29857,14108,R1-6,L2,720575940628386376,720575940620118864,41.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.25934,-39.048264,0.0002204146119389813,9.997795704901845,"('R1-6', 'L2')",True
2453,700,R1-6,L1,720575940609361756,720575940605774014,42.0,1.1999998,-72.0,-56.0,0.1,3.0,-76.017845,-39.04808,0.001263487696456952,9.987364974212095,"('R1-6', 'L1')",True
9344,15370,R1-6,T1,720575940616656326,720575940620793792,12.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.4501,-55.150936,0.00020683797456337293,9.997931471273578,"('R1-6', 'T1')",True
29246,37264,R1-6,L2,720575940628083722,720575940632754488,68.0,0.7999999,-72.0,-52.0,0.1,3.0,-0.029473672,-40.29561,0.9999999700431923,2.995680725473464e-07,"('R1-6', 'L2')",True
12362,14050,R1-6,L2,720575940618785565,720575940620086277,42.0,0.7999999,-72.0,-52.0,0.1,3.0,-42.747177,-36.762165,0.9562393949015305,0.4376060444638564,"('R1-6', 'L2')",True
6007,39972,R1-6,R1-6,720575940613629974,720575940635349344,5.0,0.70000017,-72.0,-52.0,0.1,3.0,-28.40312,-75.79971,0.9996164384334791,0.0038356156080534983,"('R1-6', 'R1-6')",True
46856,28969,R1-6,L3,720575940653193974,720575940627966333,12.0,0.74999994,-72.0,-56.0,0.1,3.0,-61.57453,-40.654503,0.1349156542346324,8.650843328746065,"('R1-6', 'L3')",True
8988,27961,R1-6,L2,720575940616335263,720575940627459642,28.0,0.7999999,-72.0,-52.0,0.1,3.0,-78.001076,-39.03414,0.0001721408088281338,9.998278442925761,"('R1-6', 'L2')",True
19309,42805,R1-6,L2,720575940622780442,720575940638914276,59.0,0.7999999,-72.0,-52.0,0.1,3.0,-75.632355,-39.024296,0.0003790544996341791,9.996209306048533,"('R1-6', 'L2')",True
990,16491,R1-6,Lai,720575940606316222,720575940621349797,50.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.99728,-0.029960752,0.00017235892972847325,9.99827626171679,"('R1-6', 'Lai')",True
6914,23596,R1-6,L1,720575940614562856,720575940625043856,60.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.97885,-39.02192,0.0006575815735882104,9.993424035350495,"('R1-6', 'L1')",True
11116,18078,R1-6,L2,720575940617979865,720575940622126945,45.0,0.7999999,-72.0,-52.0,0.1,3.0,-76.595764,-23.090038,0.0002749659296671254,9.997250191732691,"('R1-6', 'L2')",True
45618,34645,R1-6,L2,720575940644996808,720575940631124224,35.0,0.7999999,-72.0,-52.0,0.1,3.0,-72.771286,-39.02419,0.000983153298586129,9.990168318149031,"('R1-6', 'L2')",True
1033,4645,R1-6,Lai,720575940606416672,720575940612462030,29.0,0.70000017,-72.0,-52.0,0.1,3.0,-71.37623,-15.435116,0.0015643136368640286,9.98435671485285,"('R1-6', 'Lai')",True
31722,34230,R1-6,Lai,720575940629460995,720575940630884855,19.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.66757,-36.806534,0.00019237767344378392,9.998076074282618,"('R1-6', 'Lai')",True
36855,4999,R1-6,L1,720575940632491843,720575940612753557,49.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.63473,-39.05438,0.0007374489200496266,9.992625361897781,"('R1-6', 'L1')",True
34513,19734,R1-6,Lai,720575940631042620,720575940623010309,10.0,0.70000017,-72.0,-52.0,0.1,3.0,-78.001076,-53.59896,0.0001721408088281338,9.998278442925761,"('R1-6', 'Lai')",True
27385,15255,R1-6,L2,720575940627201538,720575940620740822,54.0,0.7999999,-72.0,-52.0,0.1,3.0,-3.930448,-37.310116,0.9999998900438222,1.0995617619102082e-06,"('R1-6', 'L2')",True
1600,28968,R1-6,L3,720575940607613385,720575940627966218,19.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.63613,-12.527761,0.0007371043406645762,9.992628807691583,"('R1-6', 'L3')",True
19020,15322,R1-6,L1,720575940622636894,720575940620772369,45.0,1.1999998,-72.0,-56.0,0.1,3.0,-71.650856,-24.00591,0.0053945772382029845,9.946054079410215,"('R1-6', 'L1')",True
2503,16874,R1-6,L1,720575940609457163,720575940621546688,30.0,1.1999998,-72.0,-56.0,0.1,3.0,-75.863,-39.043156,0.001330326349742505,9.986696587689199,"('R1-6', 'L1')",True
31830,16788,R1-6,L3,720575940629519376,720575940621502068,27.0,0.74999994,-72.0,-56.0,0.1,3.0,-0.0762846,-5.7044635,0.9999999919792774,8.02072252209261e-08,"('R1-6', 'L3')",True
29023,30607,R1-6,L2,720575940627993989,720575940628782185,40.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.96872,-39.032124,0.00017400725800586323,9.99825977843426,"('R1-6', 'L2')",True
7380,18673,R1-6,Lai,720575940614915379,720575940622438516,38.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.170235,-53.568256,0.00022705786993331393,9.997729272322891,"('R1-6', 'Lai')",True
19296,40256,R1-6,L3,720575940622776414,720575940635674872,17.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.82227,-42.022152,0.0006927895341421685,9.993071955750201,"('R1-6', 'L3')",True
7047,7439,R1-6,L2,720575940614661416,720575940614965502,59.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.9581,-39.03934,0.00017462423388733326,9.998253608675538,"('R1-6', 'L2')",True
19285,37377,R1-6,Lai,720575940622770458,720575940632817256,29.0,0.70000017,-72.0,-52.0,0.1,3.0,-45.89621,-51.5606,0.8843819276768655,1.1561807060029097,"('R1-6', 'Lai')",True
3697,3783,R1-6,L3,720575940611410808,720575940611525582,21.0,0.74999994,-72.0,-56.0,0.1,3.0,-55.079926,-1.5434793,0.5760774926018586,4.239225010812039,"('R1-6', 'L3')",True
37098,24302,R1-6,Lai,720575940632646457,720575940625522155,20.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.51874,-53.57745,0.0002021606711418406,9.997978244307095,"('R1-6', 'Lai')",True
34184,44121,R1-6,Lai,720575940630861372,720575940640620349,22.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.99786,-48.97572,0.00017232523965661503,9.998276598617503,"('R1-6', 'Lai')",True
5011,6485,R1-6,L3,720575940612761713,720575940614172847,18.0,0.74999994,-72.0,-56.0,0.1,3.0,-78.001076,-39.11912,0.0006527312684173282,9.99347253840148,"('R1-6', 'L3')",True
33015,39944,R1-6,Lai,720575940630219770,720575940635322268,32.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.48542,-15.483394,0.00020441782044289996,9.997955672814422,"('R1-6', 'Lai')",True
37722,403,R1-6,L2,720575940633115217,720575940605162668,72.0,0.7999999,-72.0,-52.0,0.1,3.0,-76.819496,-43.494873,0.0002552107289194754,9.997447743737226,"('R1-6', 'L2')",True
7271,25619,R1-6,Lai,720575940614814383,720575940626350157,32.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.91475,-50.47072,0.00017716543436630528,9.998228196671127,"('R1-6', 'Lai')",True
39678,15630,R1-6,L2,720575940635094809,720575940620920429,56.0,0.7999999,-72.0,-52.0,0.1,3.0,-26.984688,-38.972984,0.9997609113659802,0.002390886304570813,"('R1-6', 'L2')",True
18793,20803,R1-6,L3,720575940622499455,720575940623559175,34.0,0.74999994,-72.0,-56.0,0.1,3.0,-77.63989,-12.995249,0.0007361815435189155,9.9926380356629,"('R1-6', 'L3')",True
26996,24899,R1-6,L2,720575940627050789,720575940625897404,37.0,0.7999999,-72.0,-52.0,0.1,3.0,-69.09573,-17.372126,0.0033395372140098316,9.966604479345921,"('R1-6', 'L2')",True
15107,35522,R1-6,T1,720575940620684373,720575940631641851,10.0,0.70000017,-72.0,-52.0,0.1,3.0,-78.00098,-58.83667,0.00017214656767230353,9.998278385337318,"('R1-6', 'T1')",True
11350,7888,R1-6,Lai,720575940618121565,720575940615348945,28.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.79426,-52.395145,0.0001844244211072309,9.998155606804799,"('R1-6', 'Lai')",True
5800,9832,R1-6,Lai,720575940613470890,720575940617027014,39.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.90347,-53.474487,0.00017783243964138629,9.998221526618476,"('R1-6', 'Lai')",True
37367,25143,R1-6,L3,720575940632812615,720575940626035789,16.0,0.74999994,-72.0,-56.0,0.1,3.0,-59.836918,-55.982742,0.21772515608474866,7.82274832258448,"('R1-6', 'L3')",True
12933,22084,R1-6,L1,720575940619277120,720575940624217323,39.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.96792,-36.866165,0.0006599809224264611,9.99340004186247,"('R1-6', 'L1')",True
36199,34381,R1-6,L2,720575940632090130,720575940630964540,53.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.9894,-39.061882,0.00017281180844688594,9.998271732929673,"('R1-6', 'L2')",True
28543,47274,R1-6,Lai,720575940627762072,720575940661241729,34.0,0.70000017,-72.0,-52.0,0.1,3.0,-77.994804,-53.57701,0.00017250098463696798,9.998274841167726,"('R1-6', 'Lai')",True
8118,41693,R1-6,L1,720575940615580678,720575940637549486,45.0,1.1999998,-72.0,-56.0,0.1,3.0,-0.2430992,-0.057530023,0.9999999915206691,8.479330777735715e-08,"('R1-6', 'L1')",True
23146,28029,R1-6,L1,720575940624793607,720575940627489874,47.0,1.1999998,-72.0,-56.0,0.1,3.0,-34.05897,-40.557858,0.9993340809863013,0.006659190037757572,"('R1-6', 'L1')",True
35876,22703,R1-6,L2,720575940631898575,720575940624538662,44.0,0.7999999,-72.0,-52.0,0.1,3.0,-77.98198,-39.030014,0.00017323992926600155,9.998267451721546,"('R1-6', 'L2')",True
8331,34030,R1-6,L1,720575940615742314,720575940630785730,45.0,1.1999998,-72.0,-56.0,0.1,3.0,-0.05189661,-50.9113,0.999999992044229,7.955770923406214e-08,"('R1-6', 'L1')",True
