raw_type,n_neurons,resolved_type,param_source,fallback_target,dominant_nt
Tm36,141,Tm36,nt:acetylcholine,,acetylcholine
TmY15,135,TmY15,nt:gaba,,gaba
Dm9,128,Dm9,nt:acetylcholine,,acetylcholine
Mi14,127,Mi14,nt:glutamate,,glutamate
MeTu1,123,MeTu1,nt:acetylcholine,,acetylcholine
LC10a,121,LC10a,nt:acetylcholine,,acetylcholine
Pm01,119,Pm01,nt:gaba,,gaba
Tm8a,119,Tm8a,nt:acetylcholine,,acetylcholine
LLPC2,115,LLPC2,nt:acetylcholine,,acetylcholine
Tm37,114,Tm37,nt:acetylcholine,,acetylcholine
LLPC1,113,LLPC1,nt:acetylcholine,,acetylcholine
Dm12,109,Dm12,nt:gaba,,gaba
LC10c,102,LC10c,nt:acetylcholine,,acetylcholine
LLPC3,102,LLPC3,nt:acetylcholine,,acetylcholine
LPLC2,102,LPLC2,nt:acetylcholine,,acetylcholine
Y12,97,Y12,nt:glutamate,,glutamate
LC10d,95,LC10d,nt:acetylcholine,,acetylcholine
Pm03,94,Pm03,nt:gaba,,gaba
Sm03,94,Sm03,nt:glutamate,,glutamate
Li06,93,Li06,nt:acetylcholine,,acetylcholine
LC18,92,LC18,nt:acetylcholine,,acetylcholine
LC9,92,LC9,nt:acetylcholine,,acetylcholine
Li10,92,Li10,nt:glutamate,,glutamate
Pm02,88,Pm02,nt:gaba,,gaba
Li05,86,Li05,nt:acetylcholine,,acetylcholine
Li01,84,Li01,nt:glutamate,,glutamate
Sm09,83,Sm09,nt:glutamate,,glutamate
LPC1,82,LPC1,nt:acetylcholine,,acetylcholine
Y1,82,Y1,nt:glutamate,,glutamate
Sm06,81,Sm06,nt:gaba,,gaba
Sm08,81,Sm08,nt:gaba,,gaba
Y4,79,Y4,nt:glutamate,,glutamate
Tm32,76,Tm32,nt:glutamate,,glutamate
TmY16,76,TmY16,nt:gaba,,gaba
Pm05,75,Pm05,nt:gaba,,gaba
LC16,74,LC16,nt:acetylcholine,,acetylcholine
Sm04,74,Sm04,nt:gaba,,gaba
Sm05,73,Sm05,nt:gaba,,gaba
LPLC1,72,LPLC1,nt:acetylcholine,,acetylcholine
Sm12,72,Sm12,nt:gaba,,gaba
LC13,70,LC13,nt:acetylcholine,,acetylcholine
Y11,68,Y11,nt:glutamate,,glutamate
Tlp1,67,Tlp1,nt:glutamate,,glutamate
Dm11,66,Dm11,nt:glutamate,,glutamate
MeTu3c,65,MeTu3c,nt:acetylcholine,,acetylcholine
LC21,62,LC21,nt:acetylcholine,,acetylcholine
LPC2,62,LPC2,nt:acetylcholine,,acetylcholine
LC11,61,LC11,nt:acetylcholine,,acetylcholine
LC6,60,LC6,nt:acetylcholine,,acetylcholine
MeTu4a,60,MeTu4a,nt:acetylcholine,,acetylcholine
Tm35,60,Tm35,nt:glutamate,,glutamate
Pm08,59,Pm08,nt:gaba,,gaba
Tm8b,59,Tm8b,nt:acetylcholine,,acetylcholine
LC28a,56,LC28a,nt:acetylcholine,,acetylcholine
LPi09,56,LPi09,nt:glutamate,,glutamate
Tm33,56,Tm33,nt:glutamate,,glutamate
MLt3,55,MLt3,nt:acetylcholine,,acetylcholine
LC15,54,LC15,nt:acetylcholine,,acetylcholine
LPLC4,54,LPLC4,nt:acetylcholine,,acetylcholine
Tm31,54,Tm31,nt:gaba,,gaba
Sm15,53,Sm15,nt:glutamate,,glutamate
LC10e,51,LC10e,nt:acetylcholine,,acetylcholine
LPi04,51,LPi04,nt:glutamate,,glutamate
LPi07,51,LPi07,nt:gaba,,gaba
MeTu4c,51,MeTu4c,nt:acetylcholine,,acetylcholine
LC4,50,LC4,nt:acetylcholine,,acetylcholine
MTe51,50,MTe51,nt:acetylcholine,,acetylcholine
Li02,49,Li02,nt:acetylcholine,,acetylcholine
Tlp4,49,Tlp4,nt:glutamate,,glutamate
LPi02,48,LPi02,nt:glutamate,,glutamate
MLt2,48,MLt2,nt:acetylcholine,,acetylcholine
Dm20,47,Dm20,nt:gaba,,gaba
MTe01a,47,MTe01a,nt:glutamate,,glutamate
