raw_type,n_neurons,resolved_type,param_source,fallback_target,dominant_nt
LTe16,1,LTe16,nt:acetylcholine,,acetylcholine
LTe17,1,LTe17,nt:glutamate,,glutamate
LTe18,1,LTe18,nt:acetylcholine,,acetylcholine
LTe19,1,LTe19,nt:acetylcholine,,acetylcholine
LTe20,1,LTe20,nt:acetylcholine,,acetylcholine
LTe21,1,LTe21,nt:acetylcholine,,acetylcholine
LTe22,1,LTe22,nt:glutamate,,glutamate
LTe23,1,LTe23,nt:acetylcholine,,acetylcholine
LTe24,1,LTe24,nt:acetylcholine,,acetylcholine
LTe25,1,LTe25,nt:acetylcholine,,acetylcholine
LTe26,1,LTe26,nt:acetylcholine,,acetylcholine
LTe27,1,LTe27,nt:gaba,,gaba
LTe28,1,LTe28,nt:acetylcholine,,acetylcholine
LTe29,1,LTe29,nt:glutamate,,glutamate
LTe30,1,LTe30,nt:acetylcholine,,acetylcholine
LTe31,1,LTe31,nt:acetylcholine,,acetylcholine
LTe35,1,LTe35,nt:acetylcholine,,acetylcholine
LTe36,1,LTe36,nt:acetylcholine,,acetylcholine
LTe40,1,LTe40,nt:acetylcholine,,acetylcholine
LTe41,1,LTe41,nt:acetylcholine,,acetylcholine
LTe42a,1,LTe42a,nt:acetylcholine,,acetylcholine
LTe42b,1,LTe42b,nt:acetylcholine,,acetylcholine
LTe42c,1,LTe42c,nt:acetylcholine,,acetylcholine
LTe44,1,LTe44,nt:glutamate,,glutamate
LTe45,1,LTe45,nt:glutamate,,glutamate
LTe46,1,LTe46,nt:glutamate,,glutamate
LTe48,1,LTe48,nt:acetylcholine,,acetylcholine
LTe49e,1,LTe49e,nt:acetylcholine,,acetylcholine
LTe51,1,LTe51,nt:acetylcholine,,acetylcholine
LTe53,1,LTe53,nt:glutamate,,glutamate
LTe55,1,LTe55,nt:acetylcholine,,acetylcholine
LTe56,1,LTe56,nt:acetylcholine,,acetylcholine
LTe57,1,LTe57,nt:acetylcholine,,acetylcholine
LTe59a,1,LTe59a,nt:unknown,,unknown
LTe59b,1,LTe59b,nt:glutamate,,glutamate
LTe60,1,LTe60,nt:glutamate,,glutamate
LTe61,1,LTe61,nt:acetylcholine,,acetylcholine
LTe62,1,LTe62,nt:acetylcholine,,acetylcholine
LTe69,1,LTe69,nt:acetylcholine,,acetylcholine
LTe70,1,LTe70,nt:glutamate,,glutamate
LTe72,1,LTe72,nt:unknown,,unknown
LTe73,1,LTe73,nt:acetylcholine,,acetylcholine
LTe74,1,LTe74,nt:acetylcholine,,acetylcholine
LTe75,1,LTe75,nt:acetylcholine,,acetylcholine
LTe76,1,LTe76,nt:acetylcholine,,acetylcholine
Li23,1,Li23,nt:gaba,,gaba
Li29,1,Li29,nt:glutamate,,glutamate
Li30,1,Li30,nt:acetylcholine,,acetylcholine
Li31,1,Li31,nt:gaba,,gaba
Li32,1,Li32,nt:gaba,,gaba
Li33,1,Li33,nt:gaba,,gaba
MTe18,1,MTe18,nt:glutamate,,glutamate
MTe19,1,MTe19,nt:unknown,,unknown
MTe20,1,MTe20,nt:gaba,,gaba
MTe21,1,MTe21,nt:acetylcholine,,acetylcholine
MTe22,1,MTe22,nt:acetylcholine,,acetylcholine
MTe23,1,MTe23,nt:glutamate,,glutamate
MTe24,1,MTe24,nt:unknown,,unknown
MTe25,1,MTe25,nt:acetylcholine,,acetylcholine
MTe26,1,MTe26,nt:acetylcholine,,acetylcholine
MTe27,1,MTe27,nt:acetylcholine,,acetylcholine
MTe28,1,MTe28,nt:acetylcholine,,acetylcholine
MTe29,1,MTe29,nt:glutamate,,glutamate
MTe30,1,MTe30,nt:acetylcholine,,acetylcholine
MTe31,1,MTe31,nt:glutamate,,glutamate
MTe32,1,MTe32,nt:acetylcholine,,acetylcholine
MTe33,1,MTe33,nt:acetylcholine,,acetylcholine
MTe34,1,MTe34,nt:acetylcholine,,acetylcholine
MTe35,1,MTe35,nt:acetylcholine,,acetylcholine
MTe36,1,MTe36,nt:glutamate,,glutamate
MTe37,1,MTe37,nt:acetylcholine,,acetylcholine
MTe38,1,MTe38,nt:acetylcholine,,acetylcholine
MTe39,1,MTe39,nt:glutamate,,glutamate
MTe40,1,MTe40,nt:acetylcholine,,acetylcholine
MTe41,1,MTe41,nt:gaba,,gaba
MTe42,1,MTe42,nt:glutamate,,glutamate
MTe43,1,MTe43,nt:glutamate,,glutamate
MTe44,1,MTe44,nt:acetylcholine,,acetylcholine
MTe45,1,MTe45,nt:acetylcholine,,acetylcholine
MTe48,1,MTe48,nt:gaba,,gaba
MTe49,1,MTe49,nt:acetylcholine,,acetylcholine
Nod2,1,Nod2,nt:gaba,,gaba
Nod3,1,Nod3,nt:acetylcholine,,acetylcholine
Nod5,1,Nod5,nt:acetylcholine,,acetylcholine
OA-AL2i1,1,OA-AL2i1,nt:oct,,oct
OA-AL2i4,1,OA-AL2i4,nt:oct,,oct
OLVC7,1,OLVC7,nt:acetylcholine,,acetylcholine
PLP020,1,PLP020,nt:gaba,,gaba
PLP022,1,PLP022,nt:gaba,,gaba
PLP023,1,PLP023,nt:gaba,,gaba
PLP032,1,PLP032,nt:acetylcholine,,acetylcholine
PLP035,1,PLP035,nt:glutamate,,glutamate
PLP036,1,PLP036,nt:glutamate,,glutamate
PLP037b,1,PLP037b,nt:glutamate,,glutamate
PLP051,1,PLP051,nt:gaba,,gaba
PLP068,1,PLP068,nt:unknown,,unknown
PLP081,1,PLP081,nt:glutamate,,glutamate
PLP103b,1,PLP103b,nt:acetylcholine,,acetylcholine
PLP104,1,PLP104,nt:acetylcholine,,acetylcholine
PLP150a,1,PLP150a,nt:acetylcholine,,acetylcholine
PLP155,1,PLP155,nt:acetylcholine,,acetylcholine
PLP163,1,PLP163,nt:acetylcholine,,acetylcholine
PLP177,1,PLP177,nt:acetylcholine,,acetylcholine
PLP185,1,PLP185,nt:glutamate,,glutamate
PLP215,1,PLP215,nt:glutamate,,glutamate
PLP239,1,PLP239,nt:unknown,,unknown
PLP248,1,PLP248,nt:glutamate,,glutamate
PLP249,1,PLP249,nt:gaba,,gaba
PLP251,1,PLP251,nt:acetylcholine,,acetylcholine
PLP252,1,PLP252,nt:glutamate,,glutamate
Pm13,1,Pm13,nt:gaba,,gaba
Sm37,1,Sm37,nt:gaba,,gaba
Sm39,1,Sm39,nt:gaba,,gaba
Sm41,1,Sm41,nt:gaba,,gaba
Sm42,1,Sm42,nt:gaba,,gaba
VCH,1,VCH,nt:gaba,,gaba
VS1,1,VS1,nt:acetylcholine,,acetylcholine
VS2,1,VS2,nt:acetylcholine,,acetylcholine
VS3,1,VS3,nt:acetylcholine,,acetylcholine
VS4,1,VS4,nt:acetylcholine,,acetylcholine
VS5,1,VS5,nt:acetylcholine,,acetylcholine
VS6,1,VS6,nt:acetylcholine,,acetylcholine
VS7,1,VS7,nt:acetylcholine,,acetylcholine
VS8,1,VS8,nt:acetylcholine,,acetylcholine
aMe15,1,aMe15,nt:unknown,,unknown
aMe17a1,1,aMe17a1,nt:acetylcholine,,acetylcholine
aMe17a2,1,aMe17a2,nt:glutamate,,glutamate
aMe20,1,aMe20,nt:acetylcholine,,acetylcholine
aMe22,1,aMe22,nt:glutamate,,glutamate
aMe24,1,aMe24,nt:glutamate,,glutamate
aMe25,1,aMe25,nt:glutamate,,glutamate
aMe3,1,aMe3,nt:gaba,,gaba
aMe6a,1,aMe6a,nt:acetylcholine,,acetylcholine
cL05,1,cL05,nt:gaba,,gaba
cL06,1,cL06,nt:gaba,,gaba
cL07,1,cL07,nt:gaba,,gaba
cL08,1,cL08,nt:gaba,,gaba
cL09,1,cL09,nt:gaba,,gaba
cL10,1,cL10,nt:glutamate,,glutamate
cL11,1,cL11,nt:gaba,,gaba
cL12,1,cL12,nt:gaba,,gaba
cL13,1,cL13,nt:gaba,,gaba
cL14,1,cL14,nt:glutamate,,glutamate
cL15,1,cL15,nt:gaba,,gaba
cL20,1,cL20,nt:gaba,,gaba
cL22a,1,cL22a,nt:gaba,,gaba
cL22b,1,cL22b,nt:gaba,,gaba
cL22c,1,cL22c,nt:gaba,,gaba
cLLPM02,1,cLLPM02,nt:acetylcholine,,acetylcholine
cLM01,1,cLM01,nt:da,,da
cLP04,1,cLP04,nt:acetylcholine,,acetylcholine
cLP05,1,cLP05,nt:glutamate,,glutamate
cLPL01,1,cLPL01,nt:glutamate,,glutamate
cM01a,1,cM01a,nt:acetylcholine,,acetylcholine
cM01b,1,cM01b,nt:acetylcholine,,acetylcholine
cM01c,1,cM01c,nt:acetylcholine,,acetylcholine
cM02a,1,cM02a,nt:acetylcholine,,acetylcholine
cM02b,1,cM02b,nt:acetylcholine,,acetylcholine
cM05,1,cM05,nt:acetylcholine,,acetylcholine
cM06,1,cM06,nt:acetylcholine,,acetylcholine
cM07,1,cM07,nt:glutamate,,glutamate
cM10,1,cM10,nt:gaba,,gaba
cM12,1,cM12,nt:acetylcholine,,acetylcholine
cM13,1,cM13,nt:acetylcholine,,acetylcholine
cM14,1,cM14,nt:acetylcholine,,acetylcholine
cM15,1,cM15,nt:acetylcholine,,acetylcholine
cM16,1,cM16,nt:acetylcholine,,acetylcholine
cM17,1,cM17,nt:acetylcholine,,acetylcholine
cM18,1,cM18,nt:acetylcholine,,acetylcholine
cML01,1,cML01,nt:glutamate,,glutamate
cML02,1,cML02,nt:acetylcholine,,acetylcholine
cMLLP01,1,cMLLP01,nt:acetylcholine,,acetylcholine
l-CPDN3,1,l-CPDN3,nt:acetylcholine,,acetylcholine
mALC3,1,mALC3,nt:gaba,,gaba
mALC4,1,mALC4,nt:gaba,,gaba
mALC5,1,mALC5,nt:gaba,,gaba
mALD1,1,mALD1,nt:gaba,,gaba
mALD2,1,mALD2,nt:gaba,,gaba
vCal1,1,vCal1,nt:glutamate,,glutamate
