idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,1.629759,-20.000000,0.976099,-0.441387,27.772412,190.271224,0.000000,0.000000
1,R7,1.000000,7.068889,-20.000000,0.974815,-0.478694,21.990994,206.430174,0.000000,0.000000
2,R8,1.000000,1.641218,-18.479447,0.963530,0.396145,23.422054,209.116839,0.000000,0.000000
3,L1,1.000000,0.193209,-0.367645,0.743546,0.952669,23.955000,218.182761,0.000000,0.600000
4,L2,1.000000,0.109018,-0.594789,0.773281,1.418769,24.874412,207.277256,0.000000,0.600000
5,L3,1.000000,0.995175,-0.429448,0.303582,-2.589604,28.487278,204.473931,0.000000,0.000000
6,L4,1.000000,0.116205,-0.748548,0.893231,2.097185,48.272189,201.626687,0.000000,0.000000
7,L5,1.000000,2.394483,1.204321,2.067049,-1.273417,63.815204,202.362986,0.000000,0.000000
8,Mi1,1.000000,2.047059,0.972557,1.372954,-1.080280,58.750005,192.972420,0.000000,0.000000
9,Tm3,1.000000,1.375232,0.943985,0.355508,-2.065218,75.178876,207.983828,0.000000,0.000000
10,Mi4,1.000000,3.706454,1.276467,0.464517,-1.326718,33.645896,199.186596,0.000000,0.000000
11,Mi9,1.000000,10.000000,1.400384,0.550115,-0.298333,13.775846,203.200482,0.000000,0.000000
12,T4a,1.000000,2.545008,0.408584,1.006768,0.323777,33.626602,204.024933,0.000000,0.000000
13,T4b,1.000000,3.934616,0.409718,0.960693,-0.106345,27.220822,195.884229,0.000000,0.000000
14,T4c,1.000000,0.954520,-0.388876,0.987195,0.214684,47.533511,190.421317,0.000000,0.000000
15,T4d,1.000000,0.318564,-0.157470,1.030857,0.398087,49.644362,192.733824,0.000000,0.000000
16,Tm1,1.000000,1.663600,-0.338576,0.924317,1.868217,42.418502,190.484803,0.000000,0.000000
17,Tm2,1.000000,1.654157,1.121647,1.276897,1.470237,64.648509,197.279815,0.000000,0.000000
18,Tm4,1.000000,0.965164,-0.384700,0.422142,1.853467,70.840629,204.000465,0.000000,0.000000
19,Tm9,1.000000,0.237351,-0.630895,0.712885,1.191641,14.815740,206.415046,0.000000,0.000000
20,T5a,1.000000,0.945334,-0.699402,0.956192,0.349456,48.079694,190.467188,0.000000,0.000000
21,T5b,1.000000,5.854267,1.262992,0.958565,-0.228512,51.510076,206.371764,0.000000,0.000000
22,T5c,1.000000,0.782683,-0.507172,1.014844,0.430482,50.763267,205.659441,0.000000,0.000000
23,T5d,1.000000,1.035692,-0.232171,1.049233,-0.477215,50.535967,209.976281,0.000000,0.000000
24,T1,1.000000,0.180922,-0.804368,0.988448,-0.297871,48.513085,198.504176,0.000000,0.000000
25,T2,1.000000,0.828863,0.541131,1.029042,0.494794,50.624379,191.816905,0.000000,0.000000
26,T2a,1.000000,0.608432,0.142519,0.972880,-0.385593,56.097353,197.579514,0.000000,0.000000
27,T3,1.000000,1.104244,0.459733,0.991522,-0.037355,58.975637,202.536009,0.000000,0.000000
28,C2,1.000000,0.254967,-0.618690,1.016347,-0.255826,51.430895,192.278951,0.000000,0.000000
29,C3,1.000000,0.418464,-0.781326,0.975279,0.200011,49.069321,191.392482,0.000000,0.000000
30,Lawf1,1.000000,1.037903,-0.204724,1.000808,0.448414,50.956755,205.713461,0.000000,0.000000
31,Lawf2,1.000000,3.018641,2.078615,0.978341,-0.268169,56.328461,204.563384,0.000000,0.000000
32,Dm3v,1.000000,0.988251,-0.388122,0.992371,-0.408049,47.828859,206.966139,0.000000,0.000000
33,Lai,1.000000,1.447979,-0.585521,0.967183,-0.041017,51.914649,206.540990,0.000000,0.000000
34,Mi10,1.000000,1.016839,-0.296323,1.004191,0.063987,49.477084,206.946424,0.000000,0.000000
35,Mi13,1.000000,1.530675,1.016245,1.011919,-0.135313,36.200196,201.951422,0.000000,0.000000
36,Mi14,1.000000,1.308435,0.647162,0.981777,-0.437516,47.535912,205.691672,0.000000,0.000000
37,Mi15,1.000000,1.027203,-0.236540,0.950042,0.115326,50.225456,205.421869,0.000000,0.000000
38,Mi2,1.000000,2.056926,1.452645,0.951234,0.471741,78.671725,194.892168,0.000000,0.000000
39,Tm16,1.000000,0.951468,-0.212000,1.018770,-0.291131,48.728131,198.519783,0.000000,0.000000
40,Tm20,1.000000,4.621369,1.718476,1.009438,-0.353915,15.793352,190.697298,0.000000,0.000000
41,Tm21,1.000000,4.440053,2.318973,0.954185,-0.195758,67.241400,205.810835,0.000000,0.000000
42,Tm27,1.000000,0.192038,-0.774057,0.953009,-0.476933,48.929311,194.038834,0.000000,0.000000
43,Tm5a,1.000000,6.934335,-1.318857,1.034419,-0.168317,51.338467,202.255458,0.000000,0.000000
44,Tm5b,1.000000,0.392893,-0.319996,0.979038,-0.349065,51.244204,205.421594,0.000000,0.000000
45,Tm5c,1.000000,0.951826,-0.286162,0.973083,-0.016787,48.210657,195.676094,0.000000,0.000000
46,Tm5f,1.000000,1.826787,1.469504,1.024371,0.499626,37.607074,203.732978,0.000000,0.000000
47,TmY10,1.000000,0.357237,-0.589561,0.980606,-0.116863,47.903386,194.400787,0.000000,0.000000
48,TmY11,1.000000,0.848379,-1.005419,0.999565,-0.410603,50.425341,196.577145,0.000000,0.000000
49,TmY14,1.000000,0.351148,-0.689958,0.951172,0.261291,52.142745,191.432201,0.000000,0.000000
50,TmY15,1.000000,0.357478,-0.395347,1.032168,-0.453088,50.682758,192.660601,0.000000,0.000000
51,TmY3,1.000000,0.222906,-0.674965,0.987862,0.452278,47.583794,192.167244,0.000000,0.000000
52,TmY4,1.000000,0.288362,-0.691364,1.032207,0.417460,51.724667,196.548420,0.000000,0.000000
53,TmY5a,1.000000,2.977631,2.150927,1.030794,0.053910,53.654698,201.733051,0.000000,0.000000
54,TmY9q,1.000000,1.954370,1.876629,0.989047,0.377931,52.120656,196.914563,0.000000,0.000000
55,TmY9q__perp,1.000000,0.101553,-0.676080,1.019319,0.360767,50.606352,205.288230,0.000000,0.000000
