idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.498023,1.598755,-30.000000,0.997191,0.000000,28.774089,198.770670,-50.000000,0.000000,-30.004235,-30.004252
1,R7,2.498023,6.849614,-30.000000,0.952658,0.000000,30.232836,204.073979,-50.000000,0.000000,-30.206622,-30.206617
2,R8,2.498023,3.557852,-30.235638,1.047250,0.000000,27.367906,196.332121,-49.764362,0.000000,-29.690745,-29.690754
3,L1,2.498023,2.762207,-50.698750,1.471676,0.000000,26.946153,186.896900,-50.000000,0.600000,-49.824124,-49.819950
4,L2,2.498023,3.675567,-50.118442,1.054507,0.000000,29.349539,194.612983,-50.000000,0.600000,-50.972543,-50.968023
5,L3,2.498023,3.747904,-51.890644,2.036690,0.000000,31.636353,202.879669,-47.613395,0.000000,-47.739149,-47.739679
6,L4,2.498023,0.480234,-49.444130,0.638271,0.000000,26.581051,206.927917,-50.000000,1.000000,-50.000000,-49.999998
7,L5,2.498023,6.837179,-49.841693,0.374046,0.000000,26.404818,191.895736,-49.539576,1.000000,-49.539576,-49.569411
8,Mi1,2.498023,3.669643,-49.418193,0.624406,0.000000,41.280542,209.678674,-49.088307,0.000000,-49.530321,-49.486994
9,Tm3,2.498023,0.977304,-49.328491,0.185129,0.000000,23.694450,203.907131,-47.942183,0.000000,-47.311376,-47.302154
10,Mi4,2.498023,3.588542,-50.357072,1.296725,0.000000,29.043339,198.555028,-50.000000,0.000000,-52.441660,-52.419144
11,Mi9,2.498023,2.295491,-50.371167,0.774750,0.000000,29.652030,191.293804,-48.807093,0.000000,-44.132225,-44.143152
12,T4a,2.498023,2.068824,-50.774712,0.950274,0.000000,43.818114,193.051595,-49.225288,0.000000,-49.129324,-49.144795
13,T4b,2.498023,2.962483,-50.734173,1.010426,0.000000,31.039364,193.574981,-49.265827,0.000000,-49.124461,-49.155958
14,T4c,2.498023,2.709813,-50.400057,0.983451,0.000000,33.007005,191.836036,-49.488814,0.000000,-49.098748,-49.128190
15,T4d,2.498023,3.681512,-52.888866,0.987172,0.000000,31.413740,204.867125,-47.111134,0.000000,-46.619179,-46.630255
16,Tm1,2.498023,1.899392,-49.627290,0.929595,0.000000,48.714243,199.971180,-50.000000,0.000000,-52.268382,-52.263892
17,Tm2,2.498023,0.100000,-48.972776,0.773928,0.000000,45.747826,203.050600,-50.000000,0.000000,-51.294598,-51.293641
18,Tm4,2.498023,2.437268,-50.748477,0.648602,0.000000,41.324686,191.224724,-50.000000,0.000000,-52.598939,-52.593916
19,Tm9,2.498023,0.547972,-45.024005,0.370990,0.000000,30.483143,209.103281,-49.958834,0.000000,-46.104484,-46.104500
20,T5a,2.498023,0.362060,-49.399599,0.979208,0.000000,40.738918,196.853083,-49.999936,0.000000,-50.023500,-50.023863
21,T5b,2.498023,7.887114,-56.669774,1.047808,0.000000,38.265974,194.716277,-43.330226,0.000000,-43.219652,-43.219702
22,T5c,2.498023,0.494316,-49.671699,0.994878,0.000000,38.300459,191.443582,-50.000000,0.000000,-49.996303,-49.996341
23,T5d,2.498023,3.857330,-53.145544,1.036113,0.000000,31.128989,201.872105,-46.854456,0.000000,-46.767001,-46.767536
24,T1,2.498023,1.985322,-51.022136,1.033580,0.000000,30.767792,209.743392,-48.327399,0.000000,-54.334932,-54.318366
