cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
29,C3,0.963802,50.000000,1.587637,2.045316,0.960658,-100.000000,-100.000000,1.035319,352.417084,10.000000,210.641388,0.000000,0.539215,0.569080,0.693441,0.124361,104.090134,104.121048,104.249809,0.128761,104.090134,104.090645,104.096191,0.005547
30,Lawf1,0.985507,50.000000,1.587637,0.327108,-0.858781,-100.000000,-100.000000,1.036816,349.812683,10.000000,210.641388,0.000000,-4.280427,-4.255820,-4.260583,-0.004763,99.243629,99.269142,99.264198,-0.004944,99.243629,99.244064,99.245850,0.001785
31,Lawf2,1.012369,50.000000,1.587637,0.100000,-1.399462,-100.000000,-100.000000,1.038187,350.618317,10.000000,210.641388,0.000000,-1.877053,-1.875413,-1.875060,0.000353,101.869980,101.871681,101.872047,0.000366,101.869980,101.870010,101.870110,0.000099
32,Dm3v,0.962266,50.000000,1.587637,1.933594,1.160235,-100.000000,-100.000000,0.958720,347.971344,10.000000,210.641388,0.000000,1.939940,1.935161,1.931516,-0.003645,97.731895,97.727310,97.723816,-0.003494,97.731895,97.731812,97.731354,-0.000458
33,Lai,0.967760,15.165462,1.587637,1.017305,-0.489333,-100.000000,-100.000000,1.042760,348.327789,10.000000,210.641388,0.000000,-122.118828,-122.799278,-132.289352,-9.490074,15.167956,15.026548,13.334434,-1.692115,15.167956,15.165462,15.099025,-0.066437
34,Mi10,1.018182,50.000000,1.587637,0.100000,-0.804624,-100.000000,-100.000000,0.978505,348.882416,10.000000,210.641388,0.000000,-22.113832,-22.012039,-21.987167,0.024872,76.212036,76.311630,76.335960,0.024330,76.212036,76.213783,76.222237,0.008453
35,Mi13,1.012109,50.000000,1.587637,2.031977,1.376650,-100.000000,-100.000000,0.952225,348.767578,10.000000,210.641388,0.000000,1.599639,1.598271,1.595546,-0.002725,96.745705,96.744423,96.741821,-0.002602,96.745705,96.745674,96.745522,-0.000153
36,Mi14,1.010514,50.000000,1.587637,2.005018,1.332242,-100.000000,-100.000000,1.005433,351.983704,10.000000,210.641388,0.000000,3.222230,3.226982,3.241308,0.014326,103.782997,103.787773,103.802208,0.014435,103.782997,103.783081,103.783791,0.000710
37,Mi15,0.971971,50.000000,1.587637,0.100000,-0.827534,-100.000000,-100.000000,0.964324,350.327118,10.000000,210.641388,0.000000,-26.097151,-26.191507,-27.498081,-1.306574,71.266289,71.175301,69.915337,-1.259964,71.266289,71.264694,71.217194,-0.047501
38,Mi2,1.016970,50.000000,1.587637,2.010972,1.389778,-100.000000,-100.000000,1.035141,348.092682,10.000000,210.641388,0.000000,1.752792,1.753141,1.758046,0.004905,105.328438,105.328789,105.333870,0.005081,105.328438,105.328438,105.328583,0.000145
39,Tm16,1.026644,50.000000,1.587637,0.100000,-0.934270,-100.000000,-100.000000,0.952944,349.299561,10.000000,210.641388,0.000000,-44.648666,-44.588345,-44.041866,0.546478,52.746708,52.804192,53.324951,0.520760,52.746708,52.747654,52.764977,0.017323
40,Tm20,0.972721,50.000000,1.587637,0.100000,-0.686821,-100.000000,-100.000000,1.045004,349.987274,10.000000,210.641388,0.000000,-29.984884,-30.060957,-31.014847,-0.953890,73.166092,73.086594,72.089775,-0.996819,73.166092,73.164673,73.125496,-0.039177
41,Tm21,1.038240,50.000000,1.587637,0.100000,-1.293118,-100.000000,-100.000000,0.970156,348.818634,10.000000,210.641388,0.000000,-17.675060,-17.700830,-17.710512,-0.009682,79.868034,79.843033,79.833641,-0.009392,79.868034,79.867584,79.865479,-0.002106
42,Tm27,0.984715,50.000000,1.587637,0.100000,-0.578101,-100.000000,-100.000000,1.044992,352.236755,10.000000,210.641388,0.000000,-9.989620,-9.985785,-9.942592,0.043194,94.060158,94.064163,94.109306,0.045143,94.060158,94.060219,94.061417,0.001198
43,Tm5a,1.045193,50.000000,1.587637,0.100000,-1.456857,-100.000000,-100.000000,1.042241,351.493866,10.000000,210.641388,0.000000,-27.121603,-27.210711,-28.669571,-1.458860,75.956810,75.863953,74.343460,-1.520493,75.956810,75.955177,75.898521,-0.056656
44,Tm5b,1.026184,50.000000,1.587637,0.100000,-1.367100,-100.000000,-100.000000,0.962735,347.932526,10.000000,210.641388,0.000000,-23.769312,-23.833658,-24.926893,-1.093235,73.389977,73.328041,72.275536,-1.052505,73.389977,73.388870,73.349365,-0.039505
45,Tm5c,0.957927,50.000000,1.587637,1.726709,0.849305,-100.000000,-100.000000,0.964589,350.916626,10.000000,210.641388,0.000000,0.275211,0.256272,0.112165,-0.144107,96.724411,96.706146,96.567139,-0.139008,96.724411,96.724098,96.718445,-0.005653
46,Tm5f,1.036248,50.000000,1.587637,0.102126,-1.198739,-100.000000,-100.000000,1.047373,348.127594,10.000000,210.641388,0.000000,-3.407165,-3.405974,-3.386210,0.019764,101.168694,101.169945,101.190643,0.020699,101.168694,101.168724,101.169312,0.000587
47,TmY10,0.958155,50.000000,1.587637,0.100000,-0.917599,-100.000000,-100.000000,1.021149,349.057343,10.000000,210.641388,0.000000,-11.742831,-11.727330,-11.590849,0.136481,90.123672,90.139511,90.278885,0.139374,90.123672,90.123947,90.128586,0.004639
48,TmY11,1.011105,15.265182,1.587637,0.100000,-0.892876,-100.000000,-100.000000,0.980804,347.512268,10.000000,210.641388,0.000000,-90.982994,-90.695580,-89.910530,0.785049,15.262920,15.393126,15.748574,0.355449,15.262920,15.265182,15.284435,0.019254
49,TmY14,0.967423,50.000000,1.587637,0.100000,-0.763888,-100.000000,-100.000000,0.971988,350.664734,10.000000,210.641388,0.000000,-30.515980,-30.622147,-30.691616,-0.069469,67.537643,67.434441,67.366928,-0.067513,67.537643,67.535820,67.526115,-0.009705
50,TmY15,0.955194,50.000000,1.587637,1.986787,1.085681,-100.000000,-100.000000,0.979472,349.615326,10.000000,210.641388,0.000000,6.136858,6.147902,6.184591,0.036689,103.958138,103.968948,104.004883,0.035934,103.958138,103.958305,103.959976,0.001671
51,TmY3,0.996061,50.000000,1.587637,0.100000,-0.895780,-100.000000,-100.000000,0.957931,347.563812,10.000000,210.641388,0.000000,-42.222847,-42.130920,-41.746155,0.384766,55.346512,55.434559,55.803139,0.368580,55.346512,55.348019,55.364281,0.016262
52,TmY4,1.047662,50.000000,1.587637,0.100000,-0.949290,-100.000000,-100.000000,0.973113,351.889923,10.000000,210.641388,0.000000,-17.363314,-17.414515,-17.442429,-0.027914,80.414848,80.365028,80.337875,-0.027153,80.414848,80.413963,80.409477,-0.004486
53,TmY5a,1.001522,50.000000,1.587637,1.947650,1.211812,-100.000000,-100.000000,1.029304,349.322723,10.000000,210.641388,0.000000,6.392272,6.407612,6.432003,0.024391,109.510025,109.525810,109.550911,0.025101,109.510025,109.510300,109.512123,0.001823
54,TmY9q,0.988758,50.000000,1.587637,0.139522,-1.054354,-100.000000,-100.000000,0.968531,348.848297,10.000000,210.641388,0.000000,-1.028772,-1.029129,-1.029393,-0.000264,95.856689,95.856331,95.856087,-0.000244,95.856689,95.856674,95.856644,-0.000031
55,TmY9q__perp,0.954425,50.000000,1.587637,0.100000,-0.907450,-100.000000,-100.000000,1.002907,347.694916,10.000000,210.641388,0.000000,-0.799457,-0.799345,-0.799070,0.000275,99.488930,99.489052,99.489326,0.000275,99.488930,99.488930,99.488945,0.000015
