idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.488008,0.339564,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
1,C3,0.162763,1.602218,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
2,L1,1.617729,0.100000,0.000000,0.000000,6.440639,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
3,L2,0.100000,0.100000,0.000000,0.000000,6.450106,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
4,L3,0.918046,0.115269,0.000000,0.000000,6.051330,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
5,L4,1.094768,0.100000,0.000000,0.000000,0.860551,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
6,L5,0.162763,1.602218,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
7,Mi1,1.697415,0.192875,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
8,Mi4,1.697415,0.192875,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
9,Mi9,0.464262,1.829632,53.123644,52.290550,4.594793,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
10,R1-6,3.573251,1.527453,48.645479,47.292844,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
11,R7,1.501893,0.862791,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
12,R8,1.555445,1.195062,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
13,T1,0.334287,1.499437,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
14,T2,1.391583,0.616035,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
15,T2a,2.034972,2.188028,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
16,T3,2.034972,2.188028,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
17,T4a,0.582866,1.508593,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
18,T4b,0.100000,0.100000,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
19,T4c,1.012154,0.561537,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
20,T4d,0.100000,1.477483,0.645774,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
21,T5a,1.501893,0.862791,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
22,T5b,1.619286,0.955854,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
23,T5c,3.573251,1.527453,48.645479,47.292844,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
24,T5d,1.501893,0.862791,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
25,Tm1,1.606628,0.103313,0.000000,0.000000,0.351212,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
26,Tm2,1.617729,0.100000,0.000000,0.000000,2.082717,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
27,Tm20,1.391583,0.616035,0.000000,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
28,Tm21,1.534500,0.107865,0.795038,0.000000,1.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
29,Tm3,1.075052,0.100000,0.000000,0.000000,0.000000,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
30,Tm4,1.391583,0.616035,0.000000,0.000000,4.468489,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
31,Tm9,0.918046,0.115269,0.000000,0.000000,3.031057,-46.904695,-0.258109,-50.848028,-49.238406,-0.200000,-50.469940
