cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
35,Mi13,1.040217,16.332838,2.239719,0.174194,-2.117851,-100.000000,-100.000000,0.964659,350.179260,10.000000,221.109344,0.000000,16.322351,16.332838,17.363064,1.030226
36,Mi14,0.967308,50.000000,2.239719,4.603652,-3.688287,-100.000000,-100.000000,1.034237,348.378357,10.000000,221.109344,0.000000,118.221085,119.420135,115.814316,-3.605820
37,Mi15,1.046896,-25.670403,2.239719,0.659611,-1.396327,-100.000000,-100.000000,0.982450,348.151489,10.000000,221.109344,0.000000,-25.298765,-25.670403,-25.460258,0.210144
38,Mi2,0.980679,-2.735883,2.239719,0.882651,-5.226606,-100.000000,-100.000000,0.987723,350.439728,10.000000,221.109344,0.000000,-2.449967,-2.735883,-0.358011,2.377872
39,Tm16,0.986823,-50.000000,2.239719,1.543249,-2.918721,-100.000000,-100.000000,1.023976,351.442902,10.000000,221.109344,0.000000,-115.642769,-116.598022,-120.024055,-3.426033
40,Tm20,1.048731,-50.000000,2.239719,2.894505,-3.306494,-100.000000,-100.000000,1.032895,349.686584,10.000000,221.109344,0.000000,-69.961029,-70.282745,-82.398537,-12.115791
41,Tm21,0.975695,24.169094,2.239719,0.380330,-1.365744,-100.000000,-100.000000,0.967441,348.078583,10.000000,221.109344,0.000000,23.804005,24.169094,24.841812,0.672718
42,Tm27,1.020813,50.000000,2.239719,1.126125,-3.030588,-100.000000,-100.000000,0.981597,350.403442,10.000000,221.109344,0.000000,59.007679,59.339931,64.891052,5.551121
43,Tm5a,1.012302,50.000000,2.239719,6.671886,17.879095,-100.000000,-100.000000,0.994452,351.220276,10.000000,221.109344,0.000000,69.378883,80.619568,120.515541,39.895973
44,Tm5b,0.996321,-31.369875,2.239719,10.000000,18.792164,-100.000000,-100.000000,1.036215,347.682617,10.000000,221.109344,0.000000,-31.628839,-31.369875,-27.632898,3.736977
45,Tm5c,1.026108,49.955727,2.239719,5.065136,2.020062,-100.000000,-100.000000,1.024164,348.074249,10.000000,221.109344,0.000000,49.223816,49.955727,50.731342,0.775616
46,Tm5f,0.967353,50.000000,2.239719,10.000000,15.276616,-100.000000,-100.000000,0.979305,347.888428,10.000000,221.109344,0.000000,186.717468,194.725266,222.094543,27.369278
47,TmY10,0.977987,47.105194,2.239719,1.178741,-4.469930,-100.000000,-100.000000,1.032725,351.754486,10.000000,221.109344,0.000000,44.409225,47.105194,55.534000,8.428806
48,TmY11,1.028879,50.000000,2.239719,1.550914,-0.868065,-100.000000,-100.000000,1.002120,349.060913,10.000000,221.109344,0.000000,291.507660,292.954010,307.160400,14.206390
49,TmY14,0.965638,-50.000000,2.239719,2.194670,-1.499803,-100.000000,-100.000000,1.034183,349.044586,10.000000,221.109344,0.000000,-78.150566,-84.073013,-82.238052,1.834961
50,TmY15,1.032408,50.000000,2.239719,4.646371,-15.459906,-100.000000,-100.000000,1.031222,348.905334,10.000000,221.109344,0.000000,103.139793,104.857033,107.734406,2.877373
51,TmY3,0.978438,50.000000,2.239719,10.000000,12.873402,-100.000000,-100.000000,0.980826,349.001282,10.000000,221.109344,0.000000,281.762787,279.144897,302.541077,23.396179
52,TmY4,0.992282,27.057875,2.239719,1.463494,-3.886403,-100.000000,-100.000000,0.976252,348.696808,10.000000,221.109344,0.000000,26.616953,27.057875,28.585087,1.527212
53,TmY5a,0.994899,50.000000,2.239719,0.954425,-7.722938,-100.000000,-100.000000,0.975427,351.587830,10.000000,221.109344,0.000000,158.748886,165.421448,186.612122,21.190674
54,TmY9q,1.007947,33.672825,2.239719,0.100000,-2.145938,-100.000000,-100.000000,1.045802,352.499969,10.000000,221.109344,0.000000,32.897705,33.672825,34.581486,0.908661
55,TmY9q__perp,1.019867,50.000000,2.239719,4.186249,-4.457778,-100.000000,-100.000000,0.994258,349.104004,10.000000,221.109344,0.000000,303.413574,313.841003,329.481781,15.640778
