idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,1.581913,-20.000000,1.039776,0.444020,17.255951,205.297657,0.000000,0.000000
1,R7,1.000000,8.926890,-20.000000,1.037601,0.462427,14.211302,196.629107,0.000000,0.000000
2,R8,1.000000,1.902633,-19.524027,1.018276,0.341519,13.102133,198.724226,0.000000,0.000000
3,L1,1.000000,1.046970,-0.063584,0.688553,0.784638,13.505594,212.758887,0.000000,0.600000
4,L2,1.000000,0.100000,-0.486474,0.832876,1.472963,17.855561,222.547351,0.000000,0.600000
5,L3,1.000000,0.961819,-0.470445,0.306221,-2.593886,17.698203,195.259580,0.000000,0.000000
6,L4,1.000000,0.100000,-0.745773,0.946854,2.223841,12.130384,197.459854,0.000000,1.000000
7,L5,1.000000,0.990707,-0.263497,1.845685,-1.357552,33.633021,191.716970,0.000000,1.000000
8,Mi1,1.000000,0.979720,-0.480971,1.736810,-1.390964,64.730176,206.516433,0.000000,0.000000
9,Tm3,1.000000,0.506824,-0.665959,0.263581,-1.813631,14.229875,202.548509,0.000000,0.000000
10,Mi4,1.000000,2.188410,-0.446508,0.417727,-2.199034,20.855039,205.905873,0.000000,0.000000
11,Mi9,1.000000,10.000000,1.016129,1.037640,-0.724130,10.000000,209.178353,0.000000,0.000000
12,T4a,1.000000,1.378841,0.213531,0.975744,-0.224545,20.325338,200.341155,0.000000,0.000000
13,T4b,1.000000,1.045597,-0.499926,0.994472,-0.042550,50.524680,194.566311,0.000000,0.000000
14,T4c,1.000000,0.957613,-0.570321,0.992647,0.481459,49.820897,193.903969,0.000000,0.000000
15,T4d,1.000000,0.911758,0.255204,0.997577,-0.316808,50.925851,198.989466,0.000000,0.000000
16,Tm1,1.000000,1.309757,0.588515,1.033439,2.102436,81.227854,204.750096,0.000000,0.000000
17,Tm2,1.000000,0.950189,-0.236002,1.478197,1.693549,93.373651,196.984382,0.000000,0.000000
18,Tm4,1.000000,1.026195,-0.495863,0.604290,2.628864,94.418589,190.954520,0.000000,0.000000
19,Tm9,1.000000,0.334665,-0.575407,0.777794,1.423208,10.579926,196.617037,0.000000,0.000000
20,T5a,1.000000,0.354707,-0.529288,1.005231,-0.293214,51.080377,207.104656,0.000000,0.000000
21,T5b,1.000000,0.970238,-0.119433,0.985323,-0.241203,51.540919,197.188626,0.000000,0.000000
22,T5c,1.000000,1.044916,-0.432494,1.026477,0.446200,51.439855,200.379858,0.000000,0.000000
23,T5d,1.000000,4.044253,3.464527,1.032116,0.408760,48.097331,204.914837,0.000000,0.000000
24,T1,1.000000,0.717098,-0.635088,0.982323,0.321197,49.954988,208.474027,0.000000,0.000000
25,T2,1.000000,0.962785,-0.439236,1.018898,0.300565,51.466651,203.840614,0.000000,0.000000
