idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.873287,0.983073,21.835553,10000.000000,-18.071733,1.000000
1,R7,1.000000,5.000000,0.967554,20.728354,10000.000000,-17.952492,1.000000
2,R8,1.000000,3.329650,1.003882,10.000000,9998.729466,-20.000000,1.000000
3,L1,1.000000,5.000000,1.891516,16.396331,209.807220,4.604423,1.045150
4,L2,1.000000,2.274140,2.106475,10.000000,199.976533,5.400298,0.628976
5,L3,1.000000,5.000000,2.100471,32.703341,10000.000000,2.383825,1.000000
6,L4,1.000000,2.609459,5.000000,26.817865,202.499552,4.916672,4.244506
7,L5,1.000000,4.050576,1.321985,10.000000,181.768766,0.131173,2.600908
8,Mi1,1.000000,4.056492,1.011804,27.587050,10000.000000,-6.675780,1.000000
9,Mi4,1.000000,4.871711,1.351044,14.494154,10000.000000,2.518729,1.000000
10,Mi9,1.000000,4.689213,2.630742,33.579419,9997.661802,2.211115,1.000000
11,T1,1.000000,1.958703,0.959451,81.549549,10000.000000,20.000000,1.000000
12,T2,1.000000,5.000000,0.989502,36.629376,9995.063968,-2.480843,1.000000
13,T2a,1.000000,0.500000,0.996554,50.535303,10000.000000,-2.650604,1.000000
14,T3,1.000000,5.000000,1.011456,99.914071,9965.473693,20.000000,1.000000
15,T4a,1.000000,2.826815,0.976735,17.396108,9969.637647,6.856927,1.000000
16,T4b,1.000000,3.620724,0.964469,10.785520,9974.781666,8.231489,1.000000
17,T4c,1.000000,5.000000,0.952760,12.700516,9999.459693,13.730002,1.000000
18,T4d,1.000000,4.854779,0.990567,10.000000,9997.005108,19.212531,1.000000
19,T5a,1.000000,5.000000,0.977846,22.102076,9999.868165,-0.404042,1.000000
20,T5b,1.000000,5.000000,1.002071,73.879023,9997.068585,20.000000,1.000000
21,T5c,1.000000,5.000000,1.030941,45.495891,9998.096363,20.000000,1.000000
22,T5d,1.000000,5.000000,0.990693,59.642677,10000.000000,20.000000,1.000000
23,Tm1,1.000000,2.569400,2.103927,12.998509,9999.583937,-4.871445,1.000000
24,Tm2,1.000000,4.280269,2.487022,10.000000,9927.963416,-6.081804,1.000000
25,Tm20,1.000000,0.500000,1.044534,46.629414,9991.764845,-2.119247,1.000000
26,Tm21,1.000000,5.000000,0.965386,10.000000,9994.972423,20.000000,1.000000
27,Tm3,1.000000,5.000000,4.837406,10.000000,10000.000000,12.027764,1.000000
28,Tm4,1.000000,3.744176,5.000000,10.000000,9988.055317,5.956929,1.000000
29,Tm9,1.000000,0.502694,3.986107,40.331571,9940.902193,-4.364247,1.000000
30,C2,1.000000,5.000000,0.962639,40.196125,9958.594286,0.418504,1.000000
31,C3,1.000000,2.576116,1.029135,10.000000,10000.000000,6.564053,1.000000
32,Lawf1,1.000000,5.000000,1.012602,10.000000,9935.884464,-1.014901,1.000000
33,Lawf2,1.000000,4.367943,1.019557,71.489292,9949.521220,13.394584,1.000000
