,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,5.000000,,,1.422159,1.521409,1.017617,3.731439,,,,,0.500000,,,,,,,,,,,,,,,,,,,0.500000,5.000000,,
R7,,,5.000000,4.925485,,1.917029,,,0.822741,0.500000,1.931544,,,,,,,,,,,,,,,1.011223,,,,,,0.500000,5.000000,
R8,,0.500000,0.555505,5.000000,0.500000,3.729758,,0.500000,0.500000,0.500000,3.812346,0.500000,,,,,,,,,,,,,,2.615527,0.988018,,,,0.500000,0.500000,0.500000,0.500000
L1,0.500000,0.500000,2.643308,0.500000,5.000000,5.000000,0.500000,1.910425,2.264410,5.000000,,5.000000,0.500000,0.954489,,,,,,,,,,0.500000,0.500000,,,2.161100,,,5.000000,4.188091,,0.500000
L2,5.000000,,3.968321,0.500000,5.000000,0.500000,4.958368,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.018984,,,,,,,,,,1.757949,2.873180,2.468936,,0.500000,5.000000,,5.000000,5.000000,,
L3,,0.500000,5.000000,5.000000,1.609473,,,,0.500000,0.500000,1.875880,5.000000,,,,,,,,,,,,0.500000,5.000000,0.500000,0.987638,,5.000000,5.000000,0.500000,5.000000,2.712492,
L4,0.500000,,,5.000000,5.000000,0.500000,2.938729,0.973180,0.500000,,4.706801,,0.500000,,,,,,,,,,,0.685835,0.500000,,,,0.500000,2.676734,,0.500000,0.500000,5.000000
L5,,,,0.500000,0.500000,,,5.000000,5.000000,5.000000,0.500000,5.000000,2.348348,0.976311,,,,,,,,,,0.500000,0.500000,1.838647,5.000000,2.885524,0.500000,,0.500000,0.500000,5.000000,0.500000
Mi1,,4.418336,0.500000,5.000000,5.000000,,,0.500000,5.000000,0.500000,0.500000,5.000000,4.921554,0.500000,0.500000,4.266809,5.000000,5.000000,5.000000,,,,,0.500000,1.194228,0.978252,5.000000,0.500000,2.778181,,5.000000,0.500000,5.000000,5.000000
Mi4,,,,,5.000000,4.878530,,0.500000,0.500000,1.489042,0.648393,0.500000,,0.962964,,0.500000,0.500000,0.500000,0.500000,,,,,4.932797,0.651433,0.500000,,2.075361,0.500000,2.495397,5.000000,0.637446,0.500000,0.500000
Mi9,,,,,,2.558963,1.800591,,0.500000,4.931277,,,0.500000,1.043600,0.500000,5.000000,5.000000,5.000000,2.117052,,,,,0.500000,5.000000,1.000580,0.500000,0.500000,1.297641,1.646673,0.712686,,2.877995,5.000000
T1,0.500000,5.000000,0.500000,,1.405482,0.500000,,5.000000,,,5.000000,,,,,,,,,,,,,2.002599,0.860739,0.500000,,,0.500000,,,,,
T2,,,,,,,,5.000000,5.000000,,3.000883,,0.500000,0.994162,0.500000,,,,,,,,,0.500000,5.000000,,5.000000,3.639192,0.500000,,,,,5.000000
T2a,,,,,,,,,0.500000,,,,0.956215,0.986722,1.037393,,,,,,,,,1.033525,,0.976207,1.016878,0.500000,0.985703,,1.000899,,,1.037570
T3,,,,,,,,,,,,,0.500000,1.021906,0.996297,,,,1.037090,,,,,2.343993,,,5.000000,5.000000,,,,5.000000,,3.312506
T4a,,,,,,,,,,,4.603253,,,,,0.500000,0.981709,0.972747,0.957296,1.041033,,,,,,,,,,,,0.500000,,
T4b,,,,,,,,,0.500000,2.499511,4.022047,,,,,0.500000,4.943476,,1.027250,,5.000000,,,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,1.048186,,,,,0.500000,,,,0.968624,0.995715,,,,,,,,,,,
T4d,,,,,,,,,4.867963,,,,,,,,,0.955736,4.767655,,,,1.014494,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.500000,,,0.707053,,,,0.500000,0.970961,,,,5.000000,,,,,,,,,
T5b,,,,,,,,,,,,,5.000000,,,,0.500000,,,0.962246,5.000000,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,5.000000,,,,,0.500000,,,1.018821,5.000000,1.018747,,,,,,,,,,,
T5d,,,,,,,,,,,,,5.000000,,,,,0.643752,1.035566,,,,0.500000,,,,,,,,,,,
Tm1,,,,,0.500000,,,5.000000,5.000000,5.000000,0.500000,0.500000,5.000000,0.500000,4.433252,,,1.040404,,5.000000,0.500000,5.000000,5.000000,5.000000,0.500000,1.214771,4.375891,0.500000,0.500000,0.500000,1.999031,0.500000,,0.500000
Tm2,,,,5.000000,0.500000,,,5.000000,5.000000,5.000000,0.500000,0.500000,5.000000,0.837387,5.000000,0.959821,,5.000000,,5.000000,0.500000,3.707558,4.612494,0.500000,,,0.500000,0.500000,0.500000,0.500000,,0.500000,5.000000,0.500000
Tm20,,,,,,,,,,0.972246,0.500000,1.032712,0.955037,1.001174,,,,,,,,,,1.018264,0.983628,1.014586,1.003369,,,2.388176,,0.500000,,
Tm21,,,,,,,,,5.000000,,,,5.000000,1.010264,,,,,,,,,,0.500000,,,5.000000,,,,,,,
Tm3,,,,0.500000,4.405712,,,,0.500000,2.092280,0.500000,,0.500000,0.500000,0.500000,5.000000,5.000000,1.536951,5.000000,,1.020854,,0.989161,,,,,5.000000,0.500000,,0.500000,5.000000,5.000000,5.000000
Tm4,,,,,5.000000,,,,1.060453,5.000000,,5.000000,2.953785,0.500000,5.000000,,,,,0.500000,5.000000,5.000000,5.000000,0.500000,0.500000,,5.000000,0.500000,5.000000,,0.500000,0.500000,,0.500000
Tm9,,,,,,0.559471,,,,1.017836,0.500000,,1.006603,1.037765,,,,,,0.985557,0.803602,0.500000,1.049894,0.803192,0.976983,0.973387,0.966205,,0.942475,1.026189,,,,
C2,0.500000,0.500000,4.915535,0.500000,0.500000,0.500000,0.500000,5.000000,0.500000,5.000000,,5.000000,5.000000,0.969167,0.500000,,,,,,,,,0.500000,,,,,,0.500000,5.000000,5.000000,,
C3,5.000000,,,0.500000,0.500000,0.500000,3.283092,0.500000,5.000000,0.500000,5.000000,0.777801,5.000000,1.015889,0.500000,0.500000,0.500000,0.500000,1.035946,,,,,5.000000,0.500000,0.987332,5.000000,0.500000,2.920255,3.177778,0.500000,,,
Lawf1,0.683716,,,0.500000,0.500000,5.000000,,5.000000,,,3.100031,0.500000,,,,,,,,,,,,,,,,5.000000,,,,,2.558264,
Lawf2,5.000000,,,3.448050,5.000000,0.500000,,5.000000,,,,0.575739,,,,,,,,,,,,0.500000,2.884303,,,,,5.000000,0.500000,0.500000,2.362991,
