idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,nan,nan,0.973732,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1,C3,nan,nan,1.073816,0.000000,0.000000,nan,nan,nan,nan,nan,nan
2,L1,nan,nan,0.908690,nan,nan,nan,nan,nan,nan,nan,nan
3,L2,nan,nan,0.976500,nan,nan,nan,nan,nan,nan,nan,nan
4,L3,nan,nan,1.024549,nan,nan,nan,nan,nan,nan,nan,nan
5,L4,nan,nan,0.913747,nan,nan,nan,nan,nan,nan,nan,nan
6,L5,nan,nan,0.959626,nan,nan,nan,nan,nan,nan,nan,nan
7,Mi1,nan,nan,1.029279,0.000000,0.000000,nan,nan,nan,nan,nan,nan
8,Mi4,nan,nan,0.916765,0.000000,0.000000,nan,nan,nan,nan,nan,nan
9,Mi9,nan,nan,1.084695,0.000000,0.000000,nan,nan,nan,nan,nan,nan
10,R1-6,nan,nan,0.934520,0.000000,0.000000,nan,nan,nan,nan,nan,nan
11,R7,nan,nan,1.005300,0.000000,0.000000,nan,nan,nan,nan,nan,nan
12,R8,nan,nan,1.082381,0.000000,0.000000,nan,nan,nan,nan,nan,nan
13,T1,nan,nan,0.945721,0.000000,0.000000,nan,nan,nan,nan,nan,nan
14,T2,nan,nan,1.015302,0.000000,0.000000,nan,nan,nan,nan,nan,nan
15,T2a,nan,nan,1.022676,0.000000,0.000000,nan,nan,nan,nan,nan,nan
16,T3,nan,nan,0.952156,0.000000,0.000000,nan,nan,nan,nan,nan,nan
17,T4a,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
18,T4b,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
19,T4c,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
20,T4d,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
21,T5a,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
22,T5b,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
23,T5c,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
24,T5d,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
25,Tm1,nan,nan,1.069800,0.000000,0.000000,nan,nan,nan,nan,nan,nan
26,Tm2,nan,nan,0.927754,0.000000,0.000000,nan,nan,nan,nan,nan,nan
27,Tm20,nan,nan,1.046842,0.000000,0.000000,nan,nan,nan,nan,nan,nan
28,Tm21,nan,nan,1.034684,0.000000,0.000000,nan,nan,nan,nan,nan,nan
29,Tm3,nan,nan,1.036984,0.000000,0.000000,nan,nan,nan,nan,nan,nan
30,Tm4,nan,nan,0.983612,0.000000,0.000000,nan,nan,nan,nan,nan,nan
31,Tm9,nan,nan,0.952507,0.000000,0.000000,nan,nan,nan,nan,nan,nan
