idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.992384,10.000000,10000.000000,-0.445920,1.000000
1,R7,1.000000,5.000000,0.998501,10.000000,10000.000000,-0.292085,1.000000
2,R8,1.000000,5.000000,0.978312,10.000000,10000.000000,-0.084846,1.000000
3,L1,1.000000,5.000000,0.972836,13.401627,269.357292,9.633532,5.000000
4,L2,1.000000,5.000000,1.003550,13.599643,275.990905,11.700113,5.000000
5,L3,1.000000,5.000000,1.003227,10.000000,10000.000000,8.110682,1.000000
6,L4,1.000000,1.055243,0.952283,10.000000,181.020371,7.347116,4.204367
7,L5,1.000000,1.632069,1.004523,14.910175,165.058249,-0.238044,0.638445
8,Mi1,1.000000,3.883100,1.017430,10.000000,10000.000000,7.772921,1.000000
9,Mi4,1.000000,5.000000,1.015982,10.000000,10000.000000,4.358200,1.000000
10,Mi9,1.000000,5.000000,0.990647,11.022556,9976.217829,4.823558,1.000000
11,T1,1.000000,1.664221,0.960767,10.000000,9914.770288,-14.604739,1.000000
12,T2,1.000000,5.000000,1.016724,10.000000,9933.530133,2.558489,1.000000
13,T2a,1.000000,5.000000,1.008460,40.729600,9907.593510,8.482529,1.000000
14,T3,1.000000,5.000000,1.029610,97.525827,9912.534519,20.000000,1.000000
15,T4a,1.000000,5.000000,0.978236,12.277023,9945.657715,0.556680,1.000000
16,T4b,1.000000,5.000000,0.959327,10.000000,10000.000000,5.605452,1.000000
17,T4c,1.000000,5.000000,1.034115,22.892604,9995.846599,-2.383052,1.000000
18,T4d,1.000000,0.685800,1.043606,50.034798,9999.999901,-1.100733,1.000000
19,T5a,1.000000,5.000000,1.001009,54.990092,10000.000000,20.000000,1.000000
20,T5b,1.000000,5.000000,1.015424,82.666337,9935.711466,-12.969428,1.000000
21,T5c,1.000000,5.000000,1.038460,10.000000,10000.000000,20.000000,1.000000
22,T5d,1.000000,1.072425,1.014238,81.193639,9999.501634,-5.761152,1.000000
23,Tm1,1.000000,2.155994,1.030901,13.156013,10000.000000,20.000000,1.000000
24,Tm2,1.000000,0.500000,1.008918,10.000000,10000.000000,15.202577,1.000000
25,Tm20,1.000000,5.000000,1.033297,85.638406,9910.511616,2.608411,1.000000
26,Tm21,1.000000,5.000000,1.038898,100.000000,10000.000000,20.000000,1.000000
27,Tm3,1.000000,0.500000,0.962976,10.000000,10000.000000,-2.639513,1.000000
28,Tm4,1.000000,4.998794,0.970049,10.000000,10000.000000,2.611863,1.000000
29,Tm9,1.000000,5.000000,0.974133,17.841042,9902.221465,20.000000,1.000000
30,C2,1.000000,3.596627,1.019669,12.360336,10000.000000,14.183769,1.000000
31,C3,1.000000,5.000000,0.977779,49.031755,10000.000000,-3.838594,1.000000
