idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain,in_gain
0,R1-6,2.005521,1.472100,0.993720,38.732868,9998.188706,2.335474,1.000000,2.005521
1,R7,2.005521,4.840546,0.960328,27.005905,9990.746509,-1.363470,1.000000,2.005521
2,R8,2.005521,3.405424,1.035058,16.242354,9999.348960,-3.915823,1.000000,2.005521
3,L1,2.005521,2.746455,1.032711,44.142170,183.530396,3.347884,2.090151,2.005521
4,L2,2.005521,0.010000,1.034266,51.111757,198.379918,-1.464010,0.010000,2.005521
5,L3,2.005521,3.552273,1.585897,31.434760,10000.000000,1.167291,1.000000,2.005521
6,L4,2.005521,0.024038,1.038471,51.882354,204.942646,-0.317506,0.010000,2.005521
7,L5,2.005521,0.010000,1.004533,47.368331,205.436937,-0.968379,0.010000,2.005521
8,Mi1,2.005521,7.819140,1.016249,29.093526,9978.415078,-0.258951,1.000000,2.005521
9,Mi4,2.005521,0.355475,1.034795,50.264664,10000.000000,-0.777985,1.000000,2.005521
10,Mi9,2.005521,4.567375,1.015177,32.679417,9988.087223,1.758124,1.000000,2.005521
11,T1,2.005521,0.027972,0.985685,51.824835,9990.198327,-1.120975,1.000000,2.005521
12,T2,2.005521,2.046169,0.962076,53.718016,9990.694161,-1.069538,1.000000,2.005521
13,T2a,2.005521,4.146845,1.005920,32.955117,9989.856655,4.916010,1.000000,2.005521
14,T3,2.005521,3.158505,0.981496,69.118326,10000.000000,-0.991066,1.000000,2.005521
15,T4a,2.005521,7.781919,1.043014,22.278495,9979.538437,-0.021709,1.000000,2.005521
16,T4b,2.005521,6.031663,0.993987,20.709803,9988.208354,-6.275866,1.000000,2.005521
17,T4c,2.005521,0.369988,0.953671,47.104406,9994.146438,-1.751806,1.000000,2.005521
18,T4d,2.005521,0.661494,0.989533,48.324448,9999.946369,-1.767975,1.000000,2.005521
19,T5a,2.005521,5.523514,1.040315,62.550419,10000.000000,-2.215549,1.000000,2.005521
20,T5b,2.005521,5.946362,0.994906,40.860564,9988.958391,5.667939,1.000000,2.005521
21,T5c,2.005521,6.217055,0.959167,39.473364,9995.024842,0.370359,1.000000,2.005521
22,T5d,2.005521,0.602475,1.015437,50.045195,10000.000000,0.091675,1.000000,2.005521
23,Tm1,2.005521,9.360210,1.006440,30.343891,9992.628780,2.707594,1.000000,2.005521
24,Tm2,2.005521,6.109140,0.966718,66.189172,10000.000000,3.525141,1.000000,2.005521
25,Tm20,2.005521,4.892705,1.027889,62.658921,9988.293634,1.244111,1.000000,2.005521
26,Tm21,2.005521,6.003455,0.957692,53.313202,9995.050485,5.095493,1.000000,2.005521
27,Tm3,2.005521,4.689563,0.997081,49.133733,10000.000000,-3.530534,1.000000,2.005521
28,Tm4,2.005521,0.946396,0.960477,50.051437,9994.749606,-0.972616,1.000000,2.005521
29,Tm9,2.005521,7.331230,0.966084,72.189790,10000.000000,6.297229,1.000000,2.005521
30,C2,2.005521,4.685703,0.983795,46.997007,10000.000000,-0.974484,1.000000,2.005521
31,C3,2.005521,3.150598,0.987974,69.543401,9990.314509,2.847467,1.000000,2.005521
32,Lawf1,2.005521,8.954421,0.995867,31.348564,9976.242086,6.552383,1.000000,2.005521
33,Lawf2,2.005521,5.266268,0.995402,49.105735,9989.236058,-0.820150,1.000000,2.005521
