,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,17.925897,,,1.362303,0.010000,1.268290,1.934220,,,,,3.166222,,,,,,,,,,,,,,,,,,,0.994620,10.196156,,
R7,,,0.010000,4.420534,,4.293400,,,0.374395,1.044184,10.007693,,,,,,,,,,,,,,,0.010000,,,,,,4.783841,6.039560,
R8,,4.285350,0.357347,22.174145,0.010000,2.321956,,1.003212,7.383694,0.966733,4.297162,0.968806,,,,,,,,,,,,,,0.010317,1.840960,,,,1.016973,0.898966,0.466479,1.002314
L1,0.010000,4.021364,7.748836,0.010000,2.344102,0.621940,0.970526,0.660405,7.719538,1.020454,,1.016956,12.069131,14.130578,,,,,,,,,,0.010000,0.010000,,,2.741836,,,0.010000,1.774410,,0.010000
L2,2.364397,,0.905750,2.326877,1.020629,0.010000,0.017749,1.142663,0.985620,0.964910,1.654904,0.976179,1.005144,0.954177,,,,,,,,,,0.470381,0.043687,0.989405,,1.042690,1.026900,,0.437988,1.026436,,
L3,,10.865579,0.010000,0.010000,1.014755,,,,3.163049,1.027557,0.010000,0.691163,,,,,,,,,,,,9.650963,1.041814,8.186132,0.959914,,1.043805,16.046519,1.038699,2.098563,2.144171,
L4,0.565549,,,0.778415,0.225825,0.038305,0.390863,1.033804,1.037306,,0.782242,,1.015043,,,,,,,,,,,0.978574,1.201536,,,,1.033680,0.986799,,0.983252,0.502664,1.057492
L5,,,,0.010000,2.263698,,,1.194884,0.434826,0.990755,0.748204,1.036570,0.010000,1.042522,,,,,,,,,,1.027478,1.370800,1.047729,0.782475,0.985381,1.037179,,0.364074,2.275591,0.010000,0.960142
Mi1,,5.208421,0.132536,0.287343,1.022131,,,0.979643,0.010000,0.532141,7.198724,1.027846,0.052736,0.010000,9.842968,8.184426,6.095447,0.010000,0.409173,,,,,0.010000,0.010000,0.010000,6.258323,0.132472,1.037275,,0.010000,6.247588,5.634891,9.431449
Mi4,,,,,1.036380,1.002221,,1.024892,0.999506,0.962112,0.346075,1.023209,,0.955998,,0.972153,1.012254,0.993653,1.035421,,,,,0.956171,0.901148,0.878167,,1.026402,1.009958,0.959805,0.979353,1.025211,0.963161,1.002641
Mi9,,,,,,0.010000,0.377520,,3.038904,1.746139,,,7.711708,1.237581,10.213681,0.010000,0.989357,2.503309,2.952891,,,,,3.896304,2.617313,8.166223,0.530509,0.010000,1.489519,0.010000,1.571682,,4.969168,5.906338
T1,0.984084,0.998387,0.991287,,1.024282,2.268581,,0.960109,,,0.010000,,,,,,,,,,,,,0.977279,2.362932,0.055012,,,0.975016,,,,,
T2,,,,,,,,0.950228,2.429601,,9.542504,,0.844653,0.954243,0.010000,,,,,,,,,1.068995,8.041828,,6.304111,0.994009,0.971921,,,,,6.576174
T2a,,,,,,,,,6.761042,,,,0.808229,12.499289,0.960701,,,,,,,,,2.687924,,1.317689,0.999901,0.010000,0.996123,,9.006911,,,0.958292
T3,,,,,,,,,,,,,4.121334,0.994285,1.049948,,,,1.014379,,,,,0.010000,,,6.193001,3.295794,,,,0.010000,,5.785424
T4a,,,,,,,,,,,7.848057,,,,,0.010000,1.027859,1.004277,1.023942,1.003402,,,,,,,,,,,,0.487248,,
T4b,,,,,,,,,1.057168,1.012210,5.285437,,,,,8.537945,9.391816,,0.963719,,0.010000,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.369483,,0.988276,,,,,0.010000,,,,0.968246,0.957754,,,,,,,,,,,
T4d,,,,,,,,,0.648576,,,,,,,,,1.047031,1.276746,,,,1.034887,,,,,,,,,,,
T5a,,,,,,,,,,,,,9.941429,,,15.662549,,,,8.463544,1.038452,,,,7.016901,,,,,,,,,
T5b,,,,,,,,,,,,,6.870673,,,,0.010000,,,9.224185,5.223576,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,6.234664,,,,,1.004116,,,1.018713,5.231829,1.033657,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.636388,,,,,1.001469,0.983929,,,,1.044763,,,,,,,,,,,
Tm1,,,,,0.508224,,,0.121789,25.355425,0.958366,0.010000,0.964211,15.059274,9.742347,0.010000,,,1.047868,,4.034914,0.619750,16.963841,1.019362,4.533935,5.297913,7.512488,2.117680,0.952142,0.952858,0.010000,1.720781,0.010000,,3.736700
Tm2,,,,0.972435,0.010000,,,0.010000,1.042083,0.250684,6.307656,0.010000,0.170282,18.766492,2.685626,1.012938,,0.968804,,0.010000,2.517804,3.048566,1.041494,2.610473,,,7.078262,0.950883,0.359013,0.010000,,0.010000,3.315885,1.469329
Tm20,,,,,,,,,,1.024131,2.267973,1.241244,1.176653,0.010000,,,,,,,,,,0.010000,36.478939,5.701137,0.953635,,,5.486180,,3.632362,,
Tm21,,,,,,,,,0.010000,,,,6.996611,0.988175,,,,,,,,,,2.138132,,,6.152381,,,,,,,
Tm3,,,,2.790853,1.031100,,,,3.237210,0.989565,1.113826,,0.406960,4.497158,8.314708,0.010000,10.830237,1.019650,0.010000,,0.985849,,1.022204,,,,,8.291572,0.981202,,0.987515,1.021294,1.467358,10.609309
Tm4,,,,,0.977367,,,,0.979331,1.009517,,1.033629,0.959506,1.035698,0.959827,,,,,1.045026,0.999486,0.970975,1.002927,0.992543,0.959794,,0.976684,1.045414,1.030837,,0.990382,1.022439,,1.018786
Tm9,,,,,,0.010000,,,,0.965753,5.717529,,0.010000,0.010000,,,,,,6.215418,5.712386,6.913348,0.826905,1.458120,18.377809,7.194014,6.109420,,0.219494,1.017243,,,,
C2,1.107948,0.923947,0.976836,7.217477,0.489484,1.096069,1.529676,0.570444,1.336423,1.000413,,0.957691,1.031751,1.036434,0.990395,,,,,,,,,8.465375,,,,,,0.979916,0.857283,1.010376,,
C3,0.070226,,,6.971233,0.958523,0.010000,1.026577,1.888445,9.457911,0.979657,1.995033,0.370294,4.933487,6.972589,2.642140,0.010000,9.205583,0.681416,1.006994,,,,,3.695696,17.150385,5.635812,0.192540,0.970361,0.837076,6.809635,0.962299,,,
Lawf1,0.010000,,,23.828527,0.481493,9.280622,,1.132505,,,0.219824,0.481459,,,,,,,,,,,,,,,,6.435790,,,,,0.010017,
