idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,3.471247,1.637962,-30.637690,0.959740,0.000000,38.928060,194.291192,-49.362310,0.000000,-78.558792,-78.708556
1,R7,3.471247,1.630796,-30.637690,0.993138,0.000000,39.445392,199.465693,-49.362310,0.000000,-78.573279,-78.722971
2,R8,3.471247,1.643907,-30.637690,0.995193,0.000000,39.697045,200.041349,-49.116846,0.000000,-78.083566,-78.232013
3,L1,3.471247,0.737690,-49.351072,3.221843,0.000000,42.566812,194.583565,-47.449131,0.600000,-63.359907,-63.446286
4,L2,3.471247,3.617957,-52.648845,3.332845,0.000000,41.712019,204.151804,-48.341399,0.600000,-65.725935,-65.815457
5,L3,3.471247,3.669650,-53.963833,3.457482,0.000000,43.795538,204.611407,-48.169757,0.000000,-95.785229,-96.031116
6,L4,3.471247,3.306919,-52.507433,1.079085,0.000000,41.339494,208.519018,-47.901583,1.000000,-47.901583,-47.901583
7,L5,3.471247,3.287745,-52.373244,2.189475,0.000000,41.585446,205.300255,-47.438584,1.000000,-47.438584,-47.438584
8,Mi1,3.471247,3.642193,-53.955636,3.432704,0.000000,42.947854,191.571685,-47.105988,0.000000,-83.680165,-83.871475
9,Tm3,3.471247,3.635318,-52.662105,3.502120,0.000000,42.640796,190.406098,-48.158349,0.000000,-86.571054,-86.787184
10,Mi4,3.471247,0.737690,-49.394572,3.373501,0.000000,43.383556,193.264229,-47.342205,0.000000,-84.500874,-84.700183
11,Mi9,3.471247,0.737690,-49.392648,3.346336,0.000000,43.685610,192.911455,-47.312716,0.000000,-93.977648,-94.242722
12,T4a,3.471247,1.613068,-50.637690,1.024625,0.000000,38.793669,202.340473,-49.362310,0.000000,-98.460114,-98.721926
13,T4b,3.471247,3.706386,-53.952509,0.991976,0.000000,40.250130,208.949793,-45.841243,0.000000,-91.439330,-91.679611
14,T4c,3.471247,3.708238,-52.679412,0.994226,0.000000,41.188917,207.200114,-46.835111,0.000000,-93.421156,-93.666999
15,T4d,3.471247,3.689959,-52.660318,1.008637,0.000000,40.243200,208.562379,-47.046872,0.000000,-93.844930,-94.090805
16,Tm1,3.471247,3.249156,-52.297850,3.359877,0.000000,43.624964,201.243768,-48.609540,0.000000,-96.865405,-97.160620
