idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.953264,0.000000,2.574172,1.944194,-5.382653,-100.000000,10.000000,236.738386,0.000000,16.765791,16.788266,21.003624,4.215358
1,R7,1.041881,0.000000,2.574172,3.257216,-21.517682,-100.000000,10.000000,236.738386,0.000000,-2.711858,-2.654945,2.110179,4.765124
2,R8,0.964024,0.000000,2.574172,2.153170,-16.439196,-100.000000,10.000000,236.738386,0.000000,-5.694663,-5.688996,-1.375839,4.313156
3,L1,2.000000,0.000000,2.574172,1.238875,-3.719600,-100.000000,10.000000,236.738386,0.945261,-16.980346,-17.070101,-24.771641,-7.701540
4,L2,2.000000,0.000000,2.574172,3.046161,0.207790,-100.000000,10.000000,236.738386,0.901684,-26.125350,-26.286903,-34.614267,-8.327363
5,L3,0.500000,0.000000,2.574172,1.780755,4.534105,-100.000000,10.000000,236.738386,0.000000,-7.778443,-7.982987,-8.883114,-0.900126
6,L4,1.251843,0.000000,2.574172,0.898622,-1.616995,-100.000000,10.000000,236.738386,0.570115,22.013115,21.873850,15.053382,-6.820469
7,L5,0.955256,0.000000,2.574172,0.604819,1.552334,-100.000000,10.000000,236.738386,0.008858,-36.197827,-36.223733,-32.412800,3.810933
8,Mi1,1.402391,0.000000,2.574172,1.956859,2.824196,-100.000000,10.000000,236.738386,0.000000,-31.135794,-31.208449,-25.930645,5.277803
9,Tm3,0.602166,0.000000,2.574172,4.714627,4.990973,-100.000000,10.000000,236.738386,0.000000,-24.343054,-24.377744,-19.034048,5.343696
10,Mi4,0.969908,0.000000,2.574172,2.177786,-13.278802,-100.000000,10.000000,236.738386,0.000000,-0.310213,-0.420329,1.861271,2.281600
11,Mi9,0.502827,0.000000,2.574172,3.608167,-9.505891,-100.000000,10.000000,236.738386,0.000000,-9.227328,-9.344041,-10.810711,-1.466669
12,T4a,1.028231,0.000000,2.574172,4.707371,-22.029792,-100.000000,10.000000,236.738386,0.000000,110.131165,109.598401,126.921862,17.323460
13,T4b,1.008817,0.000000,2.574172,4.165197,-9.391888,-100.000000,10.000000,236.738386,0.000000,144.001324,143.401037,159.207844,15.806807
14,T4c,0.968746,0.000000,2.574172,1.702872,1.709502,-100.000000,10.000000,236.738386,0.000000,-4.336531,-4.249026,-0.959726,3.289300
15,T4d,1.009466,0.000000,2.574172,8.802599,-1.121650,-100.000000,10.000000,236.738386,0.000000,290.614962,293.244428,316.666745,23.422317
16,Tm1,0.542856,0.000000,2.574172,0.685963,-0.685002,-100.000000,10.000000,236.738386,0.000000,1.043657,0.726513,-1.935747,-2.662260
17,Tm2,0.582213,0.000000,2.574172,1.610749,2.150362,-100.000000,10.000000,236.738386,0.000000,-5.763370,-5.729755,-8.320928,-2.591172
18,Tm4,0.521967,0.000000,2.574172,2.555724,-5.007324,-100.000000,10.000000,236.738386,0.000000,7.467155,7.252670,2.924443,-4.328227
19,Tm9,0.500000,0.000000,2.574172,2.084724,-2.728912,-100.000000,10.000000,236.738386,0.000000,-0.372897,-0.603591,-2.176066,-1.572475
20,T5a,0.977986,0.000000,2.574172,0.874865,-0.246696,-100.000000,10.000000,236.738386,0.000000,22.392762,22.511230,22.341758,-0.169472
21,T5b,0.991742,0.000000,2.574172,9.333607,12.339744,-100.000000,10.000000,236.738386,0.000000,228.767761,229.237183,225.907389,-3.329794
22,T5c,1.001661,0.000000,2.574172,5.348388,7.315948,-100.000000,10.000000,236.738386,0.000000,7.536092,7.444806,6.934224,-0.510582
23,T5d,1.035805,0.000000,2.574172,7.065200,7.337362,-100.000000,10.000000,236.738386,0.000000,16.238126,16.257129,16.171485,-0.085645
24,T1,1.023170,0.000000,2.574172,1.449290,0.047217,-100.000000,10.000000,236.738386,0.000000,-13.242432,-13.408755,-14.597753,-1.188998
25,T2,1.045392,0.000000,2.574172,3.575880,2.126096,-100.000000,10.000000,236.738386,0.000000,-6.100186,-5.984664,-10.311430,-4.326766
26,T2a,0.976961,0.000000,2.574172,1.340333,-2.786535,-100.000000,10.000000,236.738386,0.000000,74.737308,74.416464,79.747468,5.331003
27,T3,0.982105,0.000000,2.574172,0.100000,-1.004226,-100.000000,10.000000,236.738386,0.000000,-4.637122,-4.729304,-5.276417,-0.547114
28,C2,1.039787,0.000000,2.574172,1.115380,-3.375777,-100.000000,10.000000,236.738386,0.000000,-53.851119,-53.856161,-49.016214,4.839946
29,C3,0.990519,0.000000,2.574172,0.838673,-0.281369,-100.000000,10.000000,236.738386,0.000000,24.088687,23.972682,25.443866,1.471184
30,Lawf1,0.979928,0.000000,2.574172,2.176216,-9.481895,-100.000000,10.000000,236.738386,0.000000,8.548391,8.476521,12.708173,4.231652
31,Lawf2,0.999465,0.000000,2.574172,3.291791,-2.720435,-100.000000,10.000000,236.738386,0.000000,-26.132811,-27.735775,-31.513245,-3.777469
32,Dm3v,1.041878,0.000000,2.574172,3.147068,-8.671104,-100.000000,10.000000,236.738386,0.000000,-2.313651,-2.578348,-4.289905,-1.711557
33,Lai,1.003613,0.000000,2.574172,9.577253,0.817892,-100.000000,10.000000,236.738386,0.000000,-424.778388,-432.885411,-462.218349,-29.332939
34,Mi10,0.971190,0.000000,2.574172,2.139200,1.774495,-100.000000,10.000000,236.738386,0.000000,-57.632426,-57.315716,-56.216426,1.099290
35,Mi13,0.970769,0.000000,2.574172,1.213454,-0.463799,-100.000000,10.000000,236.738386,0.000000,8.901212,8.726030,9.136860,0.410830
36,Mi14,0.978756,0.000000,2.574172,2.151747,-5.538371,-100.000000,10.000000,236.738386,0.000000,134.103000,133.694345,133.523176,-0.171169
37,Mi15,0.988357,0.000000,2.574172,5.296712,1.670510,-100.000000,10.000000,236.738386,0.000000,-64.377779,-64.353112,-62.122797,2.230315
38,Mi2,0.964697,0.000000,2.574172,3.287896,-8.370711,-100.000000,10.000000,236.738386,0.000000,63.603008,63.240513,69.066184,5.825671
39,Tm16,1.021595,0.000000,2.574172,4.085109,1.859701,-100.000000,10.000000,236.738386,0.000000,-87.481450,-87.344667,-88.843816,-1.499149
40,Tm20,0.998144,0.000000,2.574172,2.506121,-5.099712,-100.000000,10.000000,236.738386,0.000000,-56.350683,-56.684414,-59.101021,-2.416607
41,Tm21,1.025613,0.000000,2.574172,3.269945,-7.688384,-100.000000,10.000000,236.738386,0.000000,2.599351,3.737201,12.096381,8.359180
42,Tm27,0.975325,0.000000,2.574172,0.868794,-3.401534,-100.000000,10.000000,236.738386,0.000000,-13.766755,-13.835077,-13.084275,0.750802
43,Tm5a,1.021305,0.000000,2.574172,6.957734,1.739692,-100.000000,10.000000,236.738386,0.000000,-55.091844,-55.719548,-61.612862,-5.893313
44,Tm5b,0.991431,0.000000,2.574172,1.883752,0.042854,-100.000000,10.000000,236.738386,0.000000,10.865952,10.843777,9.492753,-1.351024
45,Tm5c,0.975695,0.000000,2.574172,3.718443,-1.558180,-100.000000,10.000000,236.738386,0.000000,-12.520378,-12.649492,-13.855403,-1.205911
46,Tm5f,0.977885,0.000000,2.574172,2.138699,-1.896868,-100.000000,10.000000,236.738386,0.000000,87.816277,86.287390,81.521829,-4.765561
47,TmY10,0.988434,0.000000,2.574172,3.177185,-17.505436,-100.000000,10.000000,236.738386,0.000000,-78.470745,-78.483199,-81.799576,-3.316378
48,TmY11,0.984761,0.000000,2.574172,5.357588,4.280733,-100.000000,10.000000,236.738386,0.000000,-243.260032,-242.846363,-243.329592,-0.483229
49,TmY14,1.046362,0.000000,2.574172,1.584133,-5.287353,-100.000000,10.000000,236.738386,0.000000,451.487910,451.700455,475.004891,23.304436
50,TmY15,0.988139,0.000000,2.574172,1.753486,-2.984685,-100.000000,10.000000,236.738386,0.000000,173.393676,172.687113,181.103942,8.416828
51,TmY3,0.981044,0.000000,2.574172,6.052604,3.902446,-100.000000,10.000000,236.738386,0.000000,-31.489915,-30.952314,-39.986941,-9.034627
52,TmY4,0.968212,0.000000,2.574172,3.359089,4.456662,-100.000000,10.000000,236.738386,0.000000,37.068752,37.500382,38.903181,1.402798
53,TmY5a,0.958522,0.000000,2.574172,1.733365,-9.819438,-100.000000,10.000000,236.738386,0.000000,184.297398,183.521284,195.326671,11.805387
54,TmY9q,0.979127,0.000000,2.574172,0.103315,-1.391169,-100.000000,10.000000,236.738386,0.000000,13.511941,13.377350,12.890463,-0.486888
55,TmY9q__perp,0.966324,0.000000,2.574172,3.224617,-13.485920,-100.000000,10.000000,236.738386,0.000000,63.211478,62.598559,60.735656,-1.862903
