idx,ctype,in_gain,out_gain,out_scale,tau_m,tau_hp,bias,hp_gain
0,C2,1.000000,3.942586,1.025097,70.244486,221.762560,1.966129,2.908077
1,C3,1.000000,0.100000,0.979760,55.475846,194.505866,-1.081545,0.214787
2,L1,1.000000,2.157094,5.445347,47.341197,204.015835,1.992418,3.164987
3,L2,1.000000,1.897986,5.880782,61.273501,181.924005,1.482948,4.404323
4,L3,1.000000,1.968243,7.745990,66.097822,195.799141,2.000000,3.257542
5,L4,1.000000,1.948267,5.667237,39.582859,198.194122,0.850867,5.000000
6,L5,1.000000,4.168726,1.241063,38.184056,189.211644,-0.136395,2.395893
7,Mi1,1.000000,2.956601,2.629424,48.153433,206.547650,0.182926,2.066596
8,Mi4,1.000000,2.073186,3.209318,64.226517,207.741574,-1.098014,3.176664
9,Mi9,1.000000,4.019824,3.056637,67.941948,211.031021,0.079574,3.408247
10,R1-6,1.000000,3.057346,1.036032,50.702160,181.712523,-0.198377,3.087865
11,R7,1.000000,10.613729,1.030568,62.478940,185.481054,-0.450031,4.986431
12,R8,1.000000,8.480777,1.007100,46.618714,193.186233,-0.809969,4.942277
13,T1,1.000000,0.307385,1.015692,54.674211,193.462883,0.005110,0.912350
14,T2,1.000000,0.100000,0.993801,52.114392,195.225329,-1.232544,0.714672
15,T2a,1.000000,0.871395,1.037972,50.361492,195.967380,-1.960149,0.959496
16,T3,1.000000,1.350652,1.014396,45.722437,194.485486,-1.936239,0.938026
17,T4a,1.000000,5.148072,0.977577,55.488907,205.487339,0.869199,4.136565
18,T4b,1.000000,4.862750,0.980336,51.975847,212.255485,1.964854,2.896694
19,T4c,1.000000,3.260848,0.965003,58.173117,217.862182,0.700127,3.585492
20,T4d,1.000000,7.152598,0.953652,56.108193,212.901642,0.315776,1.796678
21,T5a,1.000000,0.779644,0.962358,45.800365,205.500858,-0.787010,0.200106
22,T5b,1.000000,0.753021,1.041637,46.841095,198.581861,-0.530692,0.901458
23,T5c,1.000000,10.551487,1.034294,41.101947,192.509799,2.000000,4.428631
24,T5d,1.000000,3.035782,0.965509,52.851433,195.069254,-2.000000,0.000000
25,Tm1,1.000000,2.385705,1.992676,52.760111,205.804094,0.042956,1.901881
26,Tm2,1.000000,4.050288,0.832568,60.870963,207.303947,0.057805,2.546782
27,Tm20,1.000000,9.164851,1.028954,62.702916,207.992163,1.925876,0.579419
28,Tm21,1.000000,0.537911,1.045627,52.800986,194.335159,-1.643847,0.495202
29,Tm3,1.000000,4.481166,9.744364,62.959144,222.359421,2.000000,1.476687
30,Tm4,1.000000,4.171662,3.200459,34.089182,203.192738,1.756877,3.116819
31,Tm9,1.000000,1.049573,5.062301,67.692914,207.501481,-1.805985,5.000000
