idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,3.694464,-10.194521,1.028867,0.432710,31.301545,213.193246,0.000000,0.500000
1,R7,1.000000,8.086669,-9.891172,0.962710,-0.355135,73.010411,199.258169,0.000000,0.500000
2,R8,1.000000,4.004639,-9.727593,0.966486,0.367303,24.038932,216.660638,0.000000,0.500000
3,L1,1.000000,5.240871,2.467020,2.929440,3.352302,27.016125,205.096810,0.000000,0.500000
4,L2,1.000000,10.000000,0.138563,5.114304,8.104719,31.352923,223.186466,0.000000,0.500000
5,L3,1.000000,2.261531,1.920902,0.250784,-1.511396,75.451086,192.084505,0.000000,0.500000
6,L4,1.000000,0.489354,0.067715,0.100000,0.222472,34.083800,230.779768,0.000000,0.500000
7,L5,1.000000,6.724723,1.698143,1.108563,-3.170051,27.017778,213.610500,0.000000,0.500000
8,Mi1,1.000000,3.567862,0.904328,0.673576,-1.170629,23.522559,209.658057,0.000000,0.500000
9,Tm3,1.000000,5.797831,0.343150,0.337076,-1.756352,21.831957,212.004527,0.000000,0.500000
10,Mi4,1.000000,6.988305,0.235921,0.232208,0.214834,66.310651,184.233515,0.000000,0.500000
11,Mi9,1.000000,4.731708,2.651948,0.581741,-0.430657,73.494185,204.929576,0.000000,0.500000
12,T4a,1.000000,2.691300,1.102263,0.968332,0.201673,33.155910,207.840723,0.000000,0.500000
13,T4b,1.000000,4.659092,1.562216,0.982727,-0.413907,25.702483,196.340474,0.000000,0.500000
14,T4c,1.000000,10.000000,-3.338289,1.019333,-0.131334,32.887603,216.250769,0.000000,0.500000
15,T4d,1.000000,9.660050,1.476678,0.953156,-0.214132,31.799271,208.898910,0.000000,0.500000
16,Tm1,1.000000,0.899995,4.136687,0.650091,1.207035,28.242865,222.675793,0.000000,0.500000
17,Tm2,1.000000,1.606340,0.316854,0.585382,0.707068,38.936589,215.645989,0.000000,0.500000
18,Tm4,1.000000,0.898574,-6.154284,0.173816,0.797736,26.859735,211.728656,0.000000,0.500000
19,Tm9,1.000000,2.823005,2.352595,0.417283,0.853055,74.985116,217.537061,0.000000,0.500000
