cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.984300,20.113684,0.968918,0.996568,0.153372,-50.000000,9.116686,200.320801,0.000000,20.047323,20.113684,22.292604,2.178921
1,R7,1.013258,18.479200,0.968918,1.013308,0.118917,-50.000000,9.259505,195.256546,0.000000,18.425604,18.479200,20.607437,2.128237
2,R8,0.988705,19.634335,0.968918,0.985664,0.216461,-50.000000,10.870573,208.312042,0.000000,19.577911,19.634335,21.726458,2.092123
3,L1,0.997301,-11.894007,0.968918,1.036145,-0.033786,-50.000000,10.015406,205.474121,-0.007926,-11.787388,-11.894007,-12.398523,-0.504517
4,L2,0.962524,-18.898561,0.968918,1.018770,0.499169,-50.000000,10.544704,208.932724,0.030172,-18.762823,-18.898561,-19.504738,-0.606176
5,L3,0.989163,-8.240625,0.968918,0.978245,-0.322456,-50.000000,9.932628,205.701065,0.000000,-8.181431,-8.240625,-8.515946,-0.275321
6,L4,1.015298,0.355161,0.968918,0.961391,0.066588,-50.000000,10.445317,193.373016,0.019952,0.363225,0.355161,0.337082,-0.018078
7,L5,1.049359,-2.006679,0.968918,0.954687,-0.198678,-50.000000,9.318779,202.020325,0.036062,-2.011400,-2.006679,-1.981955,0.024723
8,Mi1,0.990313,-3.075102,0.968918,0.972743,0.493650,-50.000000,9.748956,197.335098,0.000000,-3.106463,-3.075102,-3.011699,0.063403
9,Tm3,1.038840,1.842812,0.968918,1.000914,0.072705,-50.000000,9.919186,199.884293,0.000000,1.804575,1.842812,1.916813,0.074001
10,Mi4,0.950500,1.047984,0.968918,0.975592,-0.453624,-50.000000,10.081335,199.146179,0.000000,1.051950,1.047984,1.003490,-0.044494
11,Mi9,1.025159,2.336813,0.968918,0.981341,-0.094129,-50.000000,9.865707,208.036697,0.000000,2.352219,2.336813,2.293913,-0.042901
12,T4a,1.001818,2.600238,0.968918,0.992205,0.317303,-50.000000,10.432641,196.697281,0.000000,2.591706,2.600238,2.611284,0.011046
13,T4b,1.035436,2.394312,0.968918,1.008896,0.461306,-50.000000,9.584753,205.228592,0.000000,2.386626,2.394312,2.403909,0.009598
14,T4c,0.973780,2.326227,0.968918,1.029740,0.050375,-50.000000,9.803686,208.958572,0.000000,2.317305,2.326227,2.336757,0.010529
15,T4d,1.007553,2.012599,0.968918,1.043780,0.055884,-50.000000,10.463778,194.934982,0.000000,2.005161,2.012599,2.021822,0.009223
16,Tm1,0.996707,4.312841,0.968918,0.956987,0.387833,-50.000000,9.603360,194.373535,0.000000,4.410294,4.312841,4.116648,-0.196193
17,Tm2,1.017648,5.086334,0.968918,0.991795,-0.263250,-50.000000,9.212000,192.950424,0.000000,5.151465,5.086334,4.944016,-0.142318
18,Tm4,1.010987,2.115278,0.968918,0.982534,-0.191435,-50.000000,9.189840,200.939651,0.000000,2.162199,2.115278,2.021350,-0.093928
19,Tm9,1.028837,0.460508,0.968918,1.016622,0.096227,-50.000000,9.183781,205.725616,0.000000,0.466494,0.460508,0.448738,-0.011770
20,T5a,1.049520,4.135368,0.968918,1.023368,0.007085,-50.000000,9.392002,206.422806,0.000000,4.127763,4.135368,4.130473,-0.004896
21,T5b,0.986439,3.320563,0.968918,0.981675,-0.415422,-50.000000,10.502668,209.743851,0.000000,3.313711,3.320563,3.317316,-0.003247
22,T5c,1.047564,3.929687,0.968918,1.043486,-0.326014,-50.000000,9.259339,202.216751,0.000000,3.921400,3.929687,3.925119,-0.004568
23,T5d,1.014297,3.310538,0.968918,0.973462,-0.170600,-50.000000,10.623278,192.661652,0.000000,3.305168,3.310538,3.306130,-0.004408
24,T1,1.023348,-0.273428,0.968918,1.010048,0.160468,-50.000000,10.654226,195.945786,0.000000,-0.197375,-0.273428,-0.437516,-0.164088
25,T2,1.047068,6.694284,0.968918,1.035109,-0.426676,-50.000000,9.018981,199.148270,0.000000,6.671731,6.694284,6.701022,0.006738
26,T2a,1.006923,5.208277,0.968918,0.971994,-0.468805,-50.000000,9.525401,206.001495,0.000000,5.198313,5.208277,5.204729,-0.003548
27,T3,1.015586,7.659424,0.968918,1.023302,-0.035039,-50.000000,10.880201,196.204208,0.000000,7.642808,7.659424,7.662908,0.003484
28,C2,1.043486,0.591083,0.968918,0.960416,0.169470,-50.000000,10.801131,190.516922,0.000000,0.573628,0.591083,0.629745,0.038661
29,C3,1.046603,-1.251939,0.968918,0.969870,-0.232133,-50.000000,9.230353,195.887192,0.000000,-1.282417,-1.251939,-1.183497,0.068442
30,Lawf1,0.985176,8.299868,0.968918,0.986410,0.457349,-50.000000,9.246641,205.412552,0.000000,8.280792,8.299868,8.309225,0.009357
31,Lawf2,1.037497,1.480542,0.968918,1.023351,-0.008636,-50.000000,10.471861,205.240372,0.000000,1.478267,1.480542,1.477224,-0.003318
32,Dm3v,1.026912,2.520888,0.968918,1.049609,-0.201994,-50.000000,9.699010,194.443237,0.000000,2.519319,2.520888,2.511304,-0.009584
33,Lai,0.996713,-20.805773,0.968918,0.991569,0.256447,-50.000000,9.762385,193.461380,0.000000,-20.622305,-20.805773,-21.716135,-0.910362
34,Mi10,0.959414,-1.804321,0.968918,1.046500,-0.020265,-50.000000,9.287238,199.308670,0.000000,-1.797776,-1.804321,-1.806716,-0.002396
