root_id,idx,is_LC,is_central,is_DN,is_motor,flow_type,super_class,laterality
720575940646764579,7,False,False,True,False,efferent,descending,right
720575940632903737,10,False,False,True,False,efferent,descending,left
720575940630839371,14,False,False,True,False,efferent,descending,right
720575940636606554,15,False,False,True,False,efferent,descending,right
720575940630610042,23,False,False,True,False,efferent,descending,left
720575940620714150,36,False,False,True,False,efferent,descending,left
720575940632412333,37,False,False,True,False,efferent,descending,left
720575940625006776,39,False,False,True,False,efferent,descending,left
720575940621304004,42,False,False,True,False,efferent,descending,left
720575940613636325,49,False,False,True,False,efferent,descending,right
720575940625596647,50,False,False,True,False,efferent,descending,right
720575940628971779,55,False,False,True,False,efferent,descending,right
720575940621336852,58,False,False,True,False,efferent,descending,left
720575940629725545,69,False,False,True,False,efferent,descending,right
720575940622352764,71,False,False,True,False,efferent,descending,right
720575940622123400,72,False,False,True,False,efferent,descending,right
720575940617568697,82,False,False,True,False,efferent,descending,right
720575940609376707,86,False,False,True,False,efferent,descending,left
720575940627595772,97,False,False,True,False,efferent,descending,left
720575940644438551,105,False,False,True,False,efferent,descending,left
720575940631855663,110,False,False,True,False,efferent,descending,left
720575940639425112,119,False,False,True,False,efferent,descending,left
720575940621107847,127,False,False,True,False,efferent,descending,left
720575940624319124,129,False,False,True,False,efferent,descending,right
720575940622910188,137,False,False,True,False,efferent,descending,left
720575940626187014,143,False,False,True,False,efferent,descending,right
720575940627366675,147,False,False,True,False,efferent,descending,unknown
720575940631593753,148,False,False,True,False,efferent,descending,right
720575940619928346,149,False,False,True,False,efferent,descending,right
720575940621599604,160,False,False,True,False,efferent,descending,left
720575940621566844,162,False,False,True,False,efferent,descending,right
720575940626088835,163,False,False,True,False,efferent,descending,right
720575940621304723,165,False,False,True,False,efferent,descending,left
720575940618519454,167,False,False,True,False,efferent,descending,right
720575940620878785,171,False,False,True,False,efferent,descending,left
720575940623467527,189,False,False,True,False,efferent,descending,right
720575940631168057,197,False,False,True,False,efferent,descending,right
720575940621534273,198,False,False,True,False,efferent,descending,right
720575940622550089,199,False,False,True,False,efferent,descending,left
720575940630119532,206,False,False,True,False,efferent,descending,left
720575940633953434,216,False,False,True,False,efferent,descending,left
720575940631987364,221,False,False,True,False,efferent,descending,left
720575940607378633,226,False,False,True,False,efferent,descending,right
720575940627432680,230,False,False,True,False,efferent,descending,left
720575940627924227,235,False,False,True,False,efferent,descending,right
720575940627825923,236,False,False,True,False,efferent,descending,right
720575940620354836,237,False,False,True,False,efferent,descending,left
720575940626580794,244,False,False,True,False,efferent,descending,left
720575940629792060,245,False,False,True,False,efferent,descending,right
720575940634903915,247,False,False,True,False,efferent,descending,left
720575940645258606,248,False,False,True,False,efferent,descending,right
720575940606756309,268,False,False,True,False,efferent,descending,right
720575940622321110,269,False,False,True,False,efferent,descending,left
720575940630480348,270,False,False,True,False,efferent,descending,left
720575940623992300,273,False,False,True,False,efferent,descending,left
720575940611474925,274,False,False,True,False,efferent,descending,left
720575940630382075,277,False,False,True,False,efferent,descending,right
720575940615505406,278,False,False,True,False,efferent,descending,left
720575940627629598,287,False,False,True,False,efferent,descending,right
720575940617373268,295,False,False,True,False,efferent,descending,left
720575940614587990,296,False,False,True,False,efferent,descending,left
720575940615898730,299,False,False,True,False,efferent,descending,left
720575940622386824,303,False,False,True,False,efferent,descending,left
720575940632512156,309,False,False,True,False,efferent,descending,left
720575940604954289,312,False,False,True,False,efferent,descending,right
720575940620322497,317,False,False,True,False,efferent,descending,right
720575940653614838,323,False,False,True,False,efferent,descending,right
720575940622681864,329,False,False,True,False,efferent,descending,right
720575940631299855,330,False,False,True,False,efferent,descending,left
720575940631627551,334,False,False,True,False,efferent,descending,right
720575940613408552,335,False,False,True,False,efferent,descending,right
720575940624877360,337,False,False,True,False,efferent,descending,right
720575940630054735,344,False,False,True,False,efferent,descending,right
720575940635166571,345,False,False,True,False,efferent,descending,left
720575940626319235,348,False,False,True,False,efferent,descending,left
720575940625467280,351,False,False,True,False,efferent,descending,left
720575940622944196,358,False,False,True,False,efferent,descending,right
720575940614129617,361,False,False,True,False,efferent,descending,left
720575940622878719,371,False,False,True,False,efferent,descending,left
720575940630808591,372,False,False,True,False,efferent,descending,left
720575940631889965,376,False,False,True,False,efferent,descending,left
720575940627826760,378,False,False,True,False,efferent,descending,left
720575940629170250,379,False,False,True,False,efferent,descending,left
720575940628252751,382,False,False,True,False,efferent,descending,right
