idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,v_mid_h_g,h_slope,v_mid_h_tau,v_pre,v_onset
0,R1-6,2.102977,1.895835,-50.000000,-50.000000,1.036532,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-30.991060,-30.977922
1,R7,2.102977,1.836633,-50.000000,-50.000000,0.952559,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-31.044666,-31.010754
2,R8,2.102977,0.988473,-50.000000,-50.000000,1.002459,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-47.550409,-47.715797
3,L1,2.102977,1.874307,-50.000000,-20.000000,0.473827,0.000000,1.000000,-44.951353,-0.248578,-40.000000,-36.936150,-37.032923
4,L2,2.102977,1.824054,-50.000000,-20.000000,0.443931,0.000000,1.000000,-44.951353,-0.248578,-40.000000,-35.401875,-36.105809
5,L3,2.102977,4.957568,-50.000000,-50.000000,1.456419,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-63.977933,-64.416947
6,L4,2.102977,0.248677,-50.000000,-50.000000,0.238963,0.000000,1.000000,-44.951353,-0.248578,-40.000000,-17.359045,-17.781582
7,L5,2.102977,1.711275,-50.000000,-50.000000,1.233427,0.000000,0.231762,-44.951353,-0.248578,-40.000000,-39.335553,-38.323353
8,Mi1,2.102977,0.909538,-50.000000,-50.000000,1.377879,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-31.079274,-28.366743
9,Tm3,2.102977,1.313159,-50.000000,-50.000000,0.867490,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-40.816605,-36.409094
10,Mi4,2.102977,0.978711,-50.000000,-50.000000,1.037336,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-34.681471,-31.755767
11,Mi9,2.102977,2.459598,-50.000000,-50.000000,0.471008,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-22.214707,-23.026445
12,T4a,2.102977,1.206934,-50.000000,-50.000000,0.966008,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-44.697688,-34.759987
13,T4b,2.102977,0.690919,-50.000000,-50.000000,1.031344,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-55.770763,-54.656726
14,T4c,2.102977,0.861485,-50.000000,-50.000000,1.002921,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-36.498847,-35.484003
15,T4d,2.102977,9.574401,-50.000000,-50.000000,0.984692,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-51.720383,-51.546406
16,Tm1,2.102977,0.231706,-50.000000,-50.000000,0.942141,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-18.791513,-20.995367
17,Tm2,2.102977,0.434435,-50.000000,-50.000000,0.459848,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-14.164549,-14.295241
18,Tm4,2.102977,0.869651,-50.000000,-50.000000,0.303717,0.000000,0.000000,-44.951353,-0.248578,-40.000000,-14.399404,-16.693686
