trace_id,step_ms,speed_dps,direction_deg,time_ms,vm_mv
step160_dir315,160,14,315,0.0,0.0
step160_dir315,160,14,315,12.195121951219512,0.0
step160_dir315,160,14,315,24.390243902439025,0.0
step160_dir315,160,14,315,36.58536585365854,0.04098360655737705
step160_dir315,160,14,315,48.78048780487805,0.0819672131147541
step160_dir315,160,14,315,60.97560975609756,0.1639344262295082
step160_dir315,160,14,315,73.17073170731707,0.1639344262295082
step160_dir315,160,14,315,85.36585365853658,0.1639344262295082
step160_dir315,160,14,315,97.5609756097561,0.1639344262295082
step160_dir315,160,14,315,109.7560975609756,0.12295081967213116
step160_dir315,160,14,315,121.95121951219512,0.0819672131147541
step160_dir315,160,14,315,134.14634146341461,0.04098360655737705
step160_dir315,160,14,315,146.34146341463415,0.04098360655737705
step160_dir315,160,14,315,158.53658536585365,0.04098360655737705
step160_dir315,160,14,315,170.73170731707316,0.04098360655737705
step160_dir315,160,14,315,182.92682926829266,0.04098360655737705
step160_dir315,160,14,315,195.1219512195122,0.04098360655737705
step160_dir315,160,14,315,207.3170731707317,0.0819672131147541
step160_dir315,160,14,315,219.5121951219512,0.12295081967213116
step160_dir315,160,14,315,231.7073170731707,0.20491803278688525
step160_dir315,160,14,315,243.90243902439025,0.2459016393442623
step160_dir315,160,14,315,256.0975609756097,0.4098360655737705
step160_dir315,160,14,315,268.29268292682923,0.5327868852459017
step160_dir315,160,14,315,280.4878048780488,0.6557377049180328
step160_dir315,160,14,315,292.6829268292683,0.8196721311475411
step160_dir315,160,14,315,304.8780487804878,0.9836065573770493
step160_dir315,160,14,315,317.0731707317073,1.0655737704918034
step160_dir315,160,14,315,329.2682926829268,1.0655737704918034
step160_dir315,160,14,315,341.4634146341463,1.0655737704918034
step160_dir315,160,14,315,353.6585365853658,1.0245901639344264
step160_dir315,160,14,315,365.8536585365853,0.9426229508196722
step160_dir315,160,14,315,378.0487804878049,0.9426229508196722
step160_dir315,160,14,315,390.2439024390244,0.9426229508196722
step160_dir315,160,14,315,402.4390243902439,0.9426229508196722
step160_dir315,160,14,315,414.6341463414634,0.9836065573770493
step160_dir315,160,14,315,426.8292682926829,1.0245901639344264
step160_dir315,160,14,315,439.0243902439024,1.0245901639344264
step160_dir315,160,14,315,451.2195121951219,1.0245901639344264
step160_dir315,160,14,315,463.4146341463414,0.9016393442622952
step160_dir315,160,14,315,475.60975609756093,0.8196721311475411
step160_dir315,160,14,315,487.8048780487805,0.7377049180327869
