idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
30,Lawf1,0.992047,0.000000,1.360260,0.557676,-33.100173,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-44.409279,-43.994909
31,Lawf2,1.037938,0.000000,1.360260,2.766545,-39.665362,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-18.372972,-18.239650
32,Dm3v,1.039367,0.000000,1.360260,3.991091,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-28.943796,-28.871682
33,Lai,0.981344,0.000000,1.360260,0.571959,-31.591836,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-50.360835,-50.398848
34,Mi10,1.001929,0.000000,1.360260,0.787052,-47.361749,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-66.731386,-66.605694
35,Mi13,0.961664,0.000000,1.360260,0.663061,-34.811985,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-29.484314,-29.516945
36,Mi14,0.967499,0.000000,1.360260,3.204497,-23.618352,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,0.678809,0.844350
37,Mi15,0.976346,0.000000,1.360260,0.370662,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-52.752571,-52.410104
38,Mi2,0.953701,0.000000,1.360260,3.650492,-20.192422,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-9.674544,-9.602418
39,Tm16,1.009692,0.000000,1.360260,10.000000,-44.508771,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-58.374909,-58.608570
40,Tm20,1.037305,0.000000,1.360260,1.303775,-48.227882,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-27.179895,-27.696868
41,Tm21,1.003566,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-31.138894,-30.497026
42,Tm27,0.988470,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-40.997552,-40.781291
43,Tm5a,1.011035,0.000000,1.360260,3.055709,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-56.707520,-56.918845
44,Tm5b,1.014129,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-58.502173,-58.450322
45,Tm5c,1.027290,0.000000,1.360260,0.642113,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-44.115644,-44.320168
46,Tm5f,0.968364,0.000000,1.360260,0.140022,-47.224750,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-16.625492,-17.069755
47,TmY10,1.025383,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-52.385213,-52.698037
48,TmY11,0.997729,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-67.567762,-67.525571
49,TmY14,1.038463,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-7.055824,-6.944945
50,TmY15,1.011974,0.000000,1.360260,0.474737,-40.702327,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,2.246432,2.481117
51,TmY3,1.028702,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-23.218749,-21.899157
52,TmY4,1.008379,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-54.789819,-54.554335
53,TmY5a,0.975880,0.000000,1.360260,0.363648,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-5.876839,-5.599130
54,TmY9q,1.002385,0.000000,1.360260,0.100000,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-37.083143,-37.052736
55,TmY9q__perp,1.009107,0.000000,1.360260,3.387557,-50.000000,-50.000000,0.000000,-39.938076,-40.000000,-0.204092,-23.526433,-23.167328
