,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,1.035001,1.698802,1.164542,0.100000,0.100000,1.016659,0.913126,0.606646,2.482837,,10.200226,0.100000,3.611114,0.850290,1.753629,1.121510,3.672812,,,,,,,,,1.701035,,,,,,1.834791
C3,0.964513,,0.100000,0.891078,2.382385,0.100000,0.935342,0.100000,2.350123,0.926872,1.540365,,,1.952341,0.310306,5.068879,1.116239,1.041713,4.991948,0.100000,0.100000,,,,,1.349226,0.809939,2.579124,2.955664,2.316124,1.498250,2.041913
L1,1.542386,1.153486,0.409466,1.532208,1.672110,0.195780,1.622032,0.290798,0.100000,,4.865359,0.529684,0.632859,1.640524,0.100000,0.100000,,,,,,,,,,1.264298,1.812564,,,0.100000,,
L2,1.279369,1.591997,0.951936,1.319936,0.967576,0.149456,0.188546,0.994275,1.552720,1.153392,0.100000,,1.422365,1.228526,1.309979,1.018336,,,,,,,,,,0.100000,0.575795,1.071520,,1.789967,0.100000,
L3,0.100000,0.512738,1.813660,1.193467,,,,1.069641,0.100000,1.222361,,1.129580,0.100000,0.830892,,,,,,,,,,,,4.456743,0.100000,0.198043,0.966863,,0.163549,0.470044
L4,,1.022247,0.479267,1.971498,1.868002,1.227094,1.191412,0.209853,,2.030793,0.119784,,,,0.100000,,,,,,,,,,,0.685833,0.100000,,,,0.100980,0.229624
L5,1.805743,1.898597,1.099813,1.880018,,,1.094637,0.839045,1.000405,1.805370,,,,0.218146,0.142905,0.408073,,,,,,,,,,1.435910,0.800862,0.827756,0.100000,0.111800,0.201818,
Mi1,0.828308,1.005908,2.877218,2.266086,,,0.760730,2.081262,1.276072,1.161150,,4.354685,0.100000,0.413540,2.530824,1.482512,1.764167,0.353599,1.119436,1.129015,0.524249,,,,,0.122560,0.716291,0.100000,0.100000,1.410319,0.295715,
Mi4,0.132666,2.014089,,0.446245,0.147549,,2.312961,0.100000,0.100000,0.579894,,,,0.939889,,0.914469,,0.100000,0.100000,0.732414,2.115216,,,,,1.865339,1.090098,0.696053,,0.258681,4.230935,1.514480
Mi9,1.182989,,,,0.448585,0.127767,,2.923839,0.378989,,,,,,0.100000,2.583607,2.052218,0.159069,0.197714,0.100000,0.100000,,,,,1.714549,1.682897,0.100000,0.475139,0.100000,1.773411,0.404770
R1-6,0.100000,1.176954,2.762355,2.383989,0.665432,1.886220,,,,,0.359815,,,1.924731,,,,,,,,,,,,,,,,,,
R7,,0.100000,3.807962,,0.255664,,,1.334936,1.539893,0.656162,,,1.525890,,,,,,,,,,,,,,,1.809265,,,,
R8,0.100000,0.100000,8.608128,2.591028,2.317554,,1.911029,0.422561,1.154369,0.911147,,0.132073,0.100000,0.313969,,,,,,,,,,,,,,0.165053,0.326370,,,
T1,,,,1.241086,1.451821,,0.100000,,,1.802580,1.633756,0.387614,1.684232,,,,,,,,,,,,,0.306522,0.125184,1.991289,,,0.191622,
T2,,,,,,,3.644926,0.621214,,0.100000,,,,,1.345532,0.984236,1.023291,,,,,,,,,0.670897,8.377098,,1.808954,0.100000,0.100000,
T2a,1.964948,,,,,,,0.964890,,,,,,,2.132176,0.100000,1.716738,,,,,,,,,0.100000,,1.339554,0.990767,0.100000,1.516030,
T3,,0.100000,,,,,,,,,,,,,0.718992,1.010690,0.975687,,,,5.943199,,,,,0.434087,,,3.414383,1.554841,,
T4a,,1.426125,,,,,,,,1.212210,,,,,,,,2.379453,0.100000,2.388647,6.165079,6.862686,,,,,,,,,,
T4b,,,,,,,,0.100000,3.603509,1.136688,,,,,,,,0.219365,0.693424,,0.100000,,1.371212,,,,,,,,,
T4c,,,,,,,,,,0.686189,,,,,1.003401,,,,,0.100000,,,,3.028937,3.293997,,,,,,,
T4d,,,,,,,,0.100000,,,,,,,,,,,,0.246036,0.100000,,,,5.681972,,,,,,,
T5a,,,,,,,,,,,,,,,0.800271,,,8.131772,,,,0.298961,0.100000,,,,0.209428,,,,,
T5b,,,,,,,,,,,,,,,0.824464,,,,0.100000,,,0.471051,4.450743,,,,,,,,,
T5c,,,,,,,,,,,,,,,0.769517,,,,,2.808776,,,0.100000,0.100000,0.100000,,,,,,,
T5d,,,,,,,,,,,,,,,1.411893,,,,,1.065081,0.641823,,,,0.100000,,,,,,,
Tm1,1.004858,1.805672,,1.214236,,,1.095950,0.111027,1.850766,1.490723,,,,0.161005,0.210890,0.174667,1.209360,,,1.635092,,1.147183,6.802291,0.142756,0.100000,0.149252,0.197375,3.003278,0.689351,0.215315,0.255385,0.405017
Tm2,,1.088489,1.054612,1.227432,,,1.132914,1.698545,2.056455,1.774040,,,,0.103189,0.186698,0.113536,2.103149,0.100000,,0.547312,,0.621589,4.048434,0.100000,0.100000,0.174645,,,1.211350,1.846713,0.419483,0.107921
Tm20,,2.655735,,,,,,,0.277445,0.850697,,,,0.778971,0.496000,2.167838,,,,,,,,,,0.820575,0.226932,1.125605,1.047719,,,0.100000
Tm21,,,,,,,,0.626427,,,,,,,3.871971,0.989844,,,,,,,,,,0.100000,,,0.100000,,,
Tm3,0.100000,0.375632,0.668259,3.611138,,,,1.086801,2.204275,1.316241,,,,,0.927338,0.697656,1.674440,0.286989,1.391903,0.374601,0.100000,,4.305260,,0.100000,,,,,0.156493,0.100000,
Tm4,0.100000,1.251585,,1.859474,,,,0.568436,1.601249,,,,,0.588785,0.220201,0.234564,1.090382,,,,,0.982663,0.120380,0.100000,6.392773,0.139342,0.848290,,1.456083,0.622665,1.035498,
Tm9,,,,,0.100000,,,,1.639608,0.100000,,,,,0.919512,0.868955,,,,,,1.120222,0.100000,0.698911,0.100000,2.622790,0.110223,0.315485,1.515670,,0.289131,1.030476
