,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,1.111328,1.353350,2.740549,0.100000,,,,,0.100000,,,,,,,,,,,,,,,,,,,0.980613,0.987494,,
R7,,,6.066075,2.739532,,2.714201,,,0.100000,0.100000,8.602637,,,,,,,,,,,,,,,0.983282,,,,,,0.958952,10.000000,
R8,,0.162895,2.119343,4.068901,0.100000,3.133976,,0.100000,0.100000,0.100000,10.000000,0.100000,,,,,,,,,,,,,,0.501606,1.022247,,,,1.025834,1.023999,1.686853,1.047240
L1,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,8.121761,5.091438,2.017317,2.005187,,10.000000,10.000000,4.393430,,,,,,,,,,0.100000,0.100000,,,0.346333,,,1.582919,1.361396,,1.007311
L2,10.000000,,4.473919,5.068148,10.000000,0.100000,4.388002,0.100000,0.100000,10.000000,0.100000,1.376647,9.209734,0.952875,,,,,,,,,,1.216728,0.654761,0.100000,,0.100000,3.952612,,0.955723,0.100000,,
L3,,10.000000,6.791791,0.124040,10.000000,,,,5.138821,0.100000,1.051809,10.000000,,,,,,,,,,,,7.943642,10.000000,0.100000,0.968688,,10.000000,4.437327,0.430659,0.100000,10.000000,
L4,10.000000,,,1.593508,5.061475,0.100000,0.100000,9.858853,0.100000,,0.100000,,0.816810,,,,,,,,,,,0.100000,0.100000,,,,0.100000,4.830378,,1.017488,0.100000,0.998587
L5,,,,1.379834,2.334868,,,8.297598,4.772260,0.458763,0.263165,2.413257,10.000000,0.100000,,,,,,,,,,0.100000,0.100000,0.962123,6.651150,2.860575,0.100000,,0.530514,0.100000,0.100000,1.004084
Mi1,,0.100000,0.100000,0.100000,0.100000,,,2.381289,2.960103,3.298780,1.067084,0.100000,2.306482,1.000289,1.898959,3.449208,1.854450,4.318542,2.155092,,,,,0.100000,0.100000,0.853152,3.314825,4.979365,0.100000,,0.324129,0.100000,0.100000,0.100000
Mi4,,,,,0.100000,9.639826,,0.100000,0.100000,5.577713,0.158633,0.100000,,0.981740,,10.000000,10.000000,0.100000,0.100000,,,,,9.444965,10.000000,1.046100,,0.100000,10.000000,0.178283,0.965657,1.023760,10.000000,0.964884
Mi9,,,,,,0.100000,6.375431,,0.100000,0.109863,,,8.367175,0.986024,0.648764,4.225028,0.100000,0.100000,2.587971,,,,,0.111264,0.100000,0.968307,1.049792,0.100000,0.100000,0.100000,1.000577,,0.100000,1.030167
T1,0.100000,0.100000,7.698590,,1.704291,1.854933,,0.100000,,,0.100000,,,,,,,,,,,,,10.000000,10.000000,0.720049,,,10.000000,,,,,
T2,,,,,,,,5.678604,4.883179,,0.100000,,4.281237,0.966363,4.228954,,,,,,,,,0.100000,0.100000,,0.100000,6.421894,0.100000,,,,,0.100000
T2a,,,,,,,,,4.284345,,,,0.100000,1.097636,0.100000,,,,,,,,,1.441945,,0.969184,1.013651,9.752709,1.010292,,0.966507,,,1.014099
T3,,,,,,,,,,,,,8.492761,1.037056,0.985471,,,,0.984666,,,,,0.100000,,,0.100000,4.802937,,,,0.993093,,1.049581
T4a,,,,,,,,,,,2.971338,,,,,0.100000,1.022389,0.999358,0.966495,0.981082,,,,,,,,,,,,0.215898,,
T4b,,,,,,,,,0.170281,4.401616,4.724987,,,,,10.000000,0.100000,,1.030369,,0.879193,,,,,,,,,,,,,
T4c,,,,,,,,,,,2.974253,,1.014748,,,,,3.223802,,,,1.039902,1.015891,,,,,,,,,,,
T4d,,,,,,,,,6.221579,,,,,,,,,1.037511,3.460788,,,,0.998482,,,,,,,,,,,
T5a,,,,,,,,,,,,,9.856019,,,10.000000,,,,8.947814,0.998873,,,,3.520678,,,,,,,,,
T5b,,,,,,,,,,,,,0.828133,,,,0.964805,,,1.046369,0.973861,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,10.000000,,,,,10.000000,,,1.013328,10.000000,1.005522,,,,,,,,,,,
