,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,2.540980,1.714831,0.821211,10.000000,,,,,0.263860,,,,,,,,,,,,,,,,,,,1.029066,1.029514,,
R7,,,7.410223,4.878315,,2.775309,,,0.677935,0.100000,9.811418,,,,,,,,,,,,,,,1.031350,,,,,,1.012424,0.975619,
R8,,0.331575,0.100000,10.000000,0.100000,2.043178,,0.100000,0.100000,0.100000,10.000000,0.953888,,,,,,,,,,,,,,1.012050,1.000326,,,,0.980554,0.965364,0.100000,0.100000
L1,0.100000,0.100000,0.100000,0.100000,4.008867,5.630825,0.100000,4.613844,6.736136,0.100000,,0.965624,10.000000,1.020748,,,,,,,,,,0.100000,0.100000,,,7.343704,,,0.423432,0.492712,,10.000000
L2,10.000000,,5.997075,0.100000,2.753083,0.100000,4.725095,0.100000,0.100000,0.100000,0.100000,0.337026,0.100000,0.965398,,,,,,,,,,0.717318,0.582138,0.835322,,0.100000,2.637088,,0.983936,1.394475,,
L3,,0.100000,6.258204,0.100000,0.100000,,,,10.000000,0.100000,1.780322,1.035157,,,,,,,,,,,,0.100000,10.000000,1.005179,0.956417,,10.000000,0.100000,0.975442,0.986763,0.100000,
L4,0.978216,,,0.100000,10.000000,10.000000,0.100000,0.987770,1.040626,,0.100000,,8.913632,,,,,,,,,,,2.792751,9.832448,,,,10.000000,0.248460,,0.982536,1.004675,0.960412
L5,,,,10.000000,10.000000,,,10.000000,0.100000,0.100000,1.822656,1.018584,4.090643,1.036837,,,,,,,,,,0.100000,0.100000,0.981615,0.924602,0.100000,0.100000,,0.500055,0.472382,0.984858,4.248727
Mi1,,0.135839,10.000000,2.842897,0.100000,,,0.100000,1.541860,9.996416,0.100000,0.979033,0.100000,0.383152,0.100000,0.637427,0.562723,0.553047,0.100000,,,,,0.100000,0.100000,1.040617,0.940264,0.100000,0.100000,,0.463542,0.493410,4.141915,2.818186
Mi4,,,,,0.854191,9.315531,,0.100000,0.100000,10.000000,1.789150,1.023531,,1.020036,,1.018311,0.985046,0.970744,10.000000,,,,,9.710731,0.140866,1.014115,,4.862268,8.551222,10.000000,1.014763,1.041356,0.100000,0.100000
Mi9,,,,,,9.767100,0.100000,,10.000000,0.100000,,,0.100000,1.036081,5.781583,1.049182,1.025964,1.020526,3.221892,,,,,0.100000,9.931099,1.000236,0.953958,0.849341,2.303695,0.100000,1.023700,,3.240542,10.000000
T1,1.049339,1.003669,1.034314,,0.445291,0.258043,,1.028929,,,0.987159,,,,,,,,,,,,,0.967370,1.022530,0.997777,,,0.950008,,,,,
T2,,,,,,,,10.000000,5.764952,,0.100000,,5.557639,0.968045,10.000000,,,,,,,,,0.100000,0.100000,,1.025315,6.465098,0.100000,,,,,6.089830
T2a,,,,,,,,,0.946233,,,,1.024126,1.005651,0.982034,,,,,,,,,0.980623,,1.026578,1.014309,0.714894,0.958718,,0.979907,,,1.005621
T3,,,,,,,,,,,,,3.796415,0.995585,1.000833,,,,1.034062,,,,,10.000000,,,0.978360,0.487118,,,,1.036136,,5.109114
T4a,,,,,,,,,,,1.009234,,,,,0.957904,0.995550,0.987612,0.969288,0.955199,,,,,,,,,,,,1.031901,,
T4b,,,,,,,,,1.016845,0.979914,1.026073,,,,,0.978556,1.046410,,0.992481,,0.992248,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.820954,,0.985986,,,,,0.959137,,,,0.957841,1.012869,,,,,,,,,,,
T4d,,,,,,,,,10.000000,,,,,,,,,0.968273,10.000000,,,,1.024845,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.100000,,,0.999068,,,,0.100000,0.996378,,,,10.000000,,,,,,,,,
T5b,,,,,,,,,,,,,0.100000,,,,1.022244,,,0.975478,0.985845,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.034715,,,,,1.008645,,,0.978725,0.970879,1.015273,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.966092,,,,,1.026087,1.037225,,,,1.040829,,,,,,,,,,,
Tm1,,,,,0.100000,,,1.528433,0.717245,10.000000,0.100000,0.957888,0.100000,1.030037,0.100000,,,0.963786,,0.100000,0.100000,0.890639,0.938867,3.651381,0.100000,0.940481,0.994398,0.100000,0.100000,0.100000,1.017896,1.277256,,0.100000
Tm2,,,,0.950847,0.100000,,,1.369724,10.000000,10.000000,0.100000,0.852727,0.100000,1.024866,0.100000,1.019243,,1.046425,,0.100000,0.100000,0.916896,0.921703,0.100000,,,1.018317,9.884643,0.100000,0.100000,,1.010622,0.100000,0.100000
Tm20,,,,,,,,,,0.983391,1.002302,0.950784,1.008880,1.006636,,,,,,,,,,0.987724,1.014841,0.997318,0.975102,,,1.029416,,1.011601,,
Tm21,,,,,,,,,1.010974,,,,1.035017,0.972550,,,,,,,,,,0.999333,,,0.981927,,,,,,,
Tm3,,,,0.100000,0.100000,,,,7.434364,0.100000,7.292736,,9.553163,0.755714,0.100000,0.851453,0.976927,0.799671,3.309929,,0.970173,,0.959046,,,,,10.000000,0.100000,,0.988669,0.983344,10.000000,10.000000
Tm4,,,,,7.618499,,,,0.100000,0.790562,,1.009454,0.100000,0.994207,10.000000,,,,,10.000000,0.100000,0.931205,0.807420,10.000000,10.000000,,0.957185,0.100000,10.000000,,0.960819,1.009940,,0.100000
Tm9,,,,,,1.045710,,,,1.024890,0.100000,,1.020898,1.021882,,,,,,0.958641,1.045704,0.954789,1.028316,0.979414,1.049144,1.045040,0.984230,,1.031019,1.031279,,,,
C2,1.008135,0.974462,1.046262,0.882573,0.966684,1.002878,1.043055,1.021465,1.034873,1.013766,,0.993970,0.953816,1.043188,0.976043,,,,,,,,,0.943664,,,,,,1.007932,0.999522,0.973931,,
C3,1.034426,,,0.784489,0.544742,1.019113,1.005746,1.251283,0.963169,1.025069,1.342510,0.968567,1.019309,1.031703,1.000515,1.015929,1.011453,0.996684,1.029079,,,,,0.651188,1.004641,0.985838,0.973375,0.975465,0.590407,0.981123,0.983140,,,
Lawf1,10.000000,,,0.100000,0.100000,10.000000,,10.000000,,,10.000000,0.951924,,,,,,,,,,,,,,,,0.100000,,,,,1.445575,
